,price,rooms,address
0,"$1,745 - 3,595",Studio - 3 Beds,"1800 Autumn Dr, Hoffman Estates, IL 60169"
0,"$1,510 - 3,488",1-2 Beds,"801 Belinder Ln, Schaumburg, IL 60173"
0,"$1,255 - 2,075",Studio - 2 Beds,"1417 Valley Lake Dr, Schaumburg, IL 60195"
0,"$1,950 - 3,580",1-2 Beds,"2450 Plum Grove Rd, Schaumburg, IL 60173"
0,"$1,528 - 5,478",1-3 Beds,"21 Kristin Dr, Schaumburg, IL 60195"
0,"$1,643 - 4,324",1-3 Beds,"1220 E Algonquin Rd, Schaumburg, IL 60173"
0,"$1,075 - 1,645",Studio - 2 Beds,"985 Grand Canyon Pky, Hoffman Estates, IL 60169"
0,"$1,767 - 2,695",1-2 Beds,"10 N Lincoln Meadows Dr, Schaumburg, IL 60173"
0,"$1,491 - 2,403",Studio - 3 Beds,"1024 N Plum Grove Rd, Schaumburg, IL 60173"
0,"$1,510 - 2,315",1-3 Beds,"4700 Arbor Dr, Rolling Meadows, IL 60008"
0,"$1,886 - 7,246",1-2 Beds,"680 E Algonquin Rd, Schaumburg, IL 60173"
0,"$1,810 - 3,480",1-2 Beds,"880 Hadley Run Ln, Schaumburg, IL 60173"
0,"$1,560 - 2,275",1-3 Beds,"2500 Brush Rd, Schaumburg, IL 60173"
0,"$1,427 - 2,021",Studio - 2 Beds,"1708 Arbor Sq, Schaumburg, IL 60173"
0,"$1,462 - 2,351",1-2 Beds,"201 Remington Cir, Schaumburg, IL 60195"
0,"$1,765 - 3,102",1-2 Beds,"1421 Carolina Ct, Schaumburg, IL 60193"
0,"$1,479 - 3,427",1-3 Beds,"1010 N Knollwood Dr, Schaumburg, IL 60194"
0,"$1,645",2 Beds,"619 N Plum Grove Rd, Roselle, IL 60172"
0,"$1,580 - 1,903",1-2 Beds,"875 Pacific Ave, Hoffman Estates, IL 60169"
0,"$1,772 - 3,180",1-2 Beds,"1900 Windsong Dr, Schaumburg, IL 60194"
0,"$1,196 - 2,342",Studio - 2 Beds,"725 W Bode Cir, Hoffman Estates, IL 60169"
0,"$1,811 - 3,898",Studio - 3 Beds,"2200 Progress Pky, Schaumburg, IL 60173"
0,"$1,450 - 1,963",1-3 Beds,"305 Cambia Dr, Schaumburg, IL 60193"
0,"$1,125 - 1,935",Studio - 2 Beds,"60 E Beech Dr, Schaumburg, IL 60193"
0,"$1,499 - 2,738",1-3 Beds,"2850 Southampton Dr, Rolling Meadows, IL 60008"
0,"$1,395 - 1,695",Studio - 2 Beds,"4655 Kirchoff Rd, Rolling Meadows, IL 60008"
