,price,rooms,address
0,"$800 - 1,300",Studio,"4730 20th Ave NE, Seattle, WA 98105"
0,"$1,926 - 3,888",1 Bed,"1212 Harrison St, Seattle, WA 98109"
0,"$1,800 - 3,995",Studio - 2 Beds,"701 5th Ave N, Seattle, WA 98109"
0,"$1,099 - 2,349",Studio - 5 Beds,"4801 24th Ave NE, Seattle, WA 98105"
0,"$1,317 - 3,612",Studio - 2 Beds,"1029 S Jackson St, Seattle, WA 98104"
0,"$2,089 - 19,243",Studio - 3 Beds,"1000 Virginia St, Seattle, WA 98101"
0,"$1,785 - 3,190",Studio - 2 Beds,"8829 Roosevelt Way NE, Seattle, WA 98115"
0,"$1,453 - 4,584",Studio - 3 Beds,"8704 Greenwood Ave N, Seattle, WA 98103"
0,"$2,688 - 36,271",1-3 Beds,"112 Boren Ave N, Seattle, WA 98109"
0,"$1,749 - 4,060",Studio - 2 Beds,"209 12th Ave S, Seattle, WA 98144"
0,"$1,770 - 2,930",1-2 Beds,"1011 E Terrace St, Seattle, WA 98122"
0,"$1,456 - 2,802",Studio - 2 Beds,"10215 Greenwood Ave N, Seattle, WA 98133"
0,"$1,455 - 6,830",Studio - 3 Beds,"229 Andover Park E, Seattle, WA 98188"
0,"$1,920 - 3,315",1-2 Beds,"4041 Roosevelt Way NE, Seattle, WA 98105"
0,"$2,093 - 4,756",Studio - 3 Beds,"1850 N 34th St, Seattle, WA 98103"
0,"$1,744 - 4,476",Studio - 2 Beds,"2428 NW Market St, Seattle, WA 98107"
0,"$2,350 - 4,711",Studio - 2 Beds,"2015 2nd Ave, Seattle, WA 98121"
0,"$1,868 - 4,276",Studio - 2 Beds,"535 Pontius Ave N, Seattle, WA 98109"
0,"$1,595 - 2,099",Studio - 2 Beds,"999 Hiawatha Place South, Seattle, WA 98144"
0,"$1,613 - 3,833",Studio - 2 Beds,"4609 Union Bay Pl NE, Seattle, WA 98105"
0,"$1,506 - 4,515",Studio - 3 Beds,"2401 S Jackson St, Seattle, WA 98144"
0,"$1,838 - 5,159",Studio - 3 Beds,"118 Broadway E, Seattle, WA 98102"
0,"$1,199 - 1,482",Studio,"4536 20th Ave NE, Seattle, WA 98105"
0,"$1,886 - 5,135",Studio - 2 Beds,"4720 Rainier Ave S, Seattle, WA 98118"
0,"$2,501 - 30,565",Studio - 3 Beds,"2019 Boren Ave, Seattle, WA 98121"
0,"$1,249 - 2,895",Studio - 2 Beds,"2101 S Grand St, Seattle, WA 98144"
0,"$2,228 - 14,725",Studio - 3 Beds,"4715 25th Ave NE, Seattle, WA 98105"
0,"$1,174 - 3,000",Studio - 4 Beds,"4126 12th Ave NE, Seattle, WA 98105"
0,"$1,099 - 1,744",Studio,"500 Broadway, Seattle, WA 98122"
0,"$1,245 - 1,495",Studio - 1 Bed,"609 W Nickerson St, Seattle, WA 98119"
0,"$1,795 - 3,650",Studio - 2 Beds,"6300 9th Ave NE, Seattle, WA 98115"
0,"$1,827 - 3,567",1-2 Beds,"320 N 85th St, Seattle, WA 98103"
0,"$2,030 - 5,640",Studio - 2 Beds,"4906 25th Ave NE, Seattle, WA 98105"
0,Call for Rent,1 Bed,"123 & 127 Bellevue Ave E, Seattle, WA 98102"
0,"$2,141 - 11,536",Studio - 3 Beds,"757 Thomas St, Seattle, WA 98109"
0,"$1,550 - 2,695",Studio - 2 Beds,"2210 Eastlake Ave E, Seattle, WA 98102"
0,"$1,059 - 2,549",Studio,"5405 11th Ave NW, Seattle, WA 98107"
0,"$1,715 - 4,190",Studio - 2 Beds,"1421 Harvard Ave, Seattle, WA 98122"
0,"$1,936 - 4,562",Studio - 2 Beds,"3665 Stone Way N, Seattle, WA 98103"
0,"$1,495 - 2,675",Studio - 2 Beds,"4316 Fremont Ave N, Seattle, WA 98103"
