,price,rooms,address
0,"$3,090 - 5,025",Studio - 3 Beds,"10 Innerbelt Rd, Somerville, MA 02143"
0,"$2,805 - 9,425",Studio - 3 Beds,"151 N First St, Cambridge, MA 02141"
0,"$2,865 - 5,950",Studio - 3 Beds,"9 Central St, Somerville, MA 02143"
0,"$2,825 - 4,185",Studio - 2 Beds,"445 Artisan Way, Somerville, MA 02145"
0,"$2,860 - 4,720",Studio - 3 Beds,"50 Prospect St, Somerville, MA 02143"
0,"$3,122 - 9,831",Studio - 3 Beds,"21 Charles St, Cambridge, MA 02141"
0,"$2,575 - 5,985",Studio - 3 Beds,"929 Massachusetts Ave, Cambridge, MA 02139"
0,"$2,678 - 15,592",Studio - 3 Beds,"50-55 Station Lndg, Medford, MA 02155"
0,"$2,700 - 16,546",Studio - 2 Beds,"One Leighton St, Cambridge, MA 02141"
0,"$4,000",1-2 Beds,"157 Sixth St, Cambridge, MA 02142"
0,"$2,392 - 4,170",Studio - 2 Beds,"205 Walden St, Cambridge, MA 02140"
0,"$2,805 - 6,580",Studio - 3 Beds,"195 Binney St, Cambridge, MA 02142"
0,"$2,560 - 7,115",Studio - 4 Beds,"1 Langdon St, Cambridge, MA 02138"
0,"$2,984 - 8,187",Studio - 3 Beds,"20 Child St, Cambridge, MA 02141"
0,"$2,745",Studio - 1 Bed,"346 Somerville Ave, Somerville, MA 02143"
0,"$2,547 - 7,454",Studio - 3 Beds,"290 Revolution Dr, Somerville, MA 02145"
0,"$2,679 - 5,271",Studio - 2 Beds,"485 Foley St, Somerville, MA 02145"
0,"$1,925 - 3,795",Studio - 3 Beds,"379-385 Broadway, Somerville, MA 02145"
0,"$2,719 - 5,225",Studio - 2 Beds,"3780 Mystic Valley Pky, Medford, MA 02155"
0,"$2,907 - 5,683",1-2 Beds,"34 Brainard Ave, Medford, MA 02155"
0,"$2,546 - 5,720",Studio - 3 Beds,"32-34 Cambridge St, Charlestown, MA 02129"
0,"$2,843 - 7,445",Studio - 2 Beds,"50 Hood Park Dr, Boston, MA 02129"
0,"$2,869 - 5,696",Studio - 3 Beds,"30 Caldwell St, Charlestown, MA 02129"
0,"$2,060 - 3,290",1-2 Beds,"270 Harvard St, Cambridge, MA 02139"
0,"$5,399",4 Beds,"Somerville, MA 02144"
0,"$3,999 - 4,399",4 Beds,"Somerville, MA 02143"
0,"$3,999",4 Beds,"Somerville, MA 02143"
0,"$5,199",4 Beds,"Somerville, MA 02143"
0,"$4,999",4 Beds,"Cambridge, MA 02139"
0,"$3,200 - 4,200",1-2 Beds,"640 Boston Ave, Medford, MA 02155"
0,"$3,299 - 4,399",2-4 Beds,"Cambridge, MA 02139"
0,"$2,669 - 5,659",Studio - 3 Beds,"449 Canal St, Somerville, MA 02145"
0,"$3,359 - 4,988",Studio - 2 Beds,"33 Rogers Street, Cambridge, MA 02142"
0,"$2,949 - 4,790",Studio - 2 Beds,"270 Third Street, Cambridge, MA 02142"
0,"$4,300",1-2 Beds,"7 Cameron Ave, Cambridge, MA 02140"
0,"$3,151 - 12,046",Studio - 2 Beds,"22 Water St, Cambridge, MA 02141"
0,"$2,950 - 3,950",1-2 Beds,"120-124 Rindge Ave, Cambridge, MA 02140"
0,"$2,875 - 3,285",1-2 Beds,"16 Forest St, Cambridge, MA 02140"
0,"$2,300",1 Bed,"Medford, MA 02155"
0,"$3,880",1 Bed,"Somerville, MA 02145"
