,price,rooms,address
0,"$749 - 1,199",1-3 Beds,"27000-27600 Franklin Rd, Southfield, MI 48034"
0,"$1,000 - 1,599",1-3 Beds,"27600 Franklin Rd, Southfield, MI 48034"
0,"$1,229 - 2,249",1-3 Beds,"16500 N Park Dr, Southfield, MI 48075"
0,"$1,795 - 1,910",2-3 Beds,"26666 Stanford Dr W, Southfield, MI 48033"
0,"$1,339 - 2,575",2-3 Beds,"23275 Riverside Dr, Southfield, MI 48033"
0,"$1,000 - 1,375",1-2 Beds,"20875 Lahser Rd, Southfield, MI 48033"
0,"$1,020 - 1,035",1-2 Beds,"25010 W 8 Mile Rd, Southfield, MI 48033"
0,"$1,100 - 1,950",Studio - 3 Beds,"20300 Civic Center Dr, Southfield, MI 48076"
0,"$1,420 - 2,150",2-3 Beds,"29235 Lancaster Dr, Southfield, MI 48034"
0,"$1,135 - 1,975",2-3 Beds,"29025 Franklin Hills Dr, Southfield, MI 48034"
0,"$1,195 - 3,135",1-3 Beds,"20800 Knob Woods Dr, Southfield, MI 48076"
0,"$1,650 - 2,435",1-3 Beds,"18248 W 12 Mile Rd, Southfield, MI 48076"
0,"$1,300 - 2,300",1-2 Beds,"24111 Civic Center Dr, Southfield, MI 48033"
0,"$885 - 1,510",Studio - 2 Beds,"26642 Central Park Blvd, Southfield, MI 48076"
0,"$1,743 - 1,978",1-2 Beds,"22700 Civic Center Dr, Southfield, MI 48033"
0,"$915 - 1,540",Studio - 2 Beds,"25500 W 12 Mile Rd, Southfield, MI 48034"
0,"$1,540 - 1,826",2 Beds,"26601 W Carnegie Park Dr, Southfield, MI 48034"
0,"$1,400 - 1,650",1-2 Beds,"16200 W 9 Mile Rd, Southfield, MI 48075"
0,"$990 - 1,640",1-2 Beds,"24710 W 12 Mile Rd, Southfield, MI 48034"
0,"$995 - 2,900",Studio - 3 Beds,"28509 Franklin Rd, Southfield, MI 48034"
0,"$975 - 1,275",1 Bed,"23960 Middlebelt Rd, Farmington Hills, MI 48336"
0,"$975 - 1,665",1-3 Beds,"16176 Cumberland Rd, Southfield, MI 48075"
0,"$1,285 - 1,454",2 Beds,"4000-4010 W 13 Mile Rd, Royal Oak, MI 48073"
0,"$1,110 - 2,225",1-3 Beds,"31065 Huntley Sq, Beverly Hills, MI 48025"
0,"$925 - 1,480",1-2 Beds,"25026 W Rue Versailles Dr, Oak Park, MI 48237"
0,"$1,265 - 1,875",1-2 Beds,"18333 South Dr, Southfield, MI 48076"
0,"$1,445 - 2,095",1-3 Beds,"30300 Southfield Rd, Southfield, MI 48076"
0,"$1,414 - 1,600",1-2 Beds,"21890 Colony Park Cir, Southfield, MI 48076"
0,"$1,049 - 1,110",1 Bed,"21210 Lahser Rd, Southfield, MI 48033"
0,"$1,304 - 2,687",Studio - 2 Beds,"18335 W 13 Mile Rd, Southfield, MI 48076"
0,"$1,255 - 1,800",1-2 Beds,"27525 Franklin Rd, Southfield, MI 48034"
0,"$1,150 - 1,375",1-2 Beds,"25625 Grodan Rd, Southfield, MI 48033"
0,"$1,335 - 2,049",1-3 Beds,"23741 Pond Rd, Southfield, MI 48033"
0,"$1,275 - 1,600",2-3 Beds,"23300 Providence Dr, Southfield, MI 48075"
0,"$1,180 - 1,350",1-2 Beds,"15833 W 11 Mile Rd, Southfield, MI 48076"
0,"$1,040 - 1,190",1-2 Beds,"25588 Shiawassee Rd, Southfield, MI 48033"
0,"$780 - 1,640",1-3 Beds,"28350 Lockdale St, Southfield, MI 48034"
0,"$995 - 1,340",1-3 Beds,"4120A W 13 Mile Rd, Royal Oak, MI 48073"
0,"$890 - 1,152",1-2 Beds,"20555 Motor Dr, Detroit, MI 48235"
0,"$748 - 1,240",Studio - 2 Beds,"25500 Greenfield Rd, Oak Park, MI 48237"
