,price,rooms,address
0,"$1,796 - 3,505",1-2 Beds,"375 Harbor Cove Dr, Sparks, NV 89434"
0,"$1,091 - 2,877",Studio - 2 Beds,"955 Ave of the Oaks, Sparks, NV 89431"
0,"$1,387 - 2,286",1-2 Beds,"1415 C St, Sparks, NV 89431"
0,"$1,511 - 2,409",1-3 Beds,"7755 Tierra Del Sol Pky, Sparks, NV 89436"
0,Call for Rent,1-4 Beds,"1234 Sabata Way, Sparks, NV 89436"
0,"$1,397 - 1,950",1-3 Beds,"5300 Los Altos Pky, Sparks, NV 89436"
0,"$1,455 - 1,535",2 Beds,"3277 Reno Vista Dr, Reno, NV 89512"
0,"$1,492 - 2,352",1-3 Beds,"2200 N D'Andrea Pky, Sparks, NV 89434"
0,"$1,545 - 2,235",1-3 Beds,"6717 Rolling Meadows Dr, Sparks, NV 89436"
0,"$1,268 - 2,323",1-2 Beds,"1400 Avenue Of The Oaks, Sparks, NV 89431"
0,"$1,303 - 2,072",Studio - 2 Beds,"1125-1130 Avenue of the Oaks, Sparks, NV 89431"
0,"$1,650 - 2,450",1-3 Beds,"675 Marina Gateway Dr, Sparks, NV 89434"
0,"$1,399 - 2,284",1-3 Beds,"7077 Vista Blvd, Sparks, NV 89436"
0,"$1,605 - 2,375",1-3 Beds,"6026 Golden Triangle Way, Sparks, NV 89436"
0,"$1,150 - 1,864",Studio - 2 Beds,"1040 C St, Sparks, NV 89431"
0,"$1,661 - 5,468",1-3 Beds,"550 Marina Gateway Dr, Sparks, NV 89434"
0,"$2,706 - 2,975",1-2 Beds,"815 Kiley Pky, Sparks, NV 89436"
0,"$1,447 - 4,275",1-3 Beds,"5200 Los Altos Pky, Sparks, NV 89436"
0,"$1,199 - 1,823",1-3 Beds,"1100 15th St, Sparks, NV 89431"
0,"$1,516 - 3,059",1-3 Beds,"1475 Vista del Rancho Pky, Sparks, NV 89436"
0,"$1,520 - 3,965",1-3 Beds,"6600 Rolling Meadows Dr, Sparks, NV 89436"
0,"$2,022 - 3,174",1-2 Beds,"431 Spring Villa Dr, Sparks, NV 89431"
0,"$1,416 - 2,878",1-3 Beds,"1855 Baring Blvd, Sparks, NV 89434"
0,"$1,450 - 8,762",1-3 Beds,"550 Howard Dr, Sparks, NV 89434"
0,Call for Rent,Studio,"2050 Market St, Reno, NV 89502"
0,$775 - 999,Studio,"1000 Harvard Way, Reno, NV 89502"
0,"$1,036 - 1,422",1-3 Beds,"2325 Clear Acre Ln, Reno, NV 89512"
0,"$1,143 - 2,449",Studio - 2 Beds,"2280 Oddie Blvd, Sparks, NV 89431"
0,"$1,146 - 1,550",1-2 Beds,"202 Nichols Blvd, Sparks, NV 89431"
0,"$1,187 - 2,688",1-3 Beds,"800 Nichols Blvd, Sparks, NV 89434"
0,"$1,057 - 1,252",Studio,"1225 Victorian Ave, Sparks, NV 89431"
0,"$1,200 - 1,700",1-2 Beds,"1305 Pyramid Way, Sparks, NV 89431"
0,"$1,099 - 1,470",1-2 Beds,"190 C St, Sparks, NV 89431"
0,"$1,355 - 2,620",1-2 Beds,"565-565 Sparks Blvd, Sparks, NV 89434"
0,"$1,075 - 1,850",Studio - 2 Beds,"1835 Oddie Blvd, Sparks, NV 89431"
0,"$1,385 - 2,575",1-3 Beds,"350 Harbour Cove Dr, Sparks, NV 89434"
0,"$1,275 - 1,825",1-2 Beds,"4400 El Rancho Dr, Sun Valley, NV 89433"
0,"$1,149 - 1,395",1-2 Beds,"2400-2450 Sutro St, Reno, NV 89512"
0,"$2,482",1 Bed,"Sparks, NV 89434"
0,"$2,122",1 Bed,"Sparks, NV 89434"
