,price,rooms,address
0,"$1,600 - 4,100",Studio - 3 Beds,"1224 W Riverside Ave, Spokane, WA 99201"
0,"$1,637 - 2,532",Studio - 3 Beds,"1335 W Summit Pky, Spokane, WA 99201"
0,"$1,375 - 1,895",1-3 Beds,"849 E Magnesium Rd, Spokane, WA 99208"
0,"$1,330 - 2,025",Studio - 3 Beds,"5708 S Spotted Rd, Spokane, WA 99224"
0,"$1,273 - 5,198",1-3 Beds,"3711 S Highway 27, Spokane, WA 99206"
0,"$755 - 1,450",Studio - 3 Beds,"121-221 E Wedgewood, Spokane, WA 99208"
0,"$1,243 - 1,982",Studio - 3 Beds,"12925 E Mansfield Ave, Spokane Valley, WA 99216"
0,"$1,325 - 3,589",1-3 Beds,"16621 E Indiana Ave, Spokane Valley, WA 99216"
0,"$1,450 - 1,850",1-3 Beds,"16609 E Desmet Ct, Spokane Valley, WA 99216"
0,"$1,824 - 3,875",Studio - 2 Beds,"13525 E Carlisle Ave, Spokane Valley, WA 99216"
0,"$1,245 - 2,145",1-3 Beds,"16320 N Hatch Rd, Colbert, WA 99005"
0,"$1,300 - 1,675",1-3 Beds,"1842 E South Riverton Ave, Spokane, WA 99207"
0,"$1,250 - 2,000",Studio - 2 Beds,"508 W 6th Ave, Spokane, WA 99204"
0,"$1,195 - 2,295",Studio - 2 Beds,"15 N Grant St, Spokane, WA 99202"
0,"$1,350 - 2,250",Studio - 2 Beds,"44 W 6th Ave, Spokane, WA 99204"
0,"$1,195 - 1,450",Studio - 1 Bed,"1620 N River Ridge Blvd, Spokane, WA 99224"
0,"$1,480 - 2,450",1-3 Beds,"13809 E Carlisle Ave, Spokane, WA 99216"
0,"$1,150 - 1,795",1-2 Beds,"102 E Farwell Rd, Spokane, WA 99218"
0,"$1,274 - 1,487",1-2 Beds,"3630 E 51st Ave, Spokane, WA 99223"
0,"$1,090 - 1,480",1-3 Beds,"8719 N Hill N Dale St, Spokane, WA 99218"
0,"$1,355 - 1,483",1-2 Beds,"6614 N Cedar Rd, Spokane, WA 99208"
0,"$1,495 - 2,495",1-3 Beds,"12007 E Coyote Rock Dr, Spokane Valley, WA 99206"
0,Call for Rent,1-3 Beds,"304-S Kalispel Way, Airway Heights, WA 99001"
0,"$1,495 - 2,395",1-2 Beds,"16708 E Broadway Ave, Spokane Valley, WA 99037"
0,"$1,275 - 1,595",1-2 Beds,"11911 E Mansfield Ave, Spokane Valley, WA 99206"
0,"$1,200 - 2,200",1-2 Beds,"821 N Stanley St, Medical Lake, WA 99022"
0,"$1,425 - 1,750",1-2 Beds,"12717 E 4th Ave, Spokane Valley, WA 99216"
0,Call for Rent,Studio,"205 S Pines Rd, Spokane Valley, WA 99216"
0,"$1,455 - 1,710",2-3 Beds,"12202 E Maxwell Ave, Spokane Valley, WA 99206"
0,"$1,362 - 2,440",Studio - 3 Beds,"22495 E Clairmont Ln, Liberty Lake, WA 99019"
0,"$1,095 - 2,050",Studio - 3 Beds,"17016 E Indiana Pky, Spokane Valley, WA 99016"
0,"$1,200 - 2,175",Studio - 2 Beds,"206 W Riverside Ave, Spokane, WA 99201"
0,"$1,200 - 1,725",1-3 Beds,"2018-2228 E South Riverton Ave, Spokane, WA 99207"
0,"$1,448 - 2,019",2-3 Beds,"5111 S Regal St, Spokane, WA 99223"
0,"$2,250 - 4,000",2-4 Beds,"13101 Shetland Ln, Spokane, WA 99208"
0,"$1,295 - 2,100",1-3 Beds,"636 E Magnesium Rd, Spokane, WA 99208"
0,"$1,000 - 1,500",1-3 Beds,"1405 E 30th Ave, Spokane, WA 99203"
0,"$1,400 - 2,300",1-2 Beds,"612 W Main Ave, Spokane, WA 99201"
0,"$1,010 - 1,450",Studio - 1 Bed,"107 S Howard St, Spokane, WA 99201"
0,"$1,515 - 2,150",1-3 Beds,"16511 E Sprague Ave, Spokane Valley, WA 99037"
