,price,rooms,address
0,"$1,360 - 3,035",1-2 Beds,"9242 W Russell Rd, Las Vegas, NV 89148"
0,"$1,220 - 2,315",1-3 Beds,"5711 W Tropicana Ave, Las Vegas, NV 89103"
0,"$1,299 - 1,959",1-3 Beds,"3625 S Decatur Blvd, Las Vegas, NV 89103"
0,"$1,897 - 9,575",Studio - 3 Beds,"8475 Michael Cherry Ave, Las Vegas, NV 89113"
0,"$1,392 - 2,325",1-3 Beds,"9625 W Russell Rd, Las Vegas, NV 89148"
0,"$1,373 - 3,095",1-2 Beds,"4201 S Decatur Blvd, Las Vegas, NV 89103"
0,"$1,123 - 2,979",1-2 Beds,"5050 S Duneville St, Las Vegas, NV 89118"
0,"$1,179 - 2,165",1-3 Beds,"6255 W Tropicana Ave, Las Vegas, NV 89103"
0,"$1,226 - 2,450",1-2 Beds,"9465 W Post Rd, Las Vegas, NV 89148"
0,"$1,607 - 5,380",1-3 Beds,"5175 Jerry Tarkanian Way, Las Vegas, NV 89148"
0,"$1,324 - 2,463",1-2 Beds,"9110 W Tropicana Ave, Las Vegas, NV 89147"
0,"$1,304 - 3,446",1-3 Beds,"5540 W Harmon Ave, Las Vegas, NV 89103"
0,"$1,513 - 4,255",1-3 Beds,"6355 S Durango Dr, Las Vegas, NV 89113"
0,"$1,531 - 7,742",1-3 Beds,"4450 S Hualapai Way, Las Vegas, NV 89147"
0,"$1,445 - 2,209",1-3 Beds,"7960 Rafael Rivera Way, Las Vegas, NV 89113"
0,"$1,840 - 2,795",1-2 Beds,"8920 W Russell Rd, Las Vegas, NV 89148"
0,"$1,453 - 5,446",1-2 Beds,"9436-9450 W Hacienda Ave, Las Vegas, NV 89148"
0,"$1,423 - 2,233",1-3 Beds,"4350 S Hualapai Way, Las Vegas, NV 89147"
0,"$1,425 - 2,710",1-3 Beds,"9314 W Russell Rd, Las Vegas, NV 89148"
0,"$1,338 - 2,834",1-2 Beds,"9950 W Tropicana Ave, Las Vegas, NV 89147"
0,"$1,850 - 4,105",Studio - 3 Beds,"6111 S Buffalo Dr, Las Vegas, NV 89113"
0,"$1,770 - 4,013",Studio - 2 Beds,"9235 W Russell Rd, Las Vegas, NV 89148"
0,"$1,450 - 2,810",Studio - 2 Beds,"4335 S Grand Canyon Dr, Las Vegas, NV 89147"
0,"$1,343 - 2,668",Studio - 2 Beds,"9860 W Tropicana Ave, Las Vegas, NV 89147"
0,"$2,595",3 Beds,"10136 Serenity Star Way, Las Vegas, NV 89147"
0,"$1,400 - 1,910",1-3 Beds,"8025 W Russell Rd, Las Vegas, NV 89113"
0,"$1,395 - 2,017",1-2 Beds,"9500 W Maule Ave, Las Vegas, NV 89148"
0,"$1,225 - 1,828",1-2 Beds,"5419 W Tropicana Ave, Las Vegas, NV 89103"
0,"$1,300 - 1,890",1-3 Beds,"9105 W Flamingo Rd, Las Vegas, NV 89147"
0,"$1,545 - 2,850",1-3 Beds,"4355 S Durango Dr, Las Vegas, NV 89147"
0,"$1,441 - 1,792",1-2 Beds,"5060 W Hacienda Ave, Las Vegas, NV 89118"
0,"$1,414 - 2,130",1-3 Beds,"8000 W Spring Mountain Rd, Las Vegas, NV 89117"
0,"$1,141 - 3,306",Studio - 2 Beds,"5055 S Lindell Rd, Las Vegas, NV 89118"
0,"$1,460 - 1,875",Studio - 2 Beds,"5450 S Fort Apache Rd, Las Vegas, NV 89148"
0,"$1,435 - 1,910",1-3 Beds,"10175 W Spring Mountain Rd, Las Vegas, NV 89117"
0,"$1,250 - 1,775",1-2 Beds,"4400 S Jones Blvd, Las Vegas, NV 89103"
0,"$1,265 - 1,940",1-3 Beds,"9025 W Desert Inn Rd, Las Vegas, NV 89117"
0,"$1,410 - 2,081",1-3 Beds,"9100 W Flamingo Rd, Las Vegas, NV 89147"
0,"$1,345 - 2,025",1-3 Beds,"7413 W Russell Rd, Las Vegas, NV 89113"
0,"$1,275 - 1,745",1-2 Beds,"6575 W Tropicana Ave, Las Vegas, NV 89103"
