,price,rooms,address
0,"$1,340 - 4,940",Studio - 3 Beds,"5400 Tesson Ridge, Saint Louis, MO 63128"
0,"$810 - 2,490",Studio - 2 Beds,"400 N 4th St, Saint Louis, MO 63102"
0,"$852 - 1,642",1-3 Beds,"1247 Covington Manor Ln, Saint Louis, MO 63125"
0,"$925 - 1,300",1-2 Beds,"3779 Swiss Dr, Saint Louis, MO 63129"
0,"$1,015 - 1,975",1-3 Beds,"7880 Chatwell Dr, Saint Louis, MO 63119"
0,"$850 - 1,391",Studio - 1 Bed,"300 S Grand Blvd, Saint Louis, MO 63103"
0,"$748 - 2,401",Studio - 2 Beds,"300 N 4th St, Saint Louis, MO 63102"
0,"$1,345 - 2,965",Studio - 3 Beds,"1019 Skinker Pky, Saint Louis, MO 63112"
0,"$1,720 - 5,253",1-3 Beds,"4567 W Pine Blvd, St Louis, MO 63108"
0,"$1,399 - 3,399",Studio - 2 Beds,"5539 Pershing Ave, Saint Louis, MO 63112"
0,"$1,164 - 3,338",1-3 Beds,"1519 Tower Grove Ave, Saint Louis, MO 63110"
0,"$2,145 - 8,204",Studio - 3 Beds,"100 N Kingshighway Blvd, Saint Louis, MO 63108"
0,"$1,305 - 2,772",1-2 Beds,"2232 S Grand Blvd, Saint Louis, MO 63104"
0,"$1,375 - 3,020",Studio - 2 Beds,"299 De Baliviere Ave, Saint Louis, MO 63112"
0,"$1,088 - 4,042",Studio - 2 Beds,"1501 S 7th St, St. Louis, MO 63104"
0,"$1,468 - 2,677",Studio - 2 Beds,"9473 Olive Blvd, Saint Louis, MO 63132"
0,"$1,290 - 4,650",Studio - 3 Beds,"3835 Foundry Way, Saint Louis, MO 63110"
0,"$1,281 - 3,490",Studio - 2 Beds,"1717 Olive St, Saint Louis, MO 63103"
0,"$1,100 - 1,650",1-2 Beds,"1855 Craigshire Rd, Saint Louis, MO 63146"
0,"$640 - 1,435",Studio - 2 Beds,"110 N 17th St, Saint Louis, MO 63103"
0,"$1,755 - 4,446",Studio - 2 Beds,"40 N Euclid Ave, Saint Louis, MO 63108"
0,"$2,818 - 7,954",1-3 Beds,"8300 Delmar Blvd, Clayton, MO 63124"
0,"$2,092 - 6,342",1-2 Beds,"9 N Bemiston Ave, Clayton, MO 63105"
0,"$1,295 - 1,650",1-2 Beds,"2035 Clermont Crossing Dr, Saint Louis, MO 63146"
0,"$1,195 - 2,900",1-4 Beds,"12545 Markaire Dr, Saint Louis, MO 63141"
0,"$979 - 1,700",1-2 Beds,"4005 Westminster Pl, Saint Louis, MO 63108"
0,"$1,035 - 1,735",1-3 Beds,"11409 Tivoli Ln, Saint Louis, MO 63146"
0,"$1,265 - 2,210",Studio - 3 Beds,"4400 Lindell Blvd, Saint Louis, MO 63108"
0,"$985 - 3,068",1-3 Beds,"2207 Summerhouse Dr, St. Louis, MO 63146"
0,"$1,049 - 1,700",1-3 Beds,"633 N McKnight Rd, Saint Louis, MO 63132"
0,"$949 - 1,614",Studio - 2 Beds,"4497 Pershing Ave, Saint Louis, MO 63108"
0,"$1,142 - 3,600",Studio - 2 Beds,"411 N Eighth St, Saint Louis, MO 63101"
0,"$898 - 1,677",1-2 Beds,"2807 Innsbruck Dr, St. Louis, MO 63129"
0,"$999 - 1,260",1 Bed,"2017 Washington Ave, Saint Louis, MO 63103"
0,"$1,335 - 2,045",1-3 Beds,"1209 Washington Ave, Saint Louis, MO 63103"
0,"$1,545 - 3,992",1-3 Beds,"1895 Boulder Springs Dr, Saint Louis, MO 63146"
0,"$952 - 2,810",1-2 Beds,"2037 Chablis Dr, St. Louis, MO 63146"
0,"$970 - 2,665",1-3 Beds,"10304 Oxford Hill Dr, St. Louis, MO 63146"
0,$750,2 Beds,"1342 N Garden Dr, Saint Louis, MO 63138"
0,"$1,092 - 2,334",Studio - 2 Beds,"4444 W Pine Blvd, Saint Louis, MO 63108"
