,price,rooms,address
0,"$1,625 - 3,240",Studio - 2 Beds,"800 Cretin Ave S, Saint Paul, MN 55116"
0,"$1,375 - 3,850",Studio - 2 Beds,"150 Water St, Saint Paul, MN 55107"
0,"$1,119 - 2,999",Studio - 2 Beds,"141 4th St E, Saint Paul, MN 55101"
0,"$1,275 - 1,495",1-3 Beds,"777 Berry St, Saint Paul, MN 55114"
0,"$1,232 - 3,525",Studio - 2 Beds,"55 Livington Ave S, Saint Paul, MN 55107"
0,"$1,021 - 2,875",Studio - 2 Beds,"760 Raymond Ave, Saint Paul, MN 55114"
0,"$1,032 - 2,401",Studio - 2 Beds,"304 Snelling Ave N, Saint Paul, MN 55104"
0,"$1,280 - 2,365",Studio - 2 Beds,"485 Malcolm Ave SE, Minneapolis, MN 55414"
0,"$1,620 - 1,775",Studio - 1 Bed,"515 Huron Blvd SE, Minneapolis, MN 55414"
0,"$1,510",2 Beds,"6365 Sibley Ave, Fort Snelling, MN 55111"
0,"$1,510 - 2,005",Studio - 3 Beds,"240 Thompson Ave E, West Saint Paul, MN 55118"
0,"$950 - 1,150",Studio,"5 7th St W, Saint Paul, MN 55102"
0,"$2,700 - 3,000",2-3 Beds,"2105 Marshall Ave, Saint Paul, MN 55104"
0,"$1,348 - 3,550",Studio - 3 Beds,"1554 Midway Pky, Saint Paul, MN 55108"
0,"$1,136 - 2,705",Studio - 2 Beds,"1870 Old Hudson Rd, Saint Paul, MN 55119"
0,"$1,359 - 7,115",Studio - 2 Beds,"150 Snelling Ave, Saint Paul, MN 55104"
0,"$999 - 3,280",Studio - 3 Beds,"455 Snelling Ave, Saint Paul, MN 55104"
0,"$890 - 1,600",Studio - 3 Beds,"484 Temperance St, Saint Paul, MN 55101"
0,"$1,552 - 5,016",1-4 Beds,"740 Mississippi River Blvd S, Saint Paul, MN 55116"
0,"$1,104 - 7,992",Studio - 2 Beds,"2410 W University Ave W, Saint Paul, MN 55114"
0,"$1,109 - 3,748",Studio - 3 Beds,"101 E 10th St E, St. Paul, MN 55101"
0,"$890 - 1,600",Studio - 3 Beds,"211 7th St E, Saint Paul, MN 55101"
0,"$1,480 - 2,490",Studio - 2 Beds,"765 N Hampden Ave, Saint Paul, MN 55114"
0,"$1,560 - 2,120",1-2 Beds,"400 Selby Ave, Saint Paul, MN 55102"
0,"$1,000 - 1,650",Studio - 2 Beds,"250 5th St E, Saint Paul, MN 55101"
0,"$1,356 - 6,837",Studio - 3 Beds,"1555 Selby Ave, Saint Paul, MN 55104"
0,"$1,092 - 1,495",Studio - 2 Beds,"2323 Charles Ave, Saint Paul, MN 55114"
0,"$1,177 - 3,329",Studio - 3 Beds,"200 Exchange St, Saint Paul, MN 55102"
0,"$1,054 - 2,400",Studio - 2 Beds,"241 Kellogg Blvd E, Saint Paul, MN 55101"
0,"$1,151 - 2,325",Studio - 2 Beds,"747 Hampden Ave, Saint Paul, MN 55114"
0,"$1,099 - 2,255",Studio - 2 Beds,"427 N Snelling Ave, Saint Paul, MN 55104"
0,"$884 - 1,784",Studio - 1 Bed,"590 Park St, Saint Paul, MN 55103"
0,"$1,260 - 1,625",1 Bed,"84 Water St, Saint Paul, MN 55107"
0,"$934 - 2,360",Studio - 2 Beds,"337 7th St W, Saint Paul, MN 55102"
0,"$1,384 - 1,804",2-3 Beds,"45 Butler Ave E, West Saint Paul, MN 55118"
0,"$1,415 - 2,501",1-2 Beds,"4020 Nawadaha Blvd, Minneapolis, MN 55406"
0,"$1,475 - 2,295",1-3 Beds,"2501 Londin Ln E, Maplewood, MN 55119"
0,"$1,130 - 2,051",Studio - 3 Beds,"1223 Rose Vista Ct, Roseville, MN 55113"
0,"$1,295",Studio - 1 Bed,"150 26th Ave SE, Minneapolis, MN 55414"
0,"$800 - 2,518",Studio - 2 Beds,"22 27th Ave SE, Minneapolis, MN 55414"
