,price,rooms,address
0,"$1,850 - 2,831",1-2 Beds,"3100 Central Ave, Saint Petersburg, FL 33712"
0,"$1,738 - 3,895",1-3 Beds,"825 32nd Ave S, Saint Petersburg, FL 33705"
0,"$1,520 - 3,540",1-3 Beds,"11850 Dr Martin Luther King St N, Saint Petersburg, FL 33716"
0,"$1,635 - 4,100",1-3 Beds,"4652 Miramar Dr, Saint Petersburg, FL 33708"
0,"$1,225 - 1,725",1-3 Beds,"1900 55th Ave S, Saint Petersburg, FL 33712"
0,"$1,175 - 2,568",Studio - 2 Beds,"5800 Lynn Lake Dr S, Saint Petersburg, FL 33712"
0,"$1,760 - 4,781",Studio - 2 Beds,"160 16th St N, Saint Petersburg, FL 33705"
0,"$2,005 - 4,165",Studio - 2 Beds,"1701 Central Ave, Saint Petersburg, FL 33713"
0,"$1,775 - 3,195",1-3 Beds,"3301 32nd Ave S, Saint Petersburg, FL 33712"
0,"$2,265 - 5,180",Studio - 3 Beds,"334 2nd Ave S, Saint Petersburg, FL 33701"
0,"$1,950 - 3,600",1-2 Beds,"3680 46th Ave S, Saint Petersburg, FL 33711"
0,"$1,715 - 3,130",1-3 Beds,"8851 US Highway 19, Pinellas Park, FL 33782"
0,"$2,030 - 3,575",1-3 Beds,"17105-17117 Gulf Blvd, North Redington Beach, FL 33708"
0,"$1,625 - 3,735",1-3 Beds,"14330 58th St N, Clearwater, FL 33760"
0,"$1,900 - 2,100",1-2 Beds,"10491 Gandy Blvd N, Saint Petersburg, FL 33702"
0,"$2,320 - 10,050",1-4 Beds,"210 Fountain Pky N, Saint Petersburg, FL 33716"
0,"$1,160 - 1,675",1-2 Beds,"11901 4th St N, Saint Petersburg, FL 33716"
0,"$1,340 - 2,019",1-2 Beds,"12000 4th St N, Saint Petersburg, FL 33716"
0,"$1,725 - 2,999",Studio - 2 Beds,"3201 3rd Ave N, Saint Petersburg, FL 33713"
0,"$1,018 - 1,733",Studio - 2 Beds,"6699 31st Way S, Saint Petersburg, FL 33712"
0,"$1,676 - 2,805",1-3 Beds,"10800 Brighton Bay Blvd NE, Saint Petersburg, FL 33716"
0,"$1,399 - 1,849",Studio - 2 Beds,"120 47th Ave N, Saint Petersburg, FL 33703"
0,"$1,212 - 1,888",1-2 Beds,"10200 Gandy Blvd N, Saint Petersburg, FL 33702"
0,"$1,275 - 2,550",1-3 Beds,"2540 Roy Hanna Dr S, Saint Petersburg, FL 33712"
0,"$1,799 - 3,305",1-3 Beds,"871 Ibis Walk Pl N, Saint Petersburg, FL 33716"
0,"$1,587 - 2,411",1-2 Beds,"11800 Dr Martin Luther King Jr St N, Saint Petersburg, FL 33716"
0,"$1,352 - 2,217",Studio - 3 Beds,"1699 68th St N, Saint Petersburg, FL 33710"
0,"$1,730 - 2,467",1-3 Beds,"10901 Brighton Bay Blvd N, Saint Petersburg, FL 33716"
0,"$1,363 - 2,403",1-3 Beds,"10501 3rd St N, Saint Petersburg, FL 33716"
0,"$1,355 - 1,725",1-3 Beds,"3901 38th Ave S, Saint Petersburg, FL 33711"
0,"$1,101 - 2,122",1-2 Beds,"11601 4Th St N, Saint Petersburg, FL 33716"
0,"$1,215 - 1,712",1-3 Beds,"115 112th Ave NE, Saint Petersburg, FL 33716"
0,"$1,614 - 2,910",1-3 Beds,"10601 Gandy Blvd N, Saint Petersburg, FL 33702"
0,"$2,155 - 5,844",Studio - 2 Beds,"930 Central Ave, Saint Petersburg, FL 33705"
0,"$1,974 - 4,889",Studio - 2 Beds,"201 4th St S, Saint Petersburg, FL 33701"
0,"$2,149 - 5,269",Studio - 3 Beds,"225 1st Ave N, Saint Petersburg, FL 33701"
0,"$1,849 - 3,138",Studio - 2 Beds,"250 Carillon Pky, Saint Petersburg, FL 33716"
0,"$1,942 - 4,722",Studio - 2 Beds,"555 Dr MLK Jr St S, Saint Petersburg, FL 33705"
0,"$1,990 - 3,465",1-3 Beds,"2790 Grand Ave, Saint Petersburg, FL 33716"
0,"$1,954 - 3,305",1-3 Beds,"7950 Park Blvd, Pinellas Park, FL 33781"
