,price,rooms,address
0,"$2,625 - 4,116",1-2 Beds,"100-110 Commons Park N, Stamford, CT 06902"
0,"$2,300 - 4,030",Studio - 2 Beds,"150 Broad St, Stamford, CT 06901"
0,"$2,650 - 3,985",1-3 Beds,"65-77 Prospect St, Stamford, CT 06901"
0,"$2,200 - 3,350",1-2 Beds,"66 Glenbrook Rd, Stamford, CT 06902"
0,"$2,285 - 5,730",Studio - 3 Beds,"150 Southfield Ave, Stamford, CT 06902"
0,"$2,471 - 3,501",Studio - 2 Beds,"66 Summer St, Stamford, CT 06901"
0,"$2,185 - 4,517",Studio - 1 Bed,"44 John st, Stamford, CT 06902"
0,"$2,498 - 3,868",1-2 Beds,"1455 Washington Blvd, Stamford, CT 06902"
0,"$2,225 - 6,050",Studio - 3 Beds,"184 Summer St, Stamford, CT 06901"
0,"$2,587 - 3,750",1-3 Beds,"111 Morgan St, Stamford, CT 06905"
0,"$1,700 - 4,400",Studio - 3 Beds,"1450 Washington Blvd, Stamford, CT 06902"
0,"$2,475 - 13,564",1-2 Beds,"1201 Washington Blvd, Stamford, CT 06902"
0,"$2,345 - 6,216",Studio - 3 Beds,"75 Tresser Blvd, Stamford, CT 06901"
0,"$3,000",1-3 Beds,"163 Franklin St, Stamford, CT 06901"
0,"$2,640 - 5,799",1-2 Beds,"1340 Washington Blvd, Stamford, CT 06902"
0,"$1,605 - 3,286",Studio - 3 Beds,"1425-1435 Bedford St, Stamford, CT 06905"
0,"$1,650 - 2,525",Studio - 3 Beds,"98-140 Hoyt St, Stamford, CT 06905"
0,"$2,040 - 5,540",1-2 Beds,"100 Morgan St, Stamford, CT 06905"
0,"$2,205 - 3,745",Studio - 2 Beds,"1 Greyrock Pl, Stamford, CT 06901"
0,"$2,300 - 3,100",1-3 Beds,"750 Summer St, Stamford, CT 06901"
0,"$2,165 - 4,150",Studio - 3 Beds,"101 Summer St, Stamford, CT 06901"
0,"$2,960 - 4,204",1-3 Beds,"25 Glenbrook Rd, Stamford, CT 06906"
0,"$2,250 - 3,500",1-2 Beds,"545-573 Bedford St, Stamford, CT 06901"
0,"$1,373 - 3,068",Studio - 2 Beds,"695 Atlantic St, Stamford, CT 06902"
0,"$2,492 - 6,371",Studio - 2 Beds,"28 Southfield Ave, Stamford, CT 06902"
0,"$2,509 - 9,963",Studio - 3 Beds,"100 Tresser Blvd, Stamford, CT 06901"
0,"$3,050 - 11,000",Studio - 3 Beds,"130 Tresser Blvd, Stamford, CT 06901"
0,"$1,875 - 3,000",Studio - 2 Beds,"84 W Park Pl, Stamford, CT 06901"
0,"$3,930 - 13,780",1-3 Beds,"143 Sound Beach Ave, Old Greenwich, CT 06870"
0,"$7,100 - 9,750",2 Beds,"70 Forest St, Stamford, CT 06901"
0,"$2,425 - 6,100",1-2 Beds,"201 Commons Park S, Stamford, CT 06902"
0,"$2,414 - 5,551",1-3 Beds,"301 Commons Park S, Stamford, CT 06902"
0,"$3,350",2 Beds,"112 Southfield Ave, Stamford, CT 06902"
0,"$2,125 - 4,000",Studio - 2 Beds,"1 Atlantic St, Stamford, CT 06901"
0,"$2,100 - 4,300",Studio - 3 Beds,"121 Towne St, Stamford, CT 06902"
0,"$2,050 - 5,000",1-3 Beds,"101 Washington Blvd, Stamford, CT 06902"
0,"$2,520 - 5,214",1-2 Beds,"111 Towne St, Stamford, CT 06902"
0,"$2,585 - 9,582",Studio - 2 Beds,"405 Atlantic St, Stamford, CT 06901"
0,"$2,454 - 5,109",Studio - 2 Beds,"120 Towne St, Stamford, CT 06902"
0,"$2,365 - 5,880",Studio - 2 Beds,"1011 Washington Blvd, Stamford, CT 06901"
