,price,rooms,address
0,"$795 - 1,300",Studio - 1 Bed,"34911 Van Dyke Ave, Sterling Heights, MI 48312"
0,"$1,300 - 1,575",1-2 Beds,"33430 Schoenherr Rd, Sterling Heights, MI 48312"
0,"$1,020 - 1,280",1-2 Beds,"4560 15 Mile Rd, Sterling Heights, MI 48310"
0,"$975 - 1,435",1-2 Beds,"13500 Northside Dr, Sterling Heights, MI 48312"
0,"$1,222 - 2,385",1-2 Beds,"36200 Dequindre Rd, Sterling Heights, MI 48310"
0,"$825 - 1,250",1-2 Beds,"42295 Parkside Cir, Sterling Heights, MI 48314"
0,"$975 - 1,065",1-2 Beds,"8600 Beech Dr, Sterling Heights, MI 48312"
0,"$1,080 - 1,745",1-2 Beds,"34820-34822 Moravian Dr, Sterling Heights, MI 48312"
0,"$1,241 - 1,790",1-3 Beds,"44525 Pine Dr, Sterling Heights, MI 48313"
0,"$1,200 - 1,225",1-3 Beds,"34792 Oceanview Dr, Sterling Heights, MI 48312"
0,"$1,550 - 1,900",2 Beds,"44677 Schoenherr Rd, Sterling Heights, MI 48313"
0,"$1,750 - 1,850",2 Beds,"45669 Long Fellow Dr, Shelby Township, MI 48315"
0,"$1,295 - 2,415",Studio - 2 Beds,"2330 John R Rd, Troy, MI 48083"
0,"$1,274 - 1,619",1-2 Beds,"1750 Melville Dr, Rochester Hills, MI 48307"
0,"$1,345 - 3,365",1-2 Beds,"35700 Moravian Dr, Clinton Township, MI 48035"
0,"$1,131 - 2,539",1-2 Beds,"45600 Oak Hill Blvd, Shelby Township, MI 48317"
0,"$1,145 - 1,695",1-2 Beds,"2127 N Lovington Dr, Troy, MI 48083"
0,"$905 - 1,335",1-3 Beds,"45725 Utica Grn W, Shelby Township, MI 48317"
0,"$970 - 1,320",1-2 Beds,"42480 Green Valley Dr, Clinton Township, MI 48038"
0,"$1,850 - 2,400",2-3 Beds,"45797 Utica Park Blvd, Utica, MI 48315"
0,"$850 - 1,809",1-2 Beds,"43144 Carlyle Pl, Clinton Township, MI 48038"
0,"$1,540 - 2,495",Studio - 3 Beds,"2151 E Big Beaver Rd, Troy, MI 48083"
0,"$1,308 - 5,000",1-2 Beds,"34350 Ryan Rd, Sterling Heights, MI 48310"
0,"$945 - 1,480",1-2 Beds,"15770 Lakeside Village Dr, Charter Township of Clinton, MI 48038"
0,"$1,315 - 2,325",1-3 Beds,"3737 Cherry Creek Ln, Sterling Heights, MI 48314"
0,$950,1-2 Beds,"15127 Olivewood Dr, Sterling Heights, MI 48313"
0,"$2,395 - 2,825",2-3 Beds,"14973 Milan Ct, Shelby Township, MI 48315"
0,"$1,465 - 5,363",Studio - 3 Beds,"1901 Village Green Blvd, Rochester Hills, MI 48307"
0,"$905 - 1,155",1-2 Beds,"31499 Mound Rd, Warren, MI 48092"
0,"$1,135 - 1,694",1-2 Beds,"42566 Clinton Place Dr, Clinton Township, MI 48038"
0,"$925 - 1,451",Studio - 3 Beds,"8301 16 1/2 Mile Rd, Sterling Heights, MI 48312"
0,"$1,085 - 1,200",1-2 Beds,"8600 Beech Dr, Sterling Heights, MI 48312"
0,"$996 - 1,374",1-3 Beds,"36505 Northview Blvd, Sterling Heights, MI 48310"
0,"$1,040 - 1,170",1-2 Beds,"6380 E 14 Mile Rd, Warren, MI 48092"
0,"$1,468 - 1,568",2 Beds,"41668 Huntington Dr, Sterling Heights, MI 48313"
0,"$1,150 - 1,425",1-2 Beds,"13375 Stonegate Dr, Sterling Heights, MI 48312"
0,"$960 - 1,585",1-3 Beds,"37118 Camelot Dr, Sterling Heights, MI 48312"
0,"$905 - 1,365",1-2 Beds,"44090 Kings Gate Dr, Sterling Heights, MI 48314"
0,"$885 - 1,250",1-2 Beds,"8348 18 Mile Rd, Sterling Heights, MI 48313"
0,"$884 - 1,325",1-2 Beds,"15010 Ashgrove Dr, Sterling Heights, MI 48313"
