,price,rooms,address
0,"$1,460 - 2,090",1-2 Beds,"1200-1500 Bridgeport Way, Suffolk, VA 23435"
0,"$1,220 - 2,270",1-2 Beds,"1100 Knotts Pointe Ln, Suffolk, VA 23435"
0,"$1,685 - 3,864",1-3 Beds,"2000 Ironside Dr, Suffolk, VA 23435"
0,"$1,260 - 1,730",1-3 Beds,"3900-3931 Breezeport Way, Suffolk, VA 23435"
0,"$1,504 - 2,443",1-3 Beds,"3200 Prices Folk Blvd, Suffolk, VA 23435"
0,"$1,270 - 2,100",1-3 Beds,"1000 Skipjack Ln, Suffolk, VA 23434"
0,"$1,400 - 3,000",Studio - 3 Beds,"3061 Godwin Blvd, Suffolk, VA 23434"
0,"$1,808 - 2,048",1-3 Beds,"2019 Barclay Pl, Suffolk, VA 23435"
0,"$969 - 1,689",1-3 Beds,"3537 Towne Pointe Rd, Chesapeake, VA 23321"
0,"$1,275 - 1,695",1-3 Beds,"3601 Gateway Dr, Portsmouth, VA 23703"
0,"$1,599 - 2,799",1-2 Beds,"901 Beringer Rd, Suffolk, VA 23435"
0,"$1,539 - 2,299",1-3 Beds,"1000 Hallstead Blvd, Suffolk, VA 23434"
0,"$1,448 - 2,200",1-3 Beds,"7190 Harbour Towne Pky, Suffolk, VA 23435"
0,"$950 - 1,299",1-3 Beds,"6200 Hightower Rd, Portsmouth, VA 23703"
0,"$2,450 - 2,825",3 Beds,"2005 Waterside Dr, Suffolk, VA 23434"
0,"$1,459 - 2,293",1-2 Beds,"1000 Meridian Obici Way, Suffolk, VA 23434"
0,"$1,400 - 1,675",1-2 Beds,"1000 Jentsen Loop, Suffolk, VA 23435"
0,"$1,005 - 1,420",2-3 Beds,"116 Nancy Dr, Suffolk, VA 23434"
0,"$995 - 1,450",1-3 Beds,"114 Nancy Dr, Suffolk, VA 23434"
0,"$1,099 - 1,565",1-3 Beds,"3802 Towne Point Rd, Portsmouth, VA 23703"
0,"$1,145 - 1,640",1-3 Beds,"3790 Pepperwood Ct, Portsmouth, VA 23703"
0,"$1,529 - 2,699",1-2 Beds,"1001 Beringer Rd, Suffolk, VA 23435"
0,"$1,565 - 1,620",2 Beds,"1056 Centerbrooke Ln, Suffolk, VA 23434"
0,"$1,200 - 1,350",1-2 Beds,"601 Hillpoint Blvd, Suffolk, VA 23434"
0,"$1,200",2 Beds,"3624 Tejo Ln, Portsmouth, VA 23703"
0,"$2,084",1 Bed,"Suffolk, VA 23435"
0,"$2,520",1 Bed,"Suffolk, VA 23435"
