,price,rooms,address
0,"$3,295 - 8,710",1-2 Beds,"1030 Indian Wells Ave, Sunnyvale, CA 94085"
0,"$3,300 - 4,700",1-2 Beds,"1008 E El Camino Real, Sunnyvale, CA 94087"
0,"$2,195 - 2,695",1-2 Beds,"620 Iris Ave, Sunnyvale, CA 94086"
0,"$3,385 - 5,480",1-2 Beds,"3580 Rambla Pl, Santa Clara, CA 95051"
0,"$3,230 - 7,274",1-2 Beds,"19608 Pruneridge Ave, Cupertino, CA 95014"
0,"$3,000 - 5,000",Studio - 2 Beds,"1101 N Fair Oaks Ave, Sunnyvale, CA 94089"
0,"$2,571 - 5,275",Studio - 3 Beds,"550 E Weddell Dr, Sunnyvale, CA 94089"
0,"$3,099 - 7,453",1-2 Beds,"745 S Bernardo Ave, Sunnyvale, CA 94087"
0,"$1,350 - 1,450",Studio,"101 W Weddell Dr, Sunnyvale, CA 94089"
0,"$3,729 - 5,235",1-2 Beds,"1095 W El Camino Real, Sunnyvale, CA 94087"
0,"$3,139 - 4,399",1-2 Beds,"1120 Kifer Rd, Sunnyvale, CA 94086"
0,"$2,586 - 10,000",Studio - 2 Beds,"1250 Lakeside Dr, Sunnyvale, CA 94085"
0,"$2,255 - 5,200",1-3 Beds,"1035 Aster Ave, Sunnyvale, CA 94086"
0,"$3,095 - 5,145",1-3 Beds,"718 Old San Francisco Rd, Sunnyvale, CA 94086"
0,"$2,250 - 3,100",1-2 Beds,"395-396 Ano Nuevo Ave, Sunnyvale, CA 94085"
0,"$3,195 - 4,020",1-2 Beds,"1000 Escalon Ave, Sunnyvale, CA 94085"
0,"$2,525 - 4,525",1-2 Beds,"555 E Washington Ave, Sunnyvale, CA 94086"
0,"$2,232 - 2,995",1-2 Beds,"1235 Wildwood Ave, Sunnyvale, CA 94089"
0,"$3,291 - 8,850",Studio - 3 Beds,"200 Infinity Way, Mountain View, CA 94043"
0,"$2,699 - 5,905",1-2 Beds,"3560 Rambla Pl, Santa Clara, CA 95051"
0,"$3,589 - 6,817",Studio - 3 Beds,"555 E Evelyn Ave, Mountain View, CA 94041"
0,"$1,673 - 3,400",1-3 Beds,"2330 Monroe St, Santa Clara, CA 95050"
0,"$3,835 - 6,060",Studio - 2 Beds,"1265 Pear Ave, Mountain View, CA 94043"
0,"$2,595 - 3,870",1-3 Beds,"1901 Halford Ave, Santa Clara, CA 95051"
0,"$2,964 - 3,092",1-3 Beds,"210 Calderon Ave, Mountain View, CA 94041"
0,"$2,795 - 5,295",1-3 Beds,"10100 Mary Ave, Cupertino, CA 95014"
0,"$2,119 - 3,950",1-3 Beds,"3500 Granada Ave, Santa Clara, CA 95051"
0,"$2,725 - 4,395",1-3 Beds,"151 S Bernardo Ave, Sunnyvale, CA 94086"
0,"$3,594 - 4,466",1-2 Beds,"150 S Taaffe St, Sunnyvale, CA 94086"
0,"$3,015 - 5,215",Studio - 2 Beds,"3320 Montgomery Dr, Santa Clara, CA 95054"
0,"$3,030 - 7,000",Studio - 2 Beds,"3555 Monroe St, Santa Clara, CA 95051"
0,"$2,590 - 2,825",1-2 Beds,"3455 Homestead Rd, Santa Clara, CA 95051"
0,"$3,058 - 5,566",1-2 Beds,"1160 Morse Ave, Sunnyvale, CA 94089"
0,"$3,076 - 3,785",1-2 Beds,"739 E El Camino Real, Sunnyvale, CA 94087"
0,"$2,645 - 3,164",1-2 Beds,"1055 E Evelyn Ave, Sunnyvale, CA 94086"
0,"$2,756 - 3,699",1-2 Beds,"180 Pasito Ter, Sunnyvale, CA 94086"
0,"$2,350 - 2,595",1 Bed,"160-180 Locksunart Way, Sunnyvale, CA 94087"
0,"$2,600 - 3,265",Studio - 2 Beds,"870-874 E El Camino Real, Sunnyvale, CA 94087"
0,"$2,920 - 4,360",Studio - 3 Beds,"1257 Lakeside Dr, Sunnyvale, CA 94085"
0,"$2,195 - 2,650",1-2 Beds,"1209-1235 Ayala Dr, Sunnyvale, CA 94086"
