,price,rooms,address
0,"$1,274 - 1,504",1-3 Beds,"6901 E Lake Mead Blvd, Las Vegas, NV 89156"
0,"$1,110 - 2,220",1-2 Beds,"4201 E Craig Rd, North Las Vegas, NV 89030"
0,"$1,047 - 2,061",1-2 Beds,"5075 Spyglass Hill Dr, Las Vegas, NV 89142"
0,"$700 - 1,100",Studio - 2 Beds,"3040 E Charleston Blvd, Las Vegas, NV 89104"
0,"$900 - 2,150",1-4 Beds,"3240 N Las Vegas Blvd, Las Vegas, NV 89115"
0,"$895 - 1,145",1-2 Beds,"1755 Palm St, Las Vegas, NV 89104"
0,"$1,065 - 1,880",1-3 Beds,"5150 E Sahara Ave, Las Vegas, NV 89142"
0,"$1,080 - 1,664",1-2 Beds,"2675 S Nellis Blvd, Las Vegas, NV 89121"
0,"$915 - 1,415",1-3 Beds,"4870 Nellis Oasis Ln, Las Vegas, NV 89115"
0,"$750 - 1,435",Studio - 2 Beds,"5025 Nellis Oasis Ln, Las Vegas, NV 89115"
0,"$945 - 1,735",1-3 Beds,"3800 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,169 - 2,977",1-3 Beds,"5250 Stewart Ave, Las Vegas, NV 89110"
0,"$1,050 - 1,505",1-3 Beds,"4855 Vegas Valley Dr, Las Vegas, NV 89121"
0,"$1,168 - 2,938",1-3 Beds,"3975 N Nellis Blvd, Las Vegas, NV 89115"
0,"$1,085 - 1,550",1-3 Beds,"3985 E Cheyenne Ave, Las Vegas, NV 89115"
0,"$1,245 - 1,400",2-3 Beds,"4550 Karen Ave, Las Vegas, NV 89121"
0,"$2,310 - 2,656",3-4 Beds,"3779 Autzen Stadium Way, Las Vegas, NV 89115"
0,"$1,315 - 1,460",2-3 Beds,"4450 Karen Ave, Las Vegas, NV 89121"
0,"$1,367 - 2,722",1-2 Beds,"3055 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,045 - 1,809",1-3 Beds,"4801 E Sahara Ave, Las Vegas, NV 89104"
0,"$1,143 - 1,763",1-3 Beds,"5024 Broken Sound Dr, Las Vegas, NV 89110"
0,"$1,367 - 1,813",1-3 Beds,"3580 E Alexander Rd, Las Vegas, NV 89115"
0,"$1,059 - 1,656",1-2 Beds,"7055 E Lake Mead Blvd, Las Vegas, NV 89156"
0,"$950 - 1,300",Studio - 3 Beds,"2855 N Walnut Rd, Las Vegas, NV 89115"
0,"$1,095 - 1,545",1-3 Beds,"2895 E Charleston Blvd, Las Vegas, NV 89104"
0,"$1,265 - 2,240",2-3 Beds,"5225 E Charleston Blvd, Las Vegas, NV 89142"
0,"$900 - 1,330",1-3 Beds,"4255 N Nellis Blvd, Las Vegas, NV 89115"
0,"$1,133 - 3,072",1-3 Beds,"3050 S Nellis Blvd, Las Vegas, NV 89121"
0,"$845 - 1,540",1-3 Beds,"5370 E Craig Rd, Las Vegas, NV 89115"
0,"$1,349 - 2,991",1-2 Beds,"3210 S Sandhill Rd, Las Vegas, NV 89121"
0,"$1,270 - 2,640",1-3 Beds,"60 N Pecos Rd, Las Vegas, NV 89101"
0,"$1,045 - 1,534",1-3 Beds,"3150 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,100 - 1,500",1-3 Beds,"6435 Grass Meadows Dr, Las Vegas, NV 89142"
0,"$878 - 1,201",1-3 Beds,"1220 Tree Line Dr, Las Vegas, NV 89142"
0,"$995 - 1,455",1-3 Beds,"451 N Nellis Blvd, Las Vegas, NV 89110"
0,"$695 - 1,200",Studio - 3 Beds,"5421 E Harmon Ave, Las Vegas, NV 89122"
0,"$1,269 - 1,609",1-3 Beds,"4770 E Owens Ave, Las Vegas, NV 89110"
0,"$1,199 - 1,300",1-3 Beds,"5055 E Charleston Blvd, Las Vegas, NV 89104"
0,"$1,195 - 1,525",1-3 Beds,"6360 E Sahara Ave, Las Vegas, NV 89142"
0,"$1,219 - 1,410",1-2 Beds,"3330 Las Vegas Blvd N, Las Vegas, NV 89115"
