,price,rooms,address
0,"$2,368 - 4,400",1-3 Beds,"3001 NW 130th Ter, Sunrise, FL 33323"
0,"$2,225 - 3,570",1-3 Beds,"9141 W Commercial Blvd, Tamarac, FL 33351"
0,"$2,066 - 3,340",1-3 Beds,"8894 NW 44th St, Sunrise, FL 33351"
0,"$1,950 - 3,275",1-3 Beds,"1640 NW 128th Dr, Sunrise, FL 33323"
0,"$2,150 - 2,600",2 Beds,"5350-5370 NW 88th Ave, Sunrise, FL 33351"
0,"$2,075 - 4,715",1-3 Beds,"6901 W Sunrise Blvd, Plantation, FL 33313"
0,"$2,337 - 3,575",1-3 Beds,"1711 N University Dr, Plantation, FL 33322"
0,"$1,875 - 3,050",Studio - 3 Beds,"5475 N University, Lauderhill, FL 33351"
0,"$1,895 - 2,357",1-2 Beds,"6701 W Oakland Park Blvd, Fort Lauderdale, FL 33313"
0,"$1,739 - 3,110",Studio - 2 Beds,"1171 Lakepointe L..., Plantation, FL 33322"
0,"$1,525 - 2,425",1-3 Beds,"7001-7081 NW 16th St, Plantation, FL 33313"
0,"$2,100 - 3,684",1-3 Beds,"13500 NW 3rd St, Plantation, FL 33325"
0,"$1,300 - 2,075",Studio - 3 Beds,"4200 Inverrary Blvd, Lauderhill, FL 33319"
0,"$1,750 - 2,630",1-3 Beds,"2360 NW 56th Ave, Lauderhill, FL 33313"
0,"$2,200 - 3,045",1-2 Beds,"10000 Reflections Blvd, Sunrise, FL 33351"
0,"$1,990 - 2,040",1-4 Beds,"4001 N Pine Island Rd, Sunrise, FL 33351"
0,"$2,203 - 4,521",1-3 Beds,"3551 NW 85th Way, Sunrise, FL 33351"
0,"$1,730 - 2,198",1-2 Beds,"8650 NW 61st St, Tamarac, FL 33321"
0,"$1,979 - 2,630",1-2 Beds,"10931 NW 39th St, Sunrise, FL 33351"
0,"$2,315 - 2,650",1-2 Beds,"4108 N Pine Island Rd, Sunrise, FL 33351"
0,"$1,811 - 2,455",1-2 Beds,"8798 NW 38th St, Sunrise, FL 33351"
0,"$1,700 - 2,000",1-2 Beds,"3200 NW 84th Ave, Sunrise, FL 33351"
0,"$2,111 - 4,481",1-3 Beds,"2903 NW 130th Ave, Sunrise, FL 33323"
0,"$1,995 - 2,795",1-3 Beds,"4295 NW 109th Ter, Sunrise, FL 33351"
0,"$1,687 - 2,138",Studio - 3 Beds,"4001 N University Dr, Sunrise, FL 33351"
0,"$2,076 - 2,537",1-2 Beds,"8101 NW 14th St, Plantation, FL 33322"
0,"$2,240 - 5,326",1-3 Beds,"1202 Fairlake Blvd, Weston, FL 33326"
0,"$1,890 - 2,200",1-2 Beds,"5314 NW 27th St, Lauderhill, FL 33313"
0,"$1,670 - 2,470",1-2 Beds,"7505 NW 44th St, Lauderhill, FL 33319"
0,"$2,053 - 4,326",Studio - 3 Beds,"1827 NW 136th Ave, Sunrise, FL 33323"
0,"$2,150 - 4,062",1-3 Beds,"1501 NW 124th Terrace, Sunrise, FL 33323"
0,"$2,150",2 Beds,"9404 NW 49th Pl, Sunrise, FL 33351"
0,"$1,901 - 2,255",1-3 Beds,"10901 NW 40th St, Sunrise, FL 33351"
0,"$1,650",1 Bed,"7609 NW 42nd Plz, Sunrise, FL 33351"
0,"$1,550 - 2,615",1-2 Beds,"2915 NW 60th Ave, Sunrise, FL 33313"
0,"$2,015 - 4,237",1-3 Beds,"200 Commodore Dr, Plantation, FL 33325"
0,"$1,995 - 5,000",1-3 Beds,"100 Bonaventure Blvd, Weston, FL 33326"
0,"$2,900",3 Beds,"Sunrise, FL 33351"
0,"$1,495",Studio,"Lauderhill, FL 33319"
0,"$2,900 /mo","3 Beds, 2 Baths","Lauderhill, FL 33313"
