,price,rooms,address
0,"$1,475 - 3,020",1-2 Beds,"15510 N La Cometa, Surprise, AZ 85374"
0,"$1,550 - 2,250",1-3 Beds,"16630 N Pat Tillman Blvd, Surprise, AZ 85387"
0,"$1,999 - 2,704",3-5 Beds,"25200 N 151st Dr, Surprise, AZ 85387"
0,"$1,485 - 2,159",1-3 Beds,"16485 N Stadium Way, Surprise, AZ 85374"
0,"$1,471 - 2,527",1-2 Beds,"15025 W Old Oak Ln, Surprise, AZ 85379"
0,"$1,460 - 2,591",1-2 Beds,"14155 W Mountain View Blvd, Surprise, AZ 85374"
0,"$1,565 - 2,420",1-3 Beds,"16755 N Sarival Ave, Surprise, AZ 85374"
0,"$1,499 - 1,949",1-2 Beds,"12065 N 168th Ln, Surprise, AZ 85387"
0,"$1,385 - 2,640",Studio - 3 Beds,"16230 N Litchfield Rd, Surprise, AZ 85374"
0,"$1,467 - 2,398",1-3 Beds,"17785 W Bell Rd, Surprise, AZ 85374"
0,"$2,699 - 2,899",3 Beds,"16601 N Parkview Pl, Surprise, AZ 85374"
0,"$1,549 - 2,399",1-3 Beds,"16630 N Reems Rd, Surprise, AZ 85374"
0,"$1,546 - 2,746",1-3 Beds,"15164 N 140th Dr, Surprise, AZ 85379"
0,"$1,393 - 2,331",1-2 Beds,"15267 N 140th Dr, Surprise, AZ 85379"
0,"$1,569 - 3,328",1-3 Beds,"11755 W Thompson Ranch Rd, El Mirage, AZ 85335"
0,"$1,365 - 2,132",1-4 Beds,"17927 N Parkview Pl, Surprise, AZ 85374"
0,"$1,975 - 2,075",3 Beds,"16520 N Greasewood St, Surprise, AZ 85378"
0,"$1,357 - 2,829",Studio - 3 Beds,"16945 N Stadium Way, Surprise, AZ 85374"
0,"$2,049 - 2,724",2-3 Beds,"16830 N 141st Ave, Surprise, AZ 85374"
0,"$1,395 - 2,045",1-3 Beds,"11142 N 165th Dr, Surprise, AZ 85388"
0,"$1,378 - 2,461",1-3 Beds,"17447 N Avenue of the Arts Ave, Surprise, AZ 85378"
0,"$1,980 /mo","3 Beds, 2 Baths","Surprise, AZ 85388"
