,price,rooms,address
0,"$1,561 - 4,574",Studio - 2 Beds,"1328 Market St, Tacoma, WA 98402"
0,"$2,180 - 2,870",1-2 Beds,"34816 1st Ave South, Federal Way, WA 98003"
0,"$1,355 - 2,844",1-3 Beds,"2602 Westridge Ave W, Tacoma, WA 98466"
0,"$1,925 - 3,115",Studio - 2 Beds,"1933 Dock St, Tacoma, WA 98402"
0,"$2,129 - 6,809",1-3 Beds,"5005 Main St, Tacoma, WA 98407"
0,"$1,710 - 2,755",Studio - 2 Beds,"102 N G St, Tacoma, WA 98403"
0,"$1,360 - 2,015",Studio - 2 Beds,"1502 S Orchard St, Tacoma, WA 98465"
0,"$1,200 - 1,920",Studio - 2 Beds,"409 S 23rd St, Tacoma, WA 98402"
0,"$1,475 - 2,050",Studio - 2 Beds,"4801 176th St E, Tacoma, WA 98446"
0,"$1,295 - 2,500",Studio - 2 Beds,"308 Tacoma Ave S, Tacoma, WA 98402"
0,"$1,216 - 1,794",Studio - 1 Bed,"1909 Fawcett Ave, Tacoma, WA 98402"
0,"$1,660 - 3,748",Studio - 2 Beds,"415 St Helens Ave, Tacoma, WA 98402"
0,"$1,699 - 1,950",Studio - 1 Bed,"3725 N 27th St, Tacoma, WA 98407"
0,"$1,250 - 1,700",Studio - 2 Beds,"715 S I St, Tacoma, WA 98405"
0,"$1,387 - 2,587",Studio - 1 Bed,"252 Broadway, Tacoma, WA 98402"
0,"$1,785 - 2,720",Studio - 2 Beds,"1705 Dock St, Tacoma, WA 98402"
0,"$1,564 - 2,470",1-3 Beds,"4901 Fairwood Blvd NE, Tacoma, WA 98422"
0,"$1,536 - 2,059",1-3 Beds,"1202 N Pearl St, Tacoma, WA 98406"
0,"$1,266 - 2,339",Studio - 2 Beds,"2368 S Yakima Ave, Tacoma, WA 98405"
0,Call for Rent,Studio - 2 Beds,"436 Broadway, Tacoma, WA 98402"
0,"$1,438 - 2,449",1-2 Beds,"603 S J St, Tacoma, WA 98405"
0,"$1,340 - 2,295",Studio - 3 Beds,"11302 10th Ave Ct E, Tacoma, WA 98445"
0,"$1,325 - 3,025",Studio - 2 Beds,"319 N Tacoma Ave, Tacoma, WA 98403"
0,"$1,396 - 3,478",1-3 Beds,"415 6th Ave, Tacoma, WA 98402"
0,"$1,340 - 2,418",Studio - 2 Beds,"2325 S 96th St, Tacoma, WA 98444"
0,"$1,449 - 2,299",1-3 Beds,"202-210 Tacoma Ave S, Tacoma, WA 98402"
0,"$1,404 - 6,075",1-3 Beds,"31004 19th Pl SW, Federal Way, WA 98023"
0,"$1,595 - 2,895",1-3 Beds,"2715 62nd Ave E, Fife, WA 98424"
0,"$1,651 - 3,631",Studio - 3 Beds,"2211 68th Avenue Ct W, University Place, WA 98466"
0,"$1,500 - 2,850",Studio - 2 Beds,"4201 Bridgeport Way W, University Place, WA 98466"
0,"$1,150",Studio,"3501 Pacific Hwy E, Fife, WA 98424"
0,"$1,493 - 2,168",1-3 Beds,"1901 SW 320th St, Federal Way, WA 98023"
0,"$1,450 - 2,375",1-3 Beds,"4828-4930 123rd St SW, Lakewood, WA 98499"
0,"$1,451 - 2,969",1-3 Beds,"9501 59th Ave SW, Lakewood, WA 98499"
0,"$1,795 - 2,595",2-3 Beds,"7654 40th St W, University Place, WA 98466"
0,"$1,600 - 2,800",1-2 Beds,"117 Tacoma Ave N, Tacoma, WA 98403"
0,"$2,495 - 2,995",2 Beds,"1101 N Mountain View Dr, Tacoma, WA 98406"
0,"$1,420 - 2,575",Studio - 2 Beds,"3118 6th Ave, Tacoma, WA 98406"
0,"$1,480 - 1,713",Studio - 2 Beds,"1515 Tacoma Ave, Tacoma, WA 98402"
0,"$1,425 - 3,725",Studio - 2 Beds,"1502 Fawcett Ave, Tacoma, WA 98402"
