,price,rooms,address
0,"$1,559 - 2,099",1-3 Beds,"2730 Welaunee Blvd, Tallahassee, FL 32308"
0,"$1,750 - 2,550",1-3 Beds,"1894 Merchants Row Blvd, Tallahassee, FL 32311"
0,$664 - 744,3 Beds,"1560 San Luis Rd, Tallahassee, FL 32304"
0,"$1,205 - 1,520",1-3 Beds,"501 Blairstone Rd, Tallahassee, FL 32301"
0,"$1,300 - 1,985",1-3 Beds,"850 Capital Walk Dr, Tallahassee, FL 32303"
0,"$1,489 - 1,929",1-3 Beds,"4910 N Monroe St, Tallahassee, FL 32303"
0,"$714 - 1,529",1-4 Beds,"2525 W Tennessee St, Tallahassee, FL 32304"
0,"$479 - 2,276",2-4 Beds,"1505 W Tharpe St, Tallahassee, FL 32303"
0,"$699 - 1,599",1-4 Beds,"2614 W Tennessee St, Tallahassee, FL 32304"
0,"$1,305 - 1,915",1-3 Beds,"2500 Merchants Row Blvd, Tallahassee, FL 32311"
0,"$975 - 1,200",1 Bed,"1515 Levy Ave, Tallahassee, FL 32310"
0,"$1,029 - 1,359",Studio - 2 Beds,"631 E Call St, Tallahassee, FL 32301"
0,"$1,050 - 1,425",1-3 Beds,"2000 N Meridian Rd, Tallahassee, FL 32303"
0,"$1,145 - 1,845",1-3 Beds,"2626 E Park Ave, Tallahassee, FL 32301"
0,"$900 - 1,300",1-3 Beds,"3000 S Adams St, Tallahassee, FL 32301"
0,"$850 - 1,600",1-4 Beds,"1375 Pullen Rd, Tallahassee, FL 32303"
0,"$941 - 1,419",1-3 Beds,"2060 Continental Ave, Tallahassee, FL 32304"
0,"$815 - 1,110",1-3 Beds,"2712 Country Club Dr, Tallahassee, FL 32301"
0,"$1,463 - 2,429",1-3 Beds,"3148 Dick Wilson Blvd, Tallahassee, FL 32301"
0,"$1,565 - 4,200",Studio - 3 Beds,"440 N Monroe St, Tallahassee, FL 32301"
0,"$1,458 - 3,743",1-3 Beds,"3700 Capital Cir SE, Tallahassee, FL 32311"
0,"$950 - 1,425",Studio - 3 Beds,"2855 Apalachee Pky, Tallahassee, FL 32301"
0,"$985 - 1,575",1-3 Beds,"280 John Knox Rd, Tallahassee, FL 32303"
0,"$919 - 1,517",1-4 Beds,"1303 Ocala Rd, Tallahassee, FL 32304"
0,"$1,399 - 1,549",2 Beds,"770 Appleyard Dr, Tallahassee, FL 32304"
0,$679 - 894,3-4 Beds,"1000 High Rd, Tallahassee, FL 32304"
0,"$1,253 - 2,638",1-3 Beds,"1900 Centre Pointe Blvd, Tallahassee, FL 32308"
0,$689 - 819,4 Beds,"600 Dixie Dr, Tallahassee, FL 32304"
0,"$1,239 - 1,539",1-3 Beds,"2750 Old Saint Augustine Rd, Tallahassee, FL 32301"
0,"$1,339 - 1,559",1-3 Beds,"1655 Eagles Landing Blvd, Tallahassee, FL 32308"
0,"$1,363 - 1,718",1-3 Beds,"619-643 Arbor Station Ln, Tallahassee, FL 32312"
0,"$669 - 2,500",1-2 Beds,"2202 W Pensacola St, Tallahassee, FL 32304"
0,"$1,210 - 1,715",1-4 Beds,"2915 Sharer Rd, Tallahassee, FL 32312"
0,"$1,055 - 1,820",1-4 Beds,"1112 S Magnolia Dr, Tallahassee, FL 32301"
0,"$1,249 - 1,749",1-3 Beds,"2000 Merchants Row Blvd, Tallahassee, FL 32311"
0,$625 - 780,4 Beds,"235 S Ocala Rd, Tallahassee, FL 32304"
0,"$1,125 - 1,520",1-3 Beds,"1325 W Tharpe St, Tallahassee, FL 32303"
0,"$1,465 - 1,820",4 Beds,"2833 S Adams St, Tallahassee, FL 32301"
0,"$930 - 1,500",1-3 Beds,"275 John Knox Rd, Tallahassee, FL 32303"
0,"$1,398 - 2,321",1-3 Beds,"2677 Old Bainbridge Rd, Tallahassee, FL 32303"
