,price,rooms,address
0,"$2,111 - 4,731",1-3 Beds,"40140 Village Rd, Temecula, CA 92591"
0,"$1,950 - 2,375",1-2 Beds,"29485 Rancho California Rd, Temecula, CA 92591"
0,"$2,265 - 3,290",1-3 Beds,"31220 Samantha Ln, Temecula, CA 92592"
0,"$2,351 - 4,087",1-3 Beds,"41754 Margarita Rd, Temecula, CA 92591"
0,"$1,895 - 2,450",1-3 Beds,"29911 Mira Loma Dr, Temecula, CA 92592"
0,"$2,050 - 4,276",2-3 Beds,"42200 Moraga Rd, Temecula, CA 92591"
0,"$1,765 - 2,245",2 Beds,"42211 Stonewood Rd, Temecula, CA 92591"
0,"$2,395 - 3,220",1-3 Beds,"30135 Rancho California Rd, Temecula, CA 92592"
0,"$1,825 - 3,080",1-3 Beds,"30000 Rancho California Rd, Temecula, CA 92591"
0,"$1,875 - 3,635",1-3 Beds,"26900 Winchester Creek Ave, Murrieta, CA 92563"
0,"$2,200 - 2,500",2 Beds,"29489 Via Las Colinas, Temecula, CA 92592"
0,"$2,395 - 3,590",1-3 Beds,"43590 Ventana St, Temecula, CA 92591"
0,"$2,103 - 10,000",1-2 Beds,"31901 Campanula Way, Temecula, CA 92592"
0,"$2,144 - 3,697",1-3 Beds,"28845 Pujol St, Temecula, CA 92590"
0,"$1,790 - 2,240",1-2 Beds,"30660 Milky Way Dr, Temecula, CA 92592"
0,"$1,879 - 5,022",1-3 Beds,"38245 Murrieta Hot Springs Rd, Murrieta, CA 92563"
0,"$2,276 - 3,290",1-3 Beds,"42450 Moraga Rd, Temecula, CA 92591"
0,"$2,215 - 2,605",2 Beds,"42200 Margarita Rd, Temecula, CA 92592"
0,"$2,198 - 3,967",1-3 Beds,"41955 Margarita Rd, Temecula, CA 92591"
0,"$2,045 - 2,645",1-2 Beds,"29500 Mira Loma Dr, Temecula, CA 92592"
0,"$1,946 - 2,754",1-2 Beds,"39930 Whitewood Rd, Murrieta, CA 92563"
