,price,rooms,address
0,"$1,393 - 4,540",Studio - 4 Beds,"906 N Miller Rd, Tempe, AZ 85288"
0,"$1,612 - 3,087",Studio - 2 Beds,"1979 E Rio Salado Pky, Tempe, AZ 85281"
0,"$1,454 - 4,256",1-3 Beds,"1250 W Grove Pky, Tempe, AZ 85283"
0,"$938 - 3,638",Studio - 2 Beds,"3730 S Mill Ave, Tempe, AZ 85282"
0,"$1,610 - 2,804",1-3 Beds,"4690 S Lakeshore Dr, Tempe, AZ 85282"
0,"$1,650 - 3,700",Studio - 3 Beds,"7115 E McDowell Rd, Scottsdale, AZ 85257"
0,"$1,795 - 2,750",Studio - 3 Beds,"2040-2060 N Scottsdale Rd, Scottsdale, AZ 85257"
0,"$1,095 - 1,694",Studio - 2 Beds,"2107 W Broadway Rd, Mesa, AZ 85202"
0,"$1,399 - 2,139",1-3 Beds,"2900 W Highland, Chandler, AZ 85224"
0,"$1,500 - 4,470",Studio - 3 Beds,"2001 N Scottsdale Rd, Scottsdale, AZ 85257"
0,"$1,450 - 3,835",Studio - 2 Beds,"909 E Playa del Norte Dr, Tempe, AZ 85288"
0,"$1,444 - 5,439",Studio - 3 Beds,"2062 E Cameron Way, Tempe, AZ 85281"
0,"$1,642 - 5,692",Studio - 3 Beds,"420 N Scottsdale Rd, Tempe, AZ 85281"
0,"$1,392 - 7,293",Studio - 3 Beds,"1003 W Washington St, Tempe, AZ 85281"
0,"$1,374 - 2,623",Studio - 2 Beds,"2157 E Apache Blvd, Tempe, AZ 85281"
0,"$1,472 - 4,588",Studio - 2 Beds,"2325 E Rio Salado Pky, Tempe, AZ 85288"
0,"$1,581 - 4,271",Studio - 3 Beds,"711 W Broadway Rd, Tempe, AZ 85282"
0,"$1,751 - 3,291",Studio - 3 Beds,"98 South River Dr, Tempe, AZ 85281"
0,"$1,360 - 2,772",Studio - 2 Beds,"2025 E Apache Blvd, Tempe, AZ 85281"
0,"$1,699 - 3,175",Studio - 2 Beds,"651 E 6th St, Tempe, AZ 85281"
0,"$1,649 - 2,849",Studio - 3 Beds,"2160 E Baseline Rd, Tempe, AZ 85282"
0,"$1,279 - 2,180",Studio - 3 Beds,"1811 E Apache Blvd, Tempe, AZ 85281"
0,"$1,575 - 4,049",Studio - 2 Beds,"555 N College Ave, Tempe, AZ 85281"
0,"$1,042 - 3,302",Studio - 2 Beds,"4130 S Mill Ave, Tempe, AZ 85282"
0,"$1,197 - 1,837",Studio - 2 Beds,"1311 W Baseline Rd, Tempe, AZ 85283"
0,"$935 - 2,098",Studio - 2 Beds,"2100 N Scottsdale Rd, Tempe, AZ 85288"
0,"$1,329 - 2,149",1-3 Beds,"1600 W La Jolla Dr, Tempe, AZ 85282"
0,"$1,150 - 1,600",Studio - 2 Beds,"1145 W Baseline Rd, Tempe, AZ 85283"
0,"$1,200 - 1,340",1 Bed,"1901 E Apache Blvd, Tempe, AZ 85281"
0,"$1,748 - 13,500",Studio - 4 Beds,"115 W 6th St, Tempe, AZ 85281"
0,"$1,145 - 1,445",1-2 Beds,"4540 S Rural Rd, Tempe, AZ 85282"
0,"$1,474 - 2,162",1-3 Beds,"1525 E Baseline Rd, Tempe, AZ 85283"
0,"$2,100 - 3,525",1-3 Beds,"1275 E University Dr, Tempe, AZ 85281"
0,"$1,075 - 1,350",1-2 Beds,"1330 W Broadway Rd, Tempe, AZ 85282"
0,"$1,661 - 2,937",2-4 Beds,"1155 W Grove Pky, Tempe, AZ 85283"
0,"$1,025 - 1,375",1-2 Beds,"1865 E Broadway Rd, Tempe, AZ 85282"
0,"$1,413 - 2,512",1-3 Beds,"2323 E Apache Blvd, Tempe, AZ 85281"
0,"$1,095 - 1,550",1-2 Beds,"1137 E Orange St, Tempe, AZ 85281"
0,"$1,595 - 3,500",Studio - 3 Beds,"601 W Rio Salado Pky, Tempe, AZ 85281"
0,"$1,319 - 2,169",1-3 Beds,"909 W Grove Pky, Tempe, AZ 85283"
