,price,rooms,address
0,"$1,195 - 1,875",1-3 Beds,"720 Azalea Dr, Temple, TX 76502"
0,"$1,185 - 1,885",1-3 Beds,"6611 Abode Ave, Temple, TX 76502"
0,"$839 - 1,294",1-2 Beds,"2402 S 61st St, Temple, TX 76502"
0,"$1,269 - 1,829",1-2 Beds,"507 Marlandwood Rd, Temple, TX 76502"
0,"$1,250 - 2,300",1-3 Beds,"2102 Scott Blvd, Temple, TX 76504"
0,"$1,070 - 1,910",1-3 Beds,"2012 S 31st St, Temple, TX 76504"
0,"$975 - 1,415",1-3 Beds,"3007 Antelope Trl, Temple, TX 76504"
0,"$998 - 2,147",1-3 Beds,"5227 W Adams Ave, Temple, TX 76502"
0,"$1,019 - 2,146",1-3 Beds,"463 Westfield Blvd, Temple, TX 76502"
0,"$845 - 1,339",Studio - 2 Beds,"4802 S 31st St, Temple, TX 76502"
0,"$924 - 1,394",1-3 Beds,"2602 S 39th St, Temple, TX 76504"
0,"$1,275 - 1,850",1-3 Beds,"3300 N Main St, Belton, TX 76513"
0,"$1,215 - 2,395",1-3 Beds,"3010 Ira Young Dr, Temple, TX 76504"
0,"$1,075 - 2,185",1-2 Beds,"3000 W Adams Ave, Temple, TX 76504"
0,"$989 - 1,999",1-2 Beds,"460 s Cedar Rd, Temple, TX 76502"
0,"$975 - 1,585",1-3 Beds,"5433 205 Loop, Temple, TX 76502"
0,"$991 - 1,876",1-2 Beds,"2510 S 31st St, Temple, TX 76504"
0,"$880 - 2,550",1-2 Beds,"3009 Ira Young Dr, Temple, TX 76504"
0,"$845 - 1,234",1-2 Beds,"3311 SW H K Dodgen Loop, Temple, TX 76502"
0,"$1,285 - 1,680",1-2 Beds,"200 Lake Rd, Belton, TX 76513"
0,"$1,127 - 1,592",1-3 Beds,"1213 Waters Dairy Rd, Temple, TX 76502"
0,"$850 - 1,225",1-2 Beds,"2405 S 13th St, Temple, TX 76504"
0,"$1,440 - 2,190",1-3 Beds,"5801 W Adams Ave, Temple, TX 76502"
0,"$1,060 - 2,750",1-2 Beds,"2803 Ira Young Dr, Temple, TX 76504"
0,"$939 - 1,275",1-3 Beds,"3608 S 31st St, Temple, TX 76502"
0,"$894 - 1,114",Studio - 2 Beds,"1810 Marlandwood Rd, Temple, TX 76502"
0,"$1,285 - 1,875",1-3 Beds,"3506 S 5th St, Temple, TX 76502"
0,"$879 - 1,249",1-2 Beds,"4101 W Adams Ave, Temple, TX 76504"
0,$699 - 989,1-3 Beds,"620 W Elm Ave, Temple, TX 76501"
0,"$783 - 1,509",1-2 Beds,"2416 S 13th St, Temple, TX 76504"
0,"$699 - 1,074",Studio - 2 Beds,"400 S Fryers Creek Dr, Temple, TX 76504"
0,"$807 - 1,731",1-3 Beds,"601 Twin Oaks Dr, Temple, TX 76504"
0,"$1,495",3 Beds,"Temple, TX 76504"
