,price,rooms,address
0,"$1,090 - 2,340",1-3 Beds,"2301 S Millbend Dr, The Woodlands, TX 77380"
0,"$1,050 - 2,505",1-3 Beds,"10851 W Montfair Blvd, The Woodlands, TX 77382"
0,"$1,399 - 2,799",1-3 Beds,"340 Watermere Dr, Conroe, TX 77384"
0,"$1,470 - 2,535",1-3 Beds,"15770 Old Conroe Rd, Conroe, TX 77384"
0,"$1,221 - 1,913",1-3 Beds,"425 Rayford Rd, Spring, TX 77386"
0,"$1,219 - 1,999",1-3 Beds,"23770 Springwoods Village Pky, Spring, TX 77373"
0,"$2,050 - 2,500",2-3 Beds,"33455 Buckshot Ln, Magnolia, TX 77354"
0,"$1,193 - 6,249",1-3 Beds,"4400 College Park Dr, The Woodlands, TX 77384"
0,"$1,370 - 8,311",1-3 Beds,"2000 Hughes Landing Blvd, The Woodlands, TX 77380"
0,"$1,295 - 5,993",1-3 Beds,"8440 Creekside Green Dr, The Woodlands, TX 77375"
0,"$1,800 - 3,651",1-3 Beds,"25145 Panther Bend Ct, The Woodlands, TX 77380"
0,"$1,451 - 3,683",1-2 Beds,"2203 Riva Row, The Woodlands, TX 77380"
0,"$1,531 - 5,939",1-3 Beds,"10200 Six Pines Dr, The Woodlands, TX 77380"
0,"$1,355 - 2,365",1-2 Beds,"2495 Sawdust Rd, The Woodlands, TX 77380"
0,"$880 - 3,300",1-3 Beds,"3720 College Park Dr, The Woodlands, TX 77384"
0,"$1,085 - 2,042",1-2 Beds,"1835 Woodland Field Crossing, The Woodlands, TX 77380"
0,"$1,175 - 1,600",1-3 Beds,"333 Holly Creek Ct, The Woodlands, TX 77381"
0,"$1,260 - 3,315",1-3 Beds,"8900 Research Park Dr, The Woodlands, TX 77381"
0,"$1,070 - 2,140",1-3 Beds,"3600 College Park Dr, The Woodlands, TX 77384"
0,"$1,119 - 2,175",1-3 Beds,"23223 Gosling Rd, Spring, TX 77389"
0,"$1,266 - 2,970",1-3 Beds,"509 Nursery Rd, Spring, TX 77380"
0,"$1,199 - 1,815",1-2 Beds,"4255 Magnolia Village Dr, Magnolia, TX 77354"
0,"$1,299 - 3,479",1-3 Beds,"201 Pruitt Rd, Spring, TX 77380"
0,"$1,076 - 2,077",1-3 Beds,"24530 Gosling Rd, Spring, TX 77389"
0,"$1,135 - 1,855",1-3 Beds,"26325 Northgate Crossing Blvd, Spring, TX 77373"
0,"$1,385 - 3,322",Studio - 3 Beds,"2323 E Mossy Oaks Rd, Spring, TX 77389"
0,"$1,283 - 2,062",1-3 Beds,"5402 FM 1488 Rd, Magnolia, TX 77354"
0,"$1,285 - 1,890",1-3 Beds,"25335 Budde Rd, Spring, TX 77380"
