,price,rooms,address
0,"$1,136 - 1,798",Studio - 2 Beds,"1327 W 84th Ave, Federal Heights, CO 80260"
0,"$1,595 - 3,045",1-3 Beds,"16893 Palisade Loop, Broomfield, CO 80023"
0,"$1,619 - 2,449",1-3 Beds,"12801 Lafayette St, Thornton, CO 80241"
0,"$1,700 - 2,600",1-3 Beds,"12929 Washington St, Thornton, CO 80241"
0,"$1,639 - 2,499",1-3 Beds,"11801 York St, Thornton, CO 80233"
0,"$1,199 - 1,733",1-2 Beds,"1769 Coronado Pky N, Thornton, CO 80229"
0,"$1,360 - 3,140",1-2 Beds,"8849 Pearl St, Thornton, CO 80229"
0,"$1,413 - 1,859",Studio - 2 Beds,"8901 Grant St, Thornton, CO 80229"
0,"$1,749 - 2,380",1-3 Beds,"11801 York St, Thornton, CO 80233"
0,"$1,750 - 2,600",1-2 Beds,"12170 Washington Center Pky, Thornton, CO 80241"
0,"$1,500 - 2,440",1-2 Beds,"2255 E 104th Ave, Thornton, CO 80233"
0,"$1,360 - 2,200",1-3 Beds,"1300 Milky Way, Thornton, CO 80260"
0,"$1,571 - 6,602",1-3 Beds,"2801 E 120th Ave, Thornton, CO 80233"
0,"$1,572 - 2,827",1-3 Beds,"12255 Claude Ct, Northglenn, CO 80241"
0,"$1,634 - 5,801",1-2 Beds,"1420 W 116th Ave, Westminster, CO 80234"
0,"$1,163 - 1,841",1-2 Beds,"10701 Pecos St, Northglenn, CO 80234"
0,"$1,599 - 2,215",1-3 Beds,"10500 Irma Dr, Northglenn, CO 80233"
0,"$1,674 - 2,397",1-2 Beds,"581 W 123rd Ave, Westminster, CO 80234"
0,"$1,624 - 2,417",1-2 Beds,"8960 Cypress Dr, Thornton, CO 80229"
0,"$1,675 - 2,099",1-2 Beds,"10351 Zuni St, Federal Heights, CO 80260"
0,"$1,605 - 4,140",1-3 Beds,"3650 E 103rd Cir, Thornton, CO 80229"
0,"$1,656 - 2,598",1-3 Beds,"10571 Colorado Blvd, Thornton, CO 80233"
0,"$1,625 - 2,550",1-3 Beds,"9701 Pearl St, Thornton, CO 80229"
0,"$1,655 - 3,005",1-3 Beds,"14310 Grant St, Thornton, CO 80023"
0,"$1,431 - 2,229",1-3 Beds,"12220 Colorado Blvd, Thornton, CO 80241"
0,"$1,835 - 2,795",1-3 Beds,"14081 Grant St, Thornton, CO 80023"
0,"$1,295 - 2,050",Studio - 2 Beds,"243 W 80th Ave, Thornton, CO 80221"
0,"$1,568 - 2,141",1-2 Beds,"11625 Community Center Dr, Northglenn, CO 80233"
0,"$1,618 - 3,231",Studio - 3 Beds,"14770 Orchard Pky, Westminster, CO 80023"
0,"$1,434 - 3,124",1-2 Beds,"11701 N Washington St, Northglenn, CO 80233"
0,"$1,300 - 3,219",1-2 Beds,"10738 Huron St, Northglenn, CO 80234"
0,"$1,509 - 3,526",Studio - 3 Beds,"663 W 148th Ave, Westminster, CO 80023"
0,"$1,529 - 1,799",Studio - 2 Beds,"950 W 103rd Pl, Northglenn, CO 80260"
0,"$1,168 - 2,789",1-3 Beds,"9081 Federal Blvd, Westminster, CO 80260"
0,"$1,794 - 5,249",1-3 Beds,"3323 W 96th Cir, Westminster, CO 80031"
0,"$1,221 - 1,952",1-2 Beds,"1800 W 85th Ave, Denver, CO 80260"
0,"$1,367 - 2,570",Studio - 2 Beds,"101 E 88th Ave, Thornton, CO 80229"
0,"$1,421 - 2,509",1-3 Beds,"11501 Washington St, Northglenn, CO 80233"
0,"$1,099 - 2,687",1-2 Beds,"11801-11831 N Washington St, Northglenn, CO 80233"
0,"$1,599 - 1,899",1-2 Beds,"9440 Hoffman Way, Thornton, CO 80229"
