,price,rooms,address
0,"$3,007 - 4,986",1-3 Beds,"603 Hampshire Rd, Westlake Village, CA 91361"
0,"$2,691 - 6,372",1-3 Beds,"1600 Rancho Conejo Blvd, Thousand Oaks, CA 91320"
0,"$2,300 - 3,100",Studio - 2 Beds,"256-268 Erbes Rd, Thousand Oaks, CA 91362"
0,"$2,678 - 6,082",1-3 Beds,"255 Via Mirabella Via, Newbury Park, CA 91320"
0,"$2,685 - 5,717",1-2 Beds,"973-986 Westcreek Ln, Westlake Village, CA 91362"
0,"$2,352 - 3,703",1-3 Beds,"645 Hampshire Rd, Westlake Village, CA 91361"
0,"$3,204 - 10,000",Studio - 2 Beds,"299 Thousand Oaks Blvd, Thousand Oaks, CA 91360"
0,"$2,250 - 3,200",1-2 Beds,"1815 Los Feliz Dr, Thousand Oaks, CA 91362"
0,"$2,445 - 2,915",1-2 Beds,"643 Country Club Dr, Simi Valley, CA 93065"
0,"$2,280 - 6,168",1-2 Beds,"241 Country Club Dr, Simi Valley, CA 93065"
0,"$2,325 - 2,980",1-2 Beds,"5325 Oak Park Ln, Oak Park, CA 91377"
0,Call for Rent,2 Beds,"51-81 Maegan Pl, Thousand Oaks, CA 91362"
0,"$2,370 - 5,250",1-3 Beds,"1370-1398 E Hillcrest Dr, Thousand Oaks, CA 91362"
0,Call for Rent,1-3 Beds,"555 Laurie Ln, Thousand Oaks, CA 91360"
0,"$3,800 - 3,950",2 Beds,"3200-3240 Foothill Dr, Westlake Village, CA 91361"
0,"$2,768 - 3,496",1-2 Beds,"2338 Fountain Crest Ln, Thousand Oaks, CA 91362"
0,"$2,585 - 4,940",1-4 Beds,"550 N Laurie Ln, Thousand Oaks, CA 91360"
0,"$2,638 - 3,870",1-3 Beds,"2544 Vista Wood Cir, Thousand Oaks, CA 91362"
0,"$1,950 - 3,715",Studio - 2 Beds,"300 Rolling Oaks Dr, Thousand Oaks, CA 91361"
0,"$2,300",Studio,"2088 W Hillcrest Dr, Newbury Park, CA 91320"
0,"$2,550 - 3,650",1-2 Beds,"575 Hampshire Rd, Westlake Village, CA 91361"
0,"$2,044 - 2,920",1-2 Beds,"1800 W Hillcrest Dr, Newbury Park, CA 91320"
0,"$4,995",3 Beds,"Westlake Village, CA 91362"
