,price,rooms,address
0,$780 - 975,1-2 Beds,"3211 SW Twilight Ct, Topeka, KS 66614"
0,"$1,150 - 4,565",Studio - 2 Beds,"2759 SW Fairlawn Rd, Topeka, KS 66614"
0,"$1,074 - 1,445",1-3 Beds,"4800 NW Fielding Pl, Topeka, KS 66618"
0,$765 - 795,Studio - 2 Beds,"3200-3330 SW Eveningside Dr, Topeka, KS 66614"
0,"$525 - 1,409",Studio - 3 Beds,"4128-4154 SW 6th Ave, Topeka, KS 66606"
0,"$1,600 - 1,990",1-2 Beds,"2700 SW 3rd St, Topeka, KS 66606"
0,"$790 - 1,200",1-3 Beds,"5820 SW Candletree Dr, Topeka, KS 66614"
0,"$921 - 1,426",1-2 Beds,"4231 SW Emland Dr, Topeka, KS 66606"
0,"$850 - 1,130",1-3 Beds,"2744 SW Villa West Dr, Topeka, KS 66614"
0,"$1,010 - 1,220",1-3 Beds,"2745 SW Villa West Dr, Topeka, KS 66614"
0,"$905 - 1,450",1-3 Beds,"900 SW Robinson Ave, Topeka, KS 66606"
0,$875 - 995,1-2 Beds,"3613 SE 30th Ter, Topeka, KS 66605"
0,"$770 - 1,110",1-3 Beds,"2536 SW Brandywine Ln, Topeka, KS 66614"
0,"$867 - 1,199",1-3 Beds,"3930 SW Twilight Dr, Topeka, KS 66614"
0,"$899 - 1,190",1-3 Beds,"5237 SW 20th Ter, Topeka, KS 66604"
0,"$1,360 - 1,470",2-3 Beds,"3330-3360 SW Mariposa Pl, Topeka, KS 66614"
0,$599 - 733,1-2 Beds,"1436 SW Byron St, Topeka, KS 66604"
0,Call for Rent,2 Beds,"1999 SW Regency Parkway Dr, Topeka, KS 66604"
0,"$825 - 1,300",1-3 Beds,"3201 SW Randolph Ave, Topeka, KS 66611"
0,$535 - 787,Studio - 2 Beds,"710 SW Fairlawn Rd, Topeka, KS 66606"
0,$610 - 760,Studio - 2 Beds,"238 SW Gage Blvd, Topeka, KS 66606"
0,"$700 - 1,230",1-3 Beds,"1316 SW 27th St, Topeka, KS 66611"
0,$652 - 737,1-2 Beds,"3711 SW Park South Ct, Topeka, KS 66609"
0,"$575 - 1,350",Studio - 3 Beds,"2908 SW 31st Ct, Topeka, KS 66614"
0,$525 - 720,Studio - 2 Beds,"1510 SW Lane St, Topeka, KS 66604"
0,"$899 - 1,299",2-4 Beds,"7105 SW Montara Pky, Topeka, KS 66619"
0,$638 - 763,1-2 Beds,"1601 SW 37th Ter, Topeka, KS 66609"
0,$553 - 663,1-2 Beds,"2101-2135 SW Potomac Dr, Topeka, KS 66611"
0,"$620 - 1,325",Studio - 4 Beds,"1510 SW Washburn Ave, Topeka, KS 66604"
0,$525 - 730,Studio - 2 Beds,"3500 SW 29th St, Topeka, KS 66614"
0,"$625 - 1,180",1-3 Beds,"5231 SW West Dr, Topeka, KS 66606"
0,$649 - 875,1-2 Beds,"3733 SW Plaza Dr, Topeka, KS 66609"
0,$540 - 750,1-3 Beds,"2409 SW 21st St, Topeka, KS 66604"
0,$425 - 875,Studio - 3 Beds,"822 SW 8th Ave, Topeka, KS 66603"
0,"$700 - 1,100",1-3 Beds,"5201 SW 34th St, Topeka, KS 66614"
