,price,rooms,address
0,"$2,395 - 2,650",3 Beds,"6820 Solomon Ave, Troy, MI 48085"
0,"$3,600 - 4,250",2-3 Beds,"3200 S Boulevard, Bloomfield Hills, MI 48304"
0,"$1,326 - 4,047",1-3 Beds,"1911 Golfview Dr, Troy, MI 48084"
0,"$1,107 - 2,025",1-3 Beds,"2869 Troy Center Dr, Troy, MI 48084"
0,"$1,435 - 8,325",Studio - 4 Beds,"177 Wilshire Dr, Troy, MI 48084"
0,"$1,540 - 2,495",Studio - 3 Beds,"2151 E Big Beaver Rd, Troy, MI 48083"
0,"$895 - 1,740",Studio - 1 Bed,"2600 Livernois Rd, Troy, MI 48083"
0,"$1,375 - 2,975",Studio - 2 Beds,"295 Kirts Blvd, Troy, MI 48084"
0,"$1,295 - 2,415",Studio - 2 Beds,"2330 John R Rd, Troy, MI 48083"
0,"$1,690 - 1,970",3 Beds,"1070 Villa Park Dr, Troy, MI 48085"
0,"$1,199 - 1,599",1-2 Beds,"561 Kirts Blvd, Troy, MI 48084"
0,"$994 - 1,534",1-2 Beds,"500 Coachman Dr, Troy, MI 48083"
0,"$1,145 - 1,695",1-2 Beds,"2127 N Lovington Dr, Troy, MI 48083"
0,"$920 - 1,270",Studio - 2 Beds,"4805 Woodland Ave, Royal Oak, MI 48073"
0,"$1,924 - 3,351",1-3 Beds,"1712 Midtown Cir, Royal Oak, MI 48073"
0,"$1,395 - 1,800",1-2 Beds,"444 N Rochester Rd, Clawson, MI 48017"
0,"$2,700",2-3 Beds,"325 E Irving Ave, Madison Heights, MI 48071"
0,"$1,274 - 1,619",1-2 Beds,"1750 Melville Dr, Rochester Hills, MI 48307"
0,"$1,222 - 2,385",1-2 Beds,"36200 Dequindre Rd, Sterling Heights, MI 48310"
0,"$899 - 1,435",1-2 Beds,"31470 Harlo Dr, Madison Heights, MI 48071"
0,"$1,625 - 3,555",1-3 Beds,"2751 Melcombe Cir, Troy, MI 48084"
0,"$2,600 - 3,750",2-4 Beds,"4422 Navin Field Ln, Troy, MI 48085"
0,"$1,105 - 2,595",Studio - 3 Beds,"50 Town Center Dr, Troy, MI 48084"
0,"$1,375 - 5,000",1-2 Beds,"2800 Overlook Dr, Rochester Hills, MI 48307"
0,"$1,845 - 1,895",2 Beds,"4301-4595 Coolidge Hwy, Royal Oak, MI 48073"
0,"$1,120 - 1,495",1-2 Beds,"3161 Bloomfield Ln, Auburn Hills, MI 48326"
0,"$1,045 - 1,960",1-3 Beds,"2860 Charter Blvd, Troy, MI 48083"
0,"$1,035 - 1,250",1-2 Beds,"31430 John R, Rd, Madison Heights, MI 49071"
0,"$1,345 - 1,860",Studio - 2 Beds,"1545 E 13 Mile Rd, Madison Heights, MI 48071"
0,"$1,465 - 5,363",Studio - 3 Beds,"1901 Village Green Blvd, Rochester Hills, MI 48307"
0,"$1,095 - 1,125",1 Bed,"1050 N Adams Rd, Birmingham, MI 48009"
0,"$1,350 - 2,325",1-3 Beds,"1997 Villa Rd, Birmingham, MI 48009"
0,"$1,315 - 2,325",1-3 Beds,"3737 Cherry Creek Ln, Sterling Heights, MI 48314"
0,"$895 - 1,275",1-2 Beds,"32000 Concord Dr, Madison Heights, MI 48071"
0,"$2,800 - 5,000",1-2 Beds,"400 S Old Woodward Ave, Birmingham, MI 48009"
0,"$1,145 - 1,695",Studio,"1800-1870 Livernois Rd, Troy, MI 48083"
0,"$1,511 - 3,164",Studio - 3 Beds,"1300-1310 Livernois Rd, Troy, MI 48083"
0,"$1,450 - 2,400",Studio - 2 Beds,"3965-3981 Westcreek Dr, Troy, MI 48084"
0,"$2,495",3 Beds,"6919-6973 Venus Dr, Troy, MI 48085"
0,"$1,300 - 2,125",1-3 Beds,"3100 Glouchester Ave, Troy, MI 48084"
