,price,rooms,address
0,"$1,527 - 1,890",1-2 Beds,"7430 N Silverbell Rd, Tucson, AZ 85743"
0,"$999 - 1,650",Studio - 1 Bed,"475 N Granada Ave, Tucson, AZ 85701"
0,"$1,950 - 2,350",2-3 Beds,"2805 S Park Ave, Tucson, AZ 85713"
0,"$1,784 - 2,149",3 Beds,"4267 N 4th Ave, Tucson, AZ 85705"
0,"$1,410 - 2,125",Studio - 3 Beds,"8150 N La Cholla Blvd, Tucson, AZ 85742"
0,"$1,200 - 1,800",Studio - 2 Beds,"6901 E Broadway Blvd, Tucson, AZ 85710"
0,"$1,420 - 2,080",1-3 Beds,"10950 N LaCanada Dr, Tucson, AZ 85737"
0,"$820 - 1,730",1-3 Beds,"3535 N 1st Ave, Tucson, AZ 85719"
0,"$1,509 - 2,272",1-3 Beds,"7990 E Snyder Rd, Tucson, AZ 85750"
0,"$1,024 - 1,810",1-2 Beds,"1970 W Old Magee Trl, Tucson, AZ 85704"
0,"$689 - 1,299",Studio - 2 Beds,"919 N Stone Ave, Tucson, AZ 85705"
0,"$1,099 - 1,720",1-4 Beds,"2800 W Broadway Blvd, Tucson, AZ 85745"
0,"$1,225 - 2,950",Studio - 3 Beds,"350 E Congress St, Tucson, AZ 85701"
0,"$850 - 1,250",Studio - 2 Beds,"6821 E Broadway Blvd, Tucson, AZ 85710"
0,"$759 - 1,299",Studio - 3 Beds,"4880 E 29th St, Tucson, AZ 85711"
0,"$1,509 - 4,596",1-2 Beds,"3510 N Craycroft Rd, Tucson, AZ 85718"
0,"$1,374 - 1,581",1-2 Beds,"5100 N La Canada Dr, Tucson, AZ 85704"
0,"$1,085 - 1,570",1-3 Beds,"3201-3225 W Ina Rd, Tucson, AZ 85741"
0,"$1,028 - 1,700",Studio - 2 Beds,"7671 E Tanque Verde Rd, Tucson, AZ 85715"
0,"$799 - 1,349",Studio - 2 Beds,"1881 E Irvington Rd, Tucson, AZ 85714"
0,"$774 - 1,573",Studio - 2 Beds,"7400 E Golf Links Rd, Tucson, AZ 85730"
0,"$1,590 - 2,650",Studio - 2 Beds,"316 E 6th St, Tucson, AZ 85705"
0,"$825 - 2,750",Studio - 5 Beds,"800 N Country Club Dr, Tucson, AZ 85716"
0,"$1,325 - 2,310",Studio - 3 Beds,"4640 Calle Santa Cruz, Tucson, AZ 85714"
0,"$1,545 - 3,016",1-3 Beds,"6355 Marana Center Blvd, Tucson, AZ 85742"
0,"$1,150 - 1,650",1-2 Beds,"880 S Tucson Blvd, Tucson, AZ 85713"
0,"$1,645 - 3,596",Studio - 4 Beds,"213 N 4th Ave, Tucson, AZ 85705"
0,"$924 - 1,180",3-4 Beds,"550 N 5th Ave, Tucson, AZ 85705"
0,"$1,210 - 2,199",Studio - 5 Beds,"1023 N Tyndall Ave, Tucson, AZ 85719"
0,"$899 - 1,325",1-2 Beds,"8550 E Speedway, Tucson, AZ 85710"
0,"$739 - 1,906",Studio - 2 Beds,"5755 E River Rd, Tucson, AZ 85750"
0,"$1,050 - 1,745",1-4 Beds,"850 E Wetmore Rd, Tucson, AZ 85719"
0,"$1,299 - 1,669",2-4 Beds,"2162 W Speedway Blvd, Tucson, AZ 85745"
0,"$1,299 - 2,224",Studio - 5 Beds,"1020 N Tyndall Ave, Tucson, AZ 85719"
0,"$1,518 - 2,275",1-3 Beds,"1301 W Lambert Ln, Tucson, AZ 85737"
0,"$1,242 - 3,137",1-3 Beds,"3220 W Ina Rd, Tucson, AZ 85741"
0,"$1,199 - 1,755",2-3 Beds,"4415 E Grant Rd, Tucson, AZ 85712"
0,"$1,375 - 1,620",1-2 Beds,"3300 N Paseo De Los Rios, Tucson, AZ 85712"
0,"$1,247 - 2,379",1-3 Beds,"8250 E Golf Links Rd, Tucson, AZ 85730"
0,"$1,030 - 1,490",1-3 Beds,"2255 W Orange Grove Rd, Tucson, AZ 85741"
