,price,rooms,address
0,"$1,375 - 1,850",1-2 Beds,"562 Centennial Pky, Tyler, TX 75703"
0,"$999 - 4,119",Studio - 4 Beds,"4055 Hogan Dr, Tyler, TX 75709"
0,"$1,434 - 1,735",3-4 Beds,"12277 State Highway 155 N, Tyler, TX 75708"
0,"$1,130 - 4,351",1-3 Beds,"5058 Paluxy Dr, Tyler, TX 75703"
0,"$1,285 - 2,434",1-3 Beds,"4411 Kinsey Dr, Tyler, TX 75703"
0,"$899 - 1,360",1-3 Beds,"3700 McDonald Rd, Tyler, TX 75701"
0,"$885 - 1,205",1-3 Beds,"6003 Old Bullard Rd, Tyler, TX 75703"
0,"$1,300 - 2,109",1-3 Beds,"5348 Old Jacksonville Hwy, Tyler, TX 75703"
0,"$1,255 - 2,240",1-3 Beds,"2830 W Grande Blvd, Tyler, TX 75703"
0,"$1,333 - 2,256",1-3 Beds,"2051 W Cumberland Rd, Tyler, TX 75703"
0,"$1,328 - 3,255",1-3 Beds,"5872 Old Jacksonville Hwy, Tyler, TX 75703"
0,"$1,204 - 4,712",1-3 Beds,"4350 Old Omen Rd, Tyler, TX 75707"
0,"$850 - 1,554",1-2 Beds,"323 Chimney Rock Dr, Tyler, TX 75703"
0,"$781 - 1,491",Studio - 2 Beds,"1600 Rice Rd, Tyler, TX 75703"
0,"$650 - 1,050",1-2 Beds,"3400 Varsity Dr, Tyler, TX 75701"
0,"$1,015 - 1,370",1-2 Beds,"1909 Shiloh Rd, Tyler, TX 75703"
0,"$799 - 1,205",Studio - 2 Beds,"3304 Golden Rd, Tyler, TX 75701"
0,"$1,250 - 1,595",1-2 Beds,"1505 W Grande Blvd, Tyler, TX 75703"
0,"$1,505 - 1,605",1-2 Beds,"1126 E Front St, Tyler, TX 75702"
0,"$968 - 2,538",1-3 Beds,"4123 Southpark Dr, Tyler, TX 75703"
0,"$1,225 - 1,850",1-3 Beds,"527 W Erwin St, Tyler, TX 75702"
0,"$1,185 - 1,710",1-3 Beds,"4001 Old Bullard Rd, Tyler, TX 75701"
0,"$949 - 1,589",1-3 Beds,"1030 Old Omen Rd, Tyler, TX 75701"
0,"$853 - 2,441",1-3 Beds,"1909 Sybil Ln, Tyler, TX 75703"
0,"$1,525",3 Beds,"3050 County Road 427, Tyler, TX 75704"
0,"$880 - 1,285",1-3 Beds,"4917 Thistle Dr, Tyler, TX 75703"
0,"$850 - 1,250",Studio - 2 Beds,"2611 S SSE Loop, Tyler, TX 75701"
0,"$1,395 - 1,588",1-3 Beds,"325 Raintree Dr, Tyler, TX 75703"
0,"$795 - 1,350",1-3 Beds,"2720 S Broadway Ave, Tyler, TX 75701"
0,"$824 - 1,180",1-2 Beds,"4800 Paluxy Dr, Tyler, TX 75703"
0,"$846 - 1,441",1-2 Beds,"400 Old Grande Blvd, Tyler, TX 75703"
0,"$765 - 1,757",1-2 Beds,"6100 Hollytree Dr, Tyler, TX 75703"
0,"$815 - 1,519",1-3 Beds,"5105 Old Bullard Rd, Tyler, TX 75703"
0,"$588 - 1,419",Studio - 2 Beds,"4600 Paluxy Dr, Tyler, TX 75703"
