,price,rooms,address
0,"$2,803 - 3,783",Studio - 3 Beds,"1200 Allison Dr, Vacaville, CA 95687"
0,"$2,206 - 4,073",1-3 Beds,"1300 Burton Dr, Vacaville, CA 95687"
0,Call for Rent,1-2 Beds,"555 Elmira Rd, Vacaville, CA 95687"
0,"$2,204 - 2,684",1-2 Beds,"300 Crescent Dr, Vacaville, CA 95688"
0,"$3,475 - 4,301",2-3 Beds,"3501 Harbison dr, Vacaville, CA 95687"
0,"$1,775 - 2,325",1-3 Beds,"293 Shasta Dr, Vacaville, CA 95687"
0,"$1,299 - 2,429",1-2 Beds,"1701 Marshall Rd, Vacaville, CA 95687"
0,"$1,749 - 2,519",1-2 Beds,"300 Bel Air Dr, Vacaville, CA 95687"
0,"$1,949 - 2,900",1-3 Beds,"199 Aegean Way, Vacaville, CA 95687"
0,"$2,090 - 2,140",2 Beds,"209 Aegean Way, Vacaville, CA 95687"
0,"$1,899 - 2,405",Studio - 2 Beds,"901 Sara Ct, Vacaville, CA 95687"
0,"$2,196 - 6,809",1-3 Beds,"1000 Allison Dr, Vacaville, CA 95687"
0,"$1,880 - 2,520",1-2 Beds,"1101 Farmington Dr, Vacaville, CA 95687"
0,"$2,111 - 3,800",1-3 Beds,"5085 Quinn Rd, Vacaville, CA 95688"
0,"$1,675 - 2,195",1-2 Beds,"1510 Alamo Dr, Vacaville, CA 95687"
0,"$1,206 - 1,644",1-3 Beds,"1501 Alamo Dr, Vacaville, CA 95687"
0,"$2,274 - 4,585",1-3 Beds,"6801 Leisure Town Rd, Vacaville, CA 95688"
0,"$2,317 - 3,319",1-3 Beds,"3500 Harbison Dr, Vacaville, CA 95687"
0,"$2,495",2 Beds,"100 Summerfield Dr, Vacaville, CA 95687"
0,"$2,299 - 5,932",1-2 Beds,"999 Marshall Rd, Vacaville, CA 95687"
0,"$1,949 - 2,302",1-2 Beds,"591 Peabody Rd, Vacaville, CA 95687"
0,"$1,765 - 1,995",2 Beds,"812 Beelard Dr, Vacaville, CA 95687"
