,price,rooms,address
0,"$2,495 - 3,474",1-2 Beds,"2000 S Melrose Dr, Vista, CA 92081"
0,"$2,545 - 5,020",1-3 Beds,"501 W Bobier Dr, Vista, CA 92083"
0,"$2,591 - 4,758",Studio - 2 Beds,"1333 N Santa Fe Ave, Vista, CA 92084"
0,"$1,995 - 3,195",Studio - 2 Beds,"1559 N Santa Fe Ave, Vista, CA 92084"
0,"$2,374 - 2,663",1-2 Beds,"1580 Shadowridge Dr, Vista, CA 92081"
0,"$2,145 - 5,948",1-3 Beds,"365 Pomelo Dr, Vista, CA 92081"
0,"$1,900 - 2,450",1-2 Beds,"320 Pomelo Dr, Vista, CA 92081"
0,"$2,405 - 3,781",1-2 Beds,"333 N Emerald Dr, Vista, CA 92083"
0,"$2,195 - 2,645",1-2 Beds,"2130 S Santa Fe Ave, Vista, CA 92084"
0,"$2,100 - 2,900",1-2 Beds,"221 Smilax Rd, Vista, CA 92083"
0,"$1,900 - 2,400",1-2 Beds,"820 Sycamore Ave, Vista, CA 92081"
0,"$2,225 - 2,525",2 Beds,"3851 Sherbourne Dr, Oceanside, CA 92056"
0,"$3,595",2 Beds,"1470 S Santa Fe Ave, Vista, CA 92084"
0,"$1,981 - 3,348",Studio - 2 Beds,"710 Breeze Hill Rd, Vista, CA 92081"
0,"$2,285 - 3,440",1-2 Beds,"3760 North Way, Oceanside, CA 92056"
0,"$2,299 - 4,469",1-2 Beds,"1500 Shadowridge Dr, Vista, CA 92081"
0,"$2,075 - 3,918",Studio - 2 Beds,"881 Soft Wind Rd, Vista, CA 92081"
0,"$2,155 - 2,713",1-2 Beds,"1617 Live Oak Rd, Vista, CA 92081"
0,"$1,850 - 2,795",Studio - 2 Beds,"2144 University Dr, Vista, CA 92083"
0,"$2,365 - 2,875",1-2 Beds,"1904 College Blvd, Oceanside, CA 92056"
0,"$2,445 - 2,795",1-2 Beds,"3634 College Blvd, Oceanside, CA 92056"
0,"$2,350 - 2,895",1-2 Beds,"3675 Barnard Dr, Oceanside, CA 92056"
0,"$2,199 - 2,808",1-2 Beds,"2300 Catalina Cir, Oceanside, CA 92056"
0,"$1,850 - 2,675",1-2 Beds,"628 W California Ave, Vista, CA 92083"
0,"$2,495",2 Beds,"1515 Date St, Vista, CA 92083"
0,"$2,433 - 3,421",1-3 Beds,"1982 Wellington Ln, Vista, CA 92081"
0,"$2,717 - 4,088",1-3 Beds,"701-465 S Breeze Hill Rd, Vista, CA 92081"
0,"$2,210 - 2,840",1-2 Beds,"1510 S Melrose Dr, Vista, CA 92081"
0,"$2,535 - 3,649",1-3 Beds,"740 Paseo Bueno Vista, Vista, CA 92084"
0,"$2,063 - 2,484",1-2 Beds,"633 Ascot Dr, Vista, CA 92083"
0,"$2,546 - 3,757",1-3 Beds,"1401 No Melrose Dr N, Vista, CA 92083"
0,"$2,152 - 2,842",Studio - 2 Beds,"215 Vista Village Dr, Vista, CA 92083"
0,Call for Rent,1 Bed,"760 E Bobier Dr, Vista, CA 92084"
0,"$2,345 - 2,645",2-3 Beds,"1515 S Melrose Dr, Vista, CA 92081"
0,"$1,938 - 2,295",1-2 Beds,"911 Taylor St, Vista, CA 92084"
0,"$1,925 - 2,695",1-3 Beds,"300 W Los Angeles Dr, Vista, CA 92083"
0,"$1,800 - 2,200",1-2 Beds,"1210 Calle Jules, Vista, CA 92084"
0,"$2,275 - 2,750",1-2 Beds,"3699 Barnard Dr, Oceanside, CA 92056"
0,"$2,120 - 2,450",1-2 Beds,"3474 Descanso Ave, San Marcos, CA 92078"
0,"$1,895 - 2,095",Studio - 1 Bed,"3964-3970 Waring Rd, Oceanside, CA 92056"
