,price,rooms,address
0,"$1,100 - 2,261",1-3 Beds,"5210 Bagby Ave, Waco, TX 76711"
0,"$1,180 - 1,679",1-3 Beds,"2201 Creekview Dr, Waco, TX 76711"
0,"$1,250 - 1,795",1-3 Beds,"6901 Bagby Ave, Waco, TX 76712"
0,"$1,990 - 2,550",3-4 Beds,"11529 Ceres St, Lorena, TX 76655"
0,"$1,305 - 1,780",1-3 Beds,"9000 Chapel Dr, Waco, TX 76712"
0,"$1,190 - 3,045",1-3 Beds,"2400 Corporation Pky, Waco, TX 76712"
0,"$1,363 - 2,507",1-2 Beds,"1300 Placid Cir, Waco, TX 76706"
0,"$580 - 1,250",1-2 Beds,"1912 S 5th St, Waco, TX 76706"
0,"$1,469 - 2,520",1-3 Beds,"2500 Marketplace Dr, Waco, TX 76711"
0,"$1,204 - 2,422",1-3 Beds,"2301 Woodgate Dr, Woodway, TX 76712"
0,"$1,299 - 1,629",2-3 Beds,"1818 S 7th St, Waco, TX 76706"
0,"$1,269 - 1,769",1-2 Beds,"2100 S New Rd, Waco, TX 76711"
0,"$1,139 - 1,975",1-3 Beds,"9821 Chapel Rd, Waco, TX 76712"
0,"$1,270 - 1,839",1-3 Beds,"3001 S New Rd, Waco, TX 76706"
0,"$1,470 - 3,650",Studio - 2 Beds,"414 S University Parks Dr, Waco, TX 76706"
0,"$1,275 - 1,450",1-2 Beds,"1300 S 11th St, Waco, TX 76706"
0,"$745 - 2,415",1-4 Beds,"2415 S. University Parks Dr, Waco, TX 76706"
0,"$1,000 - 2,060",1-2 Beds,"66 Daughtrey Ave, Waco, TX 76706"
0,"$1,024 - 1,514",1-2 Beds,"2736 Lake Shore Dr, Waco, TX 76708"
0,"$860 - 1,686",Studio - 3 Beds,"5817 Edmond Ave, Waco, TX 76710"
0,"$929 - 1,169",1-2 Beds,"620 N Hewitt Dr, Hewitt, TX 76643"
0,"$1,400 - 1,800",1-2 Beds,"222 Clay Ave, Waco, TX 76706"
0,"$1,375 - 1,950",1-2 Beds,"101 Elm St, Waco, TX 76704"
0,"$894 - 1,674",1-2 Beds,"5000 Sanger Ave, Waco, TX 76710"
0,"$1,150 - 1,200",1 Bed,"1307 Austin Ave, Waco, TX 76701"
0,"$840 - 2,032",1-2 Beds,"5101 Sanger Ave, Waco, TX 76710"
0,"$1,049",1-4 Beds,"1800 Primrose Dr, Waco, TX 76706"
0,"$625 - 1,507",1-4 Beds,"2616 S 12th St, Waco, TX 76706"
0,"$1,340 - 1,515",1-2 Beds,"3801 Myers Ln, Lacy Lakeview, TX 76705"
0,"$1,003 - 1,222",1-2 Beds,"415 Owen Ln, Waco, TX 76710"
0,"$1,199 - 1,949",1-4 Beds,"1911 S 8th St, Waco, TX 76706"
0,"$1,177 - 1,982",Studio - 3 Beds,"4900 Bagby Ave, Waco, TX 76711"
0,"$1,119 - 1,329",1-2 Beds,"9900 China Spring Rd, Waco, TX 76708"
0,Call for Rent,1-3 Beds,"700 S 4th St, Waco, TX 76706"
0,"$1,056 - 1,357",1-3 Beds,"416 Owen Ln, Waco, TX 76710"
0,$695 - 810,2-4 Beds,"2001 S 5th St, Waco, TX 76706"
