,price,rooms,address
0,"$1,884 - 4,433",1-3 Beds,"2350 Eden Woods Dr, Waldorf, MD 20601"
0,"$1,856 - 4,915",1-3 Beds,"4817 Elmley Pl, Waldorf, MD 20603"
0,"$2,970 - 3,550",3 Beds,"12111 Fielding Pl, Waldorf, MD 20601"
0,"$3,275 - 3,370",3 Beds,"9371 Kilwinning Pl, Waldorf, MD 20601"
0,"$1,920 - 2,221",2-3 Beds,"12330 Vivian Adams Dr, Waldorf, MD 20601"
0,"$1,755 - 4,733",1-3 Beds,"3560 Malvern St, Waldorf, MD 20603"
0,"$1,817 - 4,576",1-3 Beds,"11604 Lewisham Pl, Waldorf, MD 20602"
0,"$1,412 - 1,944",1-2 Beds,"2482 Lake Dr, Waldorf, MD 20601"
0,"$3,160 - 3,410",3 Beds,"4079 Enid Blyton Pl, White Plains, MD 20695"
0,"$2,027 - 4,801",1-2 Beds,"4655 Prestancia Pl, Waldorf, MD 20602"
0,"$1,850 - 4,136",2 Beds,"4136 Falcon Pl, Waldorf, MD 20603"
0,"$1,843 - 4,693",1-2 Beds,"4872 Lichfield Pl, Waldorf, MD 20602"
0,"$1,916 - 3,736",2 Beds,"6061 Thoroughbred Ct, Waldorf, MD 20603"
0,Call for Rent,1-2 Beds,"3008 Pilgrims Sq, Waldorf, MD 20602"
0,"$1,619 - 3,944",1-2 Beds,"2001 Wedgewood Pl, Waldorf, MD 20602"
0,"$1,600 - 1,915",1-3 Beds,"2640 Hamilton Pl, Waldorf, MD 20602"
0,"$1,656 - 2,860",1-2 Beds,"4001 Night Heron Ct, Waldorf, MD 20603"
0,"$1,505 - 3,886",1 Bed,"2009 St Thomas Dr, Waldorf, MD 20602"
0,"$1,771 - 3,565",2 Beds,"6001 New Forest Ct, Saint Charles, MD 20603"
0,"$1,804 - 4,641",1-2 Beds,"1100 Heritage Pl, Saint Charles, MD 20602"
