,price,rooms,address
0,"$1,487 - 2,893",Studio - 2 Beds,"2025 Greystem Cir, Gurnee, IL 60031"
0,"$864 - 1,157",1-3 Beds,"200 Julian St, Waukegan, IL 60085"
0,"$1,115 - 1,685",Studio - 2 Beds,"1947 W Eagle Ridge Dr, Waukegan, IL 60087"
0,"$1,110 - 1,555",1-2 Beds,"2805 Glen Flora Ave, Waukegan, IL 60085"
0,"$1,000 - 1,200",1-2 Beds,"2801-2813 Grandville Ct, Waukegan, IL 60085"
0,"$900 - 1,295",Studio - 2 Beds,"1610 Sunset Ave, Waukegan, IL 60087"
0,"$1,295 - 1,735",1-3 Beds,"2330 N Samson Way, Waukegan, IL 60087"
0,"$1,283 - 3,146",1-3 Beds,"500 Lakehurst Rd, Waukegan, IL 60085"
0,"$844 - 1,615",Studio - 2 Beds,"805 Baldwin Ave, Waukegan, IL 60085"
0,"$900 - 1,200",1-3 Beds,"3080 W 8th St, Waukegan, IL 60085"
0,"$1,450 - 2,085",1-2 Beds,"1800 Wedgewood Dr, Gurnee, IL 60031"
0,"$1,060 - 1,270",1-2 Beds,"2904 W 31st St, Zion, IL 60099"
