,price,rooms,address
0,"$1,799 - 6,897",1-3 Beds,"745 N Sunset Ave, West Covina, CA 91790"
0,"$2,199 - 3,650",Studio - 3 Beds,"624 S Glendora Ave, West Covina, CA 91790"
0,"$1,537 - 2,941",1-3 Beds,"800 S Sunset Ave, West Covina, CA 91790"
0,"$1,994 - 2,682",Studio - 2 Beds,"3610 S Nogales St, West Covina, CA 91792"
0,"$2,205 - 2,805",2 Beds,"851 S Sunset Ave, West Covina, CA 91790"
0,"$1,996 - 3,922",Studio - 2 Beds,"2547 Temple Ave, West Covina, CA 91792"
0,"$2,240 - 3,395",1-3 Beds,"200 N Grand Ave, West Covina, CA 91791"
0,"$2,170 - 2,635",1-2 Beds,"1231 W Francisquito Ave, West Covina, CA 91790"
0,"$2,500",2 Beds,"422-436 W Front St, Covina, CA 91723"
0,"$2,272 - 3,536",1-3 Beds,"2100 Lark Ellen Ave, West Covina, CA 91792"
0,"$2,042 - 4,984",1-3 Beds,"2845-2847 E Valley Blvd, West Covina, CA 91792"
0,"$2,065 - 2,395",1-2 Beds,"1800 E Aroma Dr, West Covina, CA 91791"
0,"$2,010 - 2,595",1-2 Beds,"1901 E Amar Rd, West Covina, CA 91792"
0,"$1,850 - 2,600",Studio - 2 Beds,"1840 S Nelson St, West Covina, CA 91792"
0,"$1,850 - 2,770",Studio - 2 Beds,"273 W Arrow Hwy, Azusa, CA 91702"
0,"$2,415 - 2,445",2 Beds,"111 S Barranca St, West Covina, CA 91791"
0,"$2,345 - 3,695",1-3 Beds,"2900 E Virginia Ave, West Covina, CA 91791"
0,"$2,020 - 2,580",1-2 Beds,"320 S Citrus St, West Covina, CA 91791"
0,"$2,858",3 Beds,"2700 S Azusa Ave, West Covina, CA 91792"
0,"$2,795 - 2,995",2 Beds,"801 Wescove Pl, West Covina, CA 91790"
0,"$2,155 - 3,099",1-3 Beds,"2600 S Azusa Ave, West Covina, CA 91792"
0,"$2,395 - 2,813",2 Beds,"1740 Otterbein Ave, Rowland Heights, CA 91748"
0,"$1,900 - 2,200",1-2 Beds,"18567 E Colima, Rowland Heights, CA 91748"
0,"$1,799 - 2,199",1-2 Beds,"18600 Colima Rd, Rowland Heights, CA 91748"
0,"$2,220 - 2,600",2-3 Beds,"1850 Batson Ave, Rowland Heights, CA 91748"
0,"$1,700",1 Bed,"15400 Francisquito Ave, La Puente, CA 91744"
0,"$1,746 - 2,547",Studio - 2 Beds,"1375 W San Bernardino Rd, Covina, CA 91722"
0,"$1,799 - 2,762",1-3 Beds,"1160 N Conwell Ave, Covina, CA 91722"
0,"$1,323",1 Bed,"200-204 W Rowland St, Covina, CA 91723"
