,price,rooms,address
0,"$1,950 - 2,600",2-3 Beds,"7624 s Pastel Park l, West Jordan, UT 84081"
0,"$1,318 - 2,120",1-3 Beds,"6447 W Wilshire Park Ave, West Jordan, UT 84081"
0,"$1,268 - 3,693",1-3 Beds,"3375 W 7800 S, West Jordan, UT 84088"
0,"$1,199 - 2,181",Studio - 3 Beds,"3354 W Jordan Line Pky, West Jordan, UT 84088"
0,"$1,550 - 2,250",1-3 Beds,"6053 W 7940 S, West Jordan, UT 84081"
0,"$1,258 - 1,835",Studio - 3 Beds,"8771 S Jordan Valley Way, West Jordan, UT 84088"
0,"$1,293 - 3,300",1-2 Beds,"9035 S Hidden Peak Dr, West Jordan, UT 84088"
0,"$1,289 - 2,079",1-3 Beds,"3851 W Cobble Ridge Dr, West Jordan, UT 84084"
0,"$1,160 - 3,115",1-3 Beds,"7898 South 6710 W, West Jordan, UT 84081"
0,"$1,599 - 2,175",1-3 Beds,"5517 W Slate Canyon Dr, West Jordan, UT 84081"
0,"$1,206 - 6,113",1-4 Beds,"5959 Cougar Ln, Salt Lake City, UT 84118"
0,"$1,324 - 4,517",Studio - 2 Beds,"10678 Lake Run Rd, South Jordan, UT 84009"
0,"$1,530 - 2,100",1-3 Beds,"4647 South Jordan Pky, South Jordan, UT 84095"
0,"$1,149 - 1,629",1-2 Beds,"1680 W Thornhill Dr, Salt Lake City, UT 84123"
0,"$1,350 - 1,845",1-3 Beds,"9425 S Riverside Dr, Sandy, UT 84070"
0,"$1,529 - 2,106",1-3 Beds,"6972 S RIVER RESERVE Ct, Midvale, UT 84047"
0,"$1,245 - 2,845",1-3 Beds,"2812 W 8580 S, West Jordan, UT 84088"
0,"$1,475 - 2,396",1-3 Beds,"8088 S Uinta View Way, West Jordan, UT 84081"
0,"$1,399 - 2,325",1-3 Beds,"7711 S 1240 W, West Jordan, UT 84088"
0,"$1,192 - 2,182",Studio - 2 Beds,"3283 W Jordan Line Pky, West Jordan, UT 84088"
0,"$1,259 - 1,899",1-3 Beds,"9300 S Redwood Rd, West Jordan, UT 84088"
0,"$1,109 - 1,796",Studio - 2 Beds,"6885 S Redwood Rd, West Jordan, UT 84084"
0,Call for Rent,2 Beds,"3818 W Castle Pines Way, West Jordan, UT 84084"
0,"$1,256 - 1,616",1-2 Beds,"5490 S 3910 W, Taylorsville, UT 84129"
0,"$1,099 - 1,459",Studio - 2 Beds,"7351 S Catalpa St, Midvale, UT 84047"
0,"$925 - 1,035",Studio - 1 Bed,"8260 S Lance St, Midvale, UT 84047"
0,"$1,250 - 3,361",1-3 Beds,"7028 S Cherry Leaf Dr, West Jordan, UT 84084"
0,"$1,375 - 2,941",Studio - 2 Beds,"3361 W Jordan Line Pky, West Jordan, UT 84088"
0,"$1,339 - 1,539",2-3 Beds,"5503 W 9000 S, West Jordan, UT 84081"
0,"$1,413 - 2,629",1-3 Beds,"966 Powder Hill Rd, Midvale, UT 84047"
0,"$1,496 - 2,669",1-3 Beds,"776 W , Grand Rose Way, South Jordan, UT 84095"
0,"$1,630 - 3,144",1-3 Beds,"7650 S Euro Dr, Midvale, UT 84047"
0,"$1,481 - 2,714",1-3 Beds,"1004 W Tuscany View Dr, Midvale, UT 84047"
0,"$1,381 - 3,235",1-3 Beds,"7865 S Bingham Junction Blvd, Midvale, UT 84047"
0,"$1,099 - 1,299",1-2 Beds,"6256 S Gold Medal Dr, Salt Lake City, UT 84129"
