,price,rooms,address
0,"$1,333 - 2,525",1-4 Beds,"2882 S Big Wave Dr, West Valley City, UT 84119"
0,"$1,220 - 2,658",1-3 Beds,"4612 S 2930 W, West Valley City, UT 84119"
0,Call for Rent,3-4 Beds,"4032 S Dry Hollow Ln, Magna, UT 84044"
0,"$955 - 3,166",1-2 Beds,"820 W Timber Creek Way, Salt Lake City, UT 84119"
0,"$969 - 1,647",1-2 Beds,"1141 W 3900 Expy S, Salt Lake City, UT 84123"
0,"$1,265 - 1,511",1-2 Beds,"1580 W 3940 S, Salt Lake City, UT 84123"
0,"$979 - 1,199",Studio - 2 Beds,"4000 S Redwood Rd, Salt Lake City, UT 84123"
0,"$1,199 - 1,999",1-3 Beds,"3825 S 700 W, Salt Lake City, UT 84119"
0,"$1,365 - 2,315",1-3 Beds,"1812 W 4100 S, Salt Lake City, UT 84119"
0,"$1,369 - 2,340",1-3 Beds,"8548 W Henderson Way, Magna, UT 84044"
0,"$1,189 - 2,349",1-3 Beds,"3810 S Redwood Rd, West Valley City, UT 84119"
0,"$1,260 - 1,670",1-2 Beds,"3860 S Redwood Rd, West Valley City, UT 84119"
0,"$1,222 - 1,322",1 Bed,"2184 W 3100 S, West Valley City, UT 84119"
0,"$1,279 - 7,426",1-3 Beds,"5301 W White Horse Ln, West Valley City, UT 84120"
0,"$1,767 - 2,320",1-3 Beds,"2785 S Winsted Way, West Valley City, UT 84120"
0,"$1,254 - 5,762",1-3 Beds,"4341 S Riverboat Rd, Taylorsville, UT 84123"
0,"$1,133 - 1,709",1-2 Beds,"845 W 3900, Salt Lake City, UT 84123"
0,"$1,341 - 2,683",1-4 Beds,"2606 S Anna Caroline Dr, West Valley, UT 84128"
0,"$1,128 - 2,314",1-3 Beds,"764 W 3940 S, Salt Lake City, UT 84123"
0,"$1,125 - 1,975",1-4 Beds,"1616 W Snow Queen Pl, Salt Lake City, UT 84104"
0,"$1,474 - 2,182",1-3 Beds,"745 W Fine Dr, Salt Lake City, UT 84119"
0,"$1,599 - 1,799",2-3 Beds,"2292 W Ruddy Way, Salt Lake City, UT 84119"
0,"$1,199 - 1,850",1-3 Beds,"1251 W Village Main Dr, West Valley, UT 84119"
0,"$1,299 - 2,339",1-3 Beds,"2900 Lehman Ave, West Valley City, UT 84119"
0,"$1,021 - 1,243",1-2 Beds,"3856 W 3500 S, West Valley, UT 84120"
0,"$1,350 - 1,539",2 Beds,"3598 S 4240 W, West Valley City, UT 84120"
0,"$1,195 - 1,950",1-3 Beds,"4139 S 4080 W, West Valley City, UT 84120"
0,"$1,299",2 Beds,"3854 Rockwood Way, West Valley City, UT 84120"
0,"$1,199 - 2,092",1-2 Beds,"2240 W 3800 S, West Valley, UT 84119"
0,"$1,400 - 1,800",1-3 Beds,"4422 Atherton Dr, Salt Lake City, UT 84123"
0,"$1,650 - 2,195",2-3 Beds,"2293 W Lexington Park Dr, Salt Lake City, UT 84119"
0,"$1,500",2 Beds,"4656 S 3860 W, Salt Lake City, UT 84120"
0,"$1,290 - 1,555",2-3 Beds,"4040 S 1535 W, Murray, UT 84123"
0,"$1,049 - 1,347",2 Beds,"3043 W 3500 S, West Valley, UT 84119"
0,"$970 - 1,375",Studio - 2 Beds,"1080 W 3300 S, Salt Lake City, UT 84119"
