,price,rooms,address
0,"$1,080 - 2,391",1-3 Beds,"2023 N Broadmoor St, Wichita, KS 67206"
0,$645 - 745,Studio - 1 Bed,"425 W Taft St, Wichita, KS 67213"
0,"$900 - 1,370",Studio - 1 Bed,"200 E Douglas Ave, Wichita, KS 67202"
0,"$1,070 - 1,672",1-3 Beds,"7400 W 37th Rd, Wichita, KS 67205"
0,"$1,009 - 1,704",1-2 Beds,"2925 N Boulder Dr, Wichita, KS 67226"
0,"$599 - 1,150",Studio - 3 Beds,"2701 S Emporia St, Wichita, KS 67216"
0,$705 - 975,1-2 Beds,"2801 N Rock Rd, Wichita, KS 67226"
0,"$751 - 1,061",1-2 Beds,"7677 E 21st St N, Wichita, KS 67206"
0,$730 - 890,1-2 Beds,"5700 E Mainsgate Rd, Wichita, KS 67220"
0,"$721 - 2,008",1-2 Beds,"7627 E 37th St, Wichita, KS 67226"
0,"$997 - 2,631",Studio - 2 Beds,"150 N McLean Blvd, Wichita, KS 67203"
0,"$904 - 1,204",1-2 Beds,"1010 N Ridge Rd, Wichita, KS 67212"
0,"$709 - 1,074",1-2 Beds,"777 N Silver Springs Blvd, Wichita, KS 67212"
0,"$825 - 1,995",Studio - 3 Beds,"143 N Rutan St, Wichita, KS 67208"
0,Call for Rent,Studio - 2 Beds,"150 N Main St, Wichita, KS 67202"
0,"$825 - 1,075",1-2 Beds,"2029 N Woodlawn Blvd, Wichita, KS 67208"
0,"$1,099 - 1,699",1-3 Beds,"711 Cloud Ave, Andover, KS 67002"
0,"$899 - 1,500",1-2 Beds,"517 E Douglas Ave, Wichita, KS 67202"
0,"$1,019 - 1,325",1-2 Beds,"3650 N Woodlawn St, Wichita, KS 67220"
0,"$1,118 - 1,690",1-3 Beds,"9911 E 21st St, Wichita, KS 67206"
0,"$1,044 - 5,420",Studio - 4 Beds,"225 N Sycamore St, Wichita, KS 67203"
0,"$1,050 - 1,550",1-3 Beds,"3312-3540 N Maize Rd, Wichita, KS 67205"
0,$699 - 799,1 Bed,"3600 W Kellogg Dr, Wichita, KS 67213"
0,$760 - 850,1-2 Beds,"3000 W Douglas Ave, Wichita, KS 67203"
0,"$670 - 1,283",1-2 Beds,"1945 N Rock Rd, Wichita, KS 67206"
0,$695 - 715,1 Bed,"400 W Central Ave, Wichita, KS 67203"
0,"$660 - 1,107",1-3 Beds,"330 S Tyler Rd, Wichita, KS 67209"
0,"$1,150 - 3,200",Studio - 3 Beds,"400 S Heritage Way, Andover, KS 67002"
0,"$920 - 1,656",1-2 Beds,"10850 Copper Creek Trl, Maize, KS 67101"
0,"$1,535 - 1,850",1-2 Beds,"2430 N 127th St E, Wichita, KS 67226"
