,price,rooms,address
0,"$1,295 - 2,200",1-3 Beds,"3314 Wickslow Rd, Wilmington, NC 28412"
0,"$1,297 - 2,494",1-3 Beds,"4605 Fairview Dr, Wilmington, NC 28412"
0,"$1,335 - 2,015",1-3 Beds,"1109 Matteo Dr, Wilmington, NC 28412"
0,"$1,424 - 3,912",1-2 Beds,"347 Arboretum Dr, Wilmington, NC 28405"
0,"$1,263 - 2,486",1-3 Beds,"115 Amberleigh Dr, Wilmington, NC 28411"
0,"$1,423 - 2,343",1-3 Beds,"4027 Watercraft Ferry Ave, Wilmington, NC 28412"
0,"$1,413 - 4,268",Studio - 3 Beds,"3520 Park Ave, Wilmington, NC 28403"
0,"$1,399 - 2,930",1-3 Beds,"406 Ledbury Rd, Wilmington, NC 28412"
0,"$1,155 - 2,025",Studio - 3 Beds,"327 Guinevere Ln, Wilmington, NC 28403"
0,"$1,040 - 1,150",1-2 Beds,"5034 Hunt Club Rd, Wilmington, NC 28403"
0,"$1,910 - 3,090",1-2 Beds,"6146 Liberty Hall Dr, Leland, NC 28451"
0,"$1,658 - 2,500",1-3 Beds,"1411 Parkview Cir, Wilmington, NC 28405"
0,"$1,355 - 5,361",1-3 Beds,"414 Mill Creek Ct, Wilmington, NC 28403"
0,"$1,399 - 1,799",2-3 Beds,"4013 Wilshire Blvd, Wilmington, NC 28403"
0,"$1,265 - 7,062",1-3 Beds,"7113 Cape Harbor Dr, Wilmington, NC 28411"
0,"$1,005 - 1,405",1-2 Beds,"5208 Ringo Dr, Wilmington, NC 28405"
0,"$1,005 - 1,390",Studio - 2 Beds,"603 Plum Nearly Ln, Wilmington, NC 28403"
0,"$1,520 - 2,745",1-3 Beds,"2545 Croquet Dr, Wilmington, NC 28412"
0,"$1,100 - 1,425",1-2 Beds,"4901 Randall Pky, Wilmington, NC 28403"
0,"$1,425 - 2,534",1-2 Beds,"531 Old Maccumber Station Rd, Wilmington, NC 28405"
0,"$1,390 - 2,020",1-2 Beds,"814 N 3rd St, Wilmington, NC 28401"
0,"$1,257 - 1,775",1-3 Beds,"4632 Still Meadow Dr, Wilmington, NC 28412"
0,"$2,310 - 3,682",1-3 Beds,"7205-7215 Wrightsville Ave, Wilmington, NC 28403"
0,"$1,465 - 3,296",1-2 Beds,"1015 Nutt St, Wilmington, NC 28401"
0,"$1,540 - 3,328",Studio - 2 Beds,"1813 Sir Tyler Dr, Wilmington, NC 28405"
0,"$1,292 - 2,653",1-3 Beds,"3960 Independence Blvd, Wilmington, NC 28412"
0,"$1,441 - 2,146",1-3 Beds,"3215 Midvale Dr, Wilmington, NC 28412"
