,price,rooms,address
0,"$1,399 - 2,899",1-3 Beds,"10225 City Walk Dr, Woodbury, MN 55129"
0,"$1,495 - 9,000",Studio - 3 Beds,"7601 3rd St N, Oakdale, MN 55128"
0,"$2,650 - 3,550",3-4 Beds,"9392-9485 4th St N, Lake Elmo, MN 55042"
0,"$1,469 - 1,999",1-2 Beds,"7260 Guider Dr, Woodbury, MN 55125"
0,"$1,350 - 1,710",1-2 Beds,"6850 Ashwood Rd, Woodbury, MN 55125"
0,"$1,511 - 2,930",Studio - 3 Beds,"4151 Benjamin Dr, Woodbury, MN 55129"
0,"$1,642 - 6,140",Studio - 3 Beds,"9000 City Place Blvd, Woodbury, MN 55125"
0,"$1,199 - 1,887",Studio - 2 Beds,"455 Karen Dr, Woodbury, MN 55129"
0,"$1,629 - 2,553",1-3 Beds,"326 Karen Dr, Woodbury, MN 55129"
0,"$2,850 - 3,750",3-4 Beds,"10108 Sunbird Cir, Woodbury, MN 55129"
0,"$3,474 - 4,100",3-4 Beds,"8868 Meridian Way, Woodbury, MN 55125"
0,"$1,300 - 1,450",1 Bed,"161 Concord Exchange, South Saint Paul, MN 55075"
0,"$1,136 - 2,705",Studio - 2 Beds,"1870 Old Hudson Rd, Saint Paul, MN 55119"
0,"$1,475 - 2,295",1-3 Beds,"2501 Londin Ln E, Maplewood, MN 55119"
0,"$1,821 - 7,864",1-4 Beds,"10285 Grand Forest Ln, Woodbury, MN 55129"
0,"$1,380 - 3,370",1-3 Beds,"7689 Hardwood Ave S, Cottage Grove, MN 55016"
0,"$1,444 - 2,020",1-2 Beds,"7255-7255 Guider Dr, Woodbury, MN 55125"
0,"$1,818 - 5,000",2 Beds,"8630-8847 Summer Wind Alcove, Woodbury, MN 55125"
0,"$1,029 - 1,929",Studio - 3 Beds,"6940 Woodmere Rd, Woodbury, MN 55125"
0,"$1,469 - 4,575",1-3 Beds,"1707 Century Cir, Woodbury, MN 55125"
0,Call for Rent,Studio,"901 Lake Elmo Ave N, Lake Elmo, MN 55042"
0,"$1,524 - 5,852",Studio - 3 Beds,"9730 Hudson Blvd N, Lake Elmo, MN 55042"
0,"$1,290 - 1,525",1-2 Beds,"2150 Wilson Ave, Saint Paul, MN 55119"
0,"$1,125 - 1,550",1-2 Beds,"170 Ruth St N, Saint Paul, MN 55119"
0,"$1,200 - 1,755",Studio - 2 Beds,"1880 Old Hudson Rd, Saint Paul, MN 55119"
0,"$906 - 1,714",1-2 Beds,"400 Luella St N, Saint Paul, MN 55119"
0,"$1,004 - 1,539",1-3 Beds,"2236 Lower Afton Rd, Saint Paul, MN 55119"
0,"$1,225 - 1,425",1-2 Beds,"89 Century Ave N, Maplewood, MN 55119"
0,"$1,595 - 2,395",1-3 Beds,"7675 Hardwood Ave, cottage grove, MN 55016"
0,"$815 - 1,165",Studio - 2 Beds,"1213 Gentry Ave N, Oakdale, MN 55128"
0,"$750 - 1,550",Studio - 3 Beds,"828 N Hazel St, Saint Paul, MN 55119"
0,"$1,450 - 1,790",1-2 Beds,"10751 Retreat Ln, Woodbury, MN 55129"
0,"$1,188 - 1,691",1-2 Beds,"177 Mcknight Rd N, Saint Paul, MN 55119"
0,"$1,195 - 1,325",1 Bed,"2300 Hastings Ave, Newport, MN 55055"
0,"$1,795 - 2,195",2 Beds,"2187 Cypress Dr, Woodbury, MN 55125"
0,"$2,040 - 5,103",1-3 Beds,"2150 Vining Dr, Woodbury, MN 55125"
0,"$1,100 - 1,675",1-3 Beds,"6725 Ashwood Rd, Woodbury, MN 55125"
0,"$960 - 1,331",Studio - 2 Beds,"1343 Gentry Ave N, Oakdale, MN 55128"
0,Call for Rent,1-3 Beds,"200 Winthrop St S, Saint Paul, MN 55119"
0,"$1,350 - 2,095",Studio - 3 Beds,"7550 80th St, Cottage Grove, MN 55016"
