,price,rooms,address
0,"$2,042 - 4,664",Studio - 3 Beds,"57 Alexander St, Yonkers, NY 10701"
0,"$2,450 - 3,700",1-3 Beds,"697 Bronx River Rd, Yonkers, NY 10704"
0,"$1,905 - 4,773",Studio - 2 Beds,"20 Water Grant St, Yonkers, NY 10701"
0,"$1,920 - 4,835",Studio - 3 Beds,"79 Alexander St, Yonkers, NY 10701"
0,"$2,595 - 3,895",1-2 Beds,"701 Ridge Hill Blvd, Yonkers, NY 10710"
0,"$2,250 - 5,325",Studio - 3 Beds,"601 Ridge Hill Blvd, Yonkers, NY 10710"
0,"$2,295 - 5,295",Studio - 3 Beds,"1133 Warburton Ave, Yonkers, NY 10701"
0,"$2,410 - 6,267",Studio - 3 Beds,"42 Broad St W, Mount Vernon, NY 10552"
0,"$2,595 - 4,850",1-2 Beds,"1077 Warburton Ave, Yonkers, NY 10701"
0,"$3,100 - 3,500",1 Bed,"92 Main St, Yonkers, NY 10701"
0,"$1,985 - 3,100",1-3 Beds,"90 Beaumont Cir, Yonkers, NY 10710"
0,"$1,620 - 2,790",Studio - 1 Bed,"44 Wells Ave, Yonkers, NY 10701"
0,"$4,239 - 36,041",1-3 Beds,"125 Parkway Rd, Bronxville, NY 10708"
0,"$1,723 - 4,720",Studio - 3 Beds,"45 Main St, Yonkers, NY 10701"
0,"$3,295 - 5,195",1-3 Beds,"1177 Warburton Ave, Yonkers, NY 10701"
0,"$2,193 - 3,502",1-2 Beds,"1 Alexander St, Yonkers, NY 10701"
0,"$2,100 - 2,600",Studio - 2 Beds,"66 Main St, Yonkers, NY 10701"
0,"$2,005 - 3,296",1-2 Beds,"1 Van Der Donck St, Yonkers, NY 10701"
0,"$2,016 - 3,372",Studio - 2 Beds,"63 Wells Ave, Yonkers, NY 10701"
0,"$1,039 - 2,635",Studio - 4 Beds,"352-358 Nepperhan Ave, Yonkers, NY 10701"
0,"$3,900 - 7,450",1-3 Beds,"15 Parkview Ave, Bronxville, NY 10708"
0,"$1,600 - 2,950",Studio - 2 Beds,"675 N Terrace Ave, Mount Vernon, NY 10552"
0,"$3,500",3 Beds,"6015 Fieldston Rd, The Bronx, NY 10471"
