price,rooms,address,city
1595,0,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1895,1,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1895,2,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1599,0,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2250,1,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2250,2,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
1498,0,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,1,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,2,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,3,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
1575,0,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
3400,1,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
3400,2,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
1320,0,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2080,1,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2080,2,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
2080,3,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
1452,0,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,1,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,2,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,3,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
6025,4,"2300 Diamond Mesa Trl SW, Albuquerque, NM 87121","Albuquerque, NM"
1244,0,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
4533,1,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
4533,2,"5324 San Mateo Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1745,0,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1999,1,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1999,2,"4101 Central Ave NE, Albuquerque, NM 87108","Albuquerque, NM"
1350,0,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,1,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,2,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,3,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
2600,4,"6601 Tree Line Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
1325,0,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3995,1,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
3995,2,"5301 Antequera Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
1558,0,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2367,1,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
2367,2,"7800 Headline Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1525,0,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
2701,1,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
2701,2,"6500 Americas Pky NE, Albuquerque, NM 87110","Albuquerque, NM"
1195,0,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1800,1,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1800,2,"2818 4th St NW, Albuquerque, NM 87107","Albuquerque, NM"
1600,0,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
2175,1,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
2175,2,"8901 Holly Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
1507,0,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
2457,1,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
2457,2,"6700 Modesto Ave NE, Albuquerque, NM 87113","Albuquerque, NM"
1005,0,"4217 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1380,1,"4217 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
