price,rooms,bathrooms,sqft,address,city
325000,3,3,1328,"6201 Avenida La Costa NE, Albuquerque, NM 87109","Albuquerque, NM"
450000,3,3,7405,"7209 Corte Ocaso NE, Albuquerque, NM 87113","Albuquerque, NM"
250000,3,3,2043,"2405 Ghost Ranch St SW, Albuquerque, NM 87121","Albuquerque, NM"
619000,4,4,6534,"1827 Tierra Vida Pl NW, Albuquerque, NM 87107","Albuquerque, NM"
169900,3,3,1288,"2941 Alvarado Dr NE, Albuquerque, NM 87110","Albuquerque, NM"
246900,2,2,5227,"61 Westlake Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
659000,4,4,2137,"13013 Gray Hills Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
345590,3,3,4269,"10825 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
470000,4,4,1100,"2031 Hubbard St SE, Albuquerque, NM 87123","Albuquerque, NM"
444950,3,3,7405,"5751 University Blvd SE, Albuquerque, NM 87106","Albuquerque, NM"
173000,2,2,1760,"564 Aztec Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
475000,2,2,3360,"1331 Park Ave #811, Albuquerque, NM 87102","Albuquerque, NM"
149500,1,1,2797,"605 General Somervell St SE, Albuquerque, NM 87123","Albuquerque, NM"
340000,3,3,13503.6,"3811 Bonnie Ann Ct NE, Albuquerque, NM 87111","Albuquerque, NM"
350000,3,3,1519,"5015 Sala De Tomas Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
315000,3,3,4800,"3112 Crimson Rose Ln SW, Albuquerque, NM 87121","Albuquerque, NM"
545000,3,3,2050,"8856 Mancos St NW, Albuquerque, NM 87114","Albuquerque, NM"
460000,3,3,7405,"2123 Torrent Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
350000,3,3,1770,"201 Wheeler Ave SE, Albuquerque, NM 87102","Albuquerque, NM"
350000,4,4,4356,"10839 Maness Ln SW, Albuquerque, NM 87121","Albuquerque, NM"
260000,4,4,813,"2704 Altez St NE, Albuquerque, NM 87112","Albuquerque, NM"
475500,3,3,1742,"6901 Esther Ave NE, Albuquerque, NM 87109","Albuquerque, NM"
295000,1,1,1461,"637 Charleston St SE, Albuquerque, NM 87108","Albuquerque, NM"
119000,2,2,775,"7112 Pan American East Fwy NE #242, Albuquerque, NM 87109","Albuquerque, NM"
280000,3,3,2613,"459 Treasure Stone Dr SW, Albuquerque, NM 87121","Albuquerque, NM"
336990,3,3,1836,"10845 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
404000,2,2,8712,"305 Tulane Dr SE, Albuquerque, NM 87106","Albuquerque, NM"
355990,4,4,1633,"10843 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
510000,4,4,3484,"7501 Sherwood Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
214900,2,2,1630,"6919 Ivy Pl SW, Albuquerque, NM 87121","Albuquerque, NM"
365000,3,3,4791,"2023 General Somervell St NE, Albuquerque, NM 87112","Albuquerque, NM"
325000,3,3,1979,"6312 Crabtree Ct NW, Albuquerque, NM 87120","Albuquerque, NM"
365000,3,3,11325.6,"9616 Puccini Trl NW, Albuquerque, NM 87114","Albuquerque, NM"
1250000,3,3,2105,"104 Sarah Ln NW, Albuquerque, NM 87114","Albuquerque, NM"
499900,3,3,6534,"2032 Cougar Run Ct SE, Albuquerque, NM 87123","Albuquerque, NM"
264900,3,3,1733,"1107 Cerro Vista Rd SW, Albuquerque, NM 87105","Albuquerque, NM"
315000,3,3,8712,"6905 Poppy Pl NW, Albuquerque, NM 87121","Albuquerque, NM"
290000,3,3,2258,"2041 Moon St NE, Albuquerque, NM 87112","Albuquerque, NM"
465000,5,5,5227,"10408 Chaparro Dr NW, Albuquerque, NM 87114","Albuquerque, NM"
369000,3,3,1824,"5036 Mirador Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
325000,3,3,1328,"6201 Avenida La Costa NE, Albuquerque, NM 87109","Albuquerque, NM"
450000,3,3,7405,"7209 Corte Ocaso NE, Albuquerque, NM 87113","Albuquerque, NM"
250000,3,3,2043,"2405 Ghost Ranch St SW, Albuquerque, NM 87121","Albuquerque, NM"
619000,4,4,6534,"1827 Tierra Vida Pl NW, Albuquerque, NM 87107","Albuquerque, NM"
169900,3,3,1288,"2941 Alvarado Dr NE, Albuquerque, NM 87110","Albuquerque, NM"
246900,2,2,5227,"61 Westlake Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
659000,4,4,2137,"13013 Gray Hills Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
345590,3,3,4269,"10825 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
470000,4,4,1100,"2031 Hubbard St SE, Albuquerque, NM 87123","Albuquerque, NM"
444950,3,3,7405,"5751 University Blvd SE, Albuquerque, NM 87106","Albuquerque, NM"
173000,2,2,1760,"564 Aztec Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
475000,2,2,3360,"1331 Park Ave #811, Albuquerque, NM 87102","Albuquerque, NM"
149500,1,1,2797,"605 General Somervell St SE, Albuquerque, NM 87123","Albuquerque, NM"
340000,3,3,13503.6,"3811 Bonnie Ann Ct NE, Albuquerque, NM 87111","Albuquerque, NM"
350000,3,3,1519,"5015 Sala De Tomas Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
315000,3,3,4800,"3112 Crimson Rose Ln SW, Albuquerque, NM 87121","Albuquerque, NM"
545000,3,3,2050,"8856 Mancos St NW, Albuquerque, NM 87114","Albuquerque, NM"
585000,3,3,1503,"819 Horned Owl Dr NE, Albuquerque, NM 87122","Albuquerque, NM"
385000,4,4,7579,"10247 Rempas Dr NW, Albuquerque, NM 87114","Albuquerque, NM"
345000,3,3,2246,"2508 Woodhill Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
290000,3,3,9583,"309 Cagua Dr NE, Albuquerque, NM 87108","Albuquerque, NM"
732000,3,3,2143,"13319 Arch Ct NE, Albuquerque, NM 87112","Albuquerque, NM"
850000,4,4,3920,"7943 Victoria Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
650000,5,5,1264,"8309 San Tesoro St NE, Albuquerque, NM 87113","Albuquerque, NM"
475000,4,4,6098,"4115 Cibola Village Dr NE, Albuquerque, NM 87111","Albuquerque, NM"
280000,2,2,2490,"2700 Kentucky St NE, Albuquerque, NM 87110","Albuquerque, NM"
950000,7,7,6969,"1504 Los Arboles Ave NW, Albuquerque, NM 87107","Albuquerque, NM"
259000,3,3,4000,"6804 Cisco Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
755000,4,4,16988.4,"802 Solar Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
430000,3,3,2943,"8264 Ruidoso Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
230000,2,2,6098,"12929 Carrie Pl SE, Albuquerque, NM 87123","Albuquerque, NM"
315000,4,4,2339,"12517 Monarch Dr NE, Albuquerque, NM 87123","Albuquerque, NM"
575000,4,4,9147,"1101 Solar Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
340000,4,4,1224,"1635 Corte Del Sol NW, Albuquerque, NM 87105","Albuquerque, NM"
425000,3,3,7405,"4112 Rancho Gusto NW, Albuquerque, NM 87120","Albuquerque, NM"
270000,2,2,5317,"1324 Spence Ave SE, Albuquerque, NM 87106","Albuquerque, NM"
234000,2,2,33105.6,"7481 Prairie Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
278500,3,3,1050,"10324 Chianti Ave SW, Albuquerque, NM 87121","Albuquerque, NM"
670000,3,3,3484,"715 16th St NW, Albuquerque, NM 87104","Albuquerque, NM"
