price,rooms,baths,square_feet,address
"$325,000",3 beds,3 beds,"1,328","6201 Avenida La Costa NE, Albuquerque, NM 87109"
"$450,000",3 beds,3 beds,"7,405","7209 Corte Ocaso NE, Albuquerque, NM 87113"
"$250,000",3 beds,3 beds,"2,043","2405 Ghost Ranch St SW, Albuquerque, NM 87121"
"$619,000",4 beds,4 beds,"6,534","1827 Tierra Vida Pl NW, Albuquerque, NM 87107"
"$169,900",3 beds,3 beds,"1,288","2941 Alvarado Dr NE, Albuquerque, NM 87110"
"$246,900",2 beds,2 beds,"5,227","61 Westlake Dr NE, Albuquerque, NM 87112"
"$659,000",4 beds,4 beds,"2,137","13013 Gray Hills Rd NE, Albuquerque, NM 87111"
"$345,590",3 beds,3 beds,"4,269","10825 Sabino Loop SW, Albuquerque, NM 87121"
"$470,000",4 beds,4 beds,"1,100","2031 Hubbard St SE, Albuquerque, NM 87123"
"$444,950",3 beds,3 beds,"7,405","5751 University Blvd SE, Albuquerque, NM 87106"
"$173,000",2 beds,2 beds,"1,760","564 Aztec Rd NW, Albuquerque, NM 87107"
"$475,000",2 beds,2 beds,"3,360","1331 Park Ave #811, Albuquerque, NM 87102"
"$149,500",1 bed,1 bed,"2,797","605 General Somervell St SE, Albuquerque, NM 87123"
"$340,000",3 beds,3 beds,0.31,"3811 Bonnie Ann Ct NE, Albuquerque, NM 87111"
"$350,000",3 beds,3 beds,"1,519","5015 Sala De Tomas Dr NW, Albuquerque, NM 87120"
"$315,000",3 beds,3 beds,"4,800","3112 Crimson Rose Ln SW, Albuquerque, NM 87121"
"$545,000",3 beds,3 beds,"2,050","8856 Mancos St NW, Albuquerque, NM 87114"
"$460,000",3 beds,3 beds,"7,405","2123 Torrent Dr NW, Albuquerque, NM 87120"
"$350,000",3 beds,3 beds,"1,770","201 Wheeler Ave SE, Albuquerque, NM 87102"
"$350,000",4 beds,4 beds,"4,356","10839 Maness Ln SW, Albuquerque, NM 87121"
"$260,000",4 beds,4 beds,813,"2704 Altez St NE, Albuquerque, NM 87112"
"$475,500",3 beds,3 beds,"1,742","6901 Esther Ave NE, Albuquerque, NM 87109"
"$295,000",1 bed,1 bed,"1,461","637 Charleston St SE, Albuquerque, NM 87108"
"$119,000",2 beds,2 beds,775,"7112 Pan American East Fwy NE #242, Albuquerque, NM 87109"
"$280,000",3 beds,3 beds,"2,613","459 Treasure Stone Dr SW, Albuquerque, NM 87121"
"$336,990",3 beds,3 beds,"1,836","10845 Sabino Loop SW, Albuquerque, NM 87121"
"$404,000",2 beds,2 beds,"8,712","305 Tulane Dr SE, Albuquerque, NM 87106"
"$355,990",4 beds,4 beds,"1,633","10843 Sabino Loop SW, Albuquerque, NM 87121"
"$510,000",4 beds,4 beds,"3,484","7501 Sherwood Dr NW, Albuquerque, NM 87120"
"$214,900",2 beds,2 beds,"1,630","6919 Ivy Pl SW, Albuquerque, NM 87121"
"$365,000",3 beds,3 beds,"4,791","2023 General Somervell St NE, Albuquerque, NM 87112"
"$325,000",3 beds,3 beds,"1,979","6312 Crabtree Ct NW, Albuquerque, NM 87120"
"$365,000",3 beds,3 beds,0.26,"9616 Puccini Trl NW, Albuquerque, NM 87114"
"$1,250,000",3 beds,3 beds,"2,105","104 Sarah Ln NW, Albuquerque, NM 87114"
"$499,900",3 beds,3 beds,"6,534","2032 Cougar Run Ct SE, Albuquerque, NM 87123"
"$264,900",3 beds,3 beds,"1,733","1107 Cerro Vista Rd SW, Albuquerque, NM 87105"
"$315,000",3 beds,3 beds,"8,712","6905 Poppy Pl NW, Albuquerque, NM 87121"
"$290,000",3 beds,3 beds,"2,258","2041 Moon St NE, Albuquerque, NM 87112"
"$465,000",5 beds,5 beds,"5,227","10408 Chaparro Dr NW, Albuquerque, NM 87114"
"$369,000",3 beds,3 beds,"1,824","5036 Mirador Dr NW, Albuquerque, NM 87120"
"$325,000",3 beds,3 beds,"1,328","6201 Avenida La Costa NE, Albuquerque, NM 87109"
"$450,000",3 beds,3 beds,"7,405","7209 Corte Ocaso NE, Albuquerque, NM 87113"
"$250,000",3 beds,3 beds,"2,043","2405 Ghost Ranch St SW, Albuquerque, NM 87121"
"$619,000",4 beds,4 beds,"6,534","1827 Tierra Vida Pl NW, Albuquerque, NM 87107"
"$169,900",3 beds,3 beds,"1,288","2941 Alvarado Dr NE, Albuquerque, NM 87110"
"$246,900",2 beds,2 beds,"5,227","61 Westlake Dr NE, Albuquerque, NM 87112"
"$659,000",4 beds,4 beds,"2,137","13013 Gray Hills Rd NE, Albuquerque, NM 87111"
"$345,590",3 beds,3 beds,"4,269","10825 Sabino Loop SW, Albuquerque, NM 87121"
"$470,000",4 beds,4 beds,"1,100","2031 Hubbard St SE, Albuquerque, NM 87123"
"$444,950",3 beds,3 beds,"7,405","5751 University Blvd SE, Albuquerque, NM 87106"
"$173,000",2 beds,2 beds,"1,760","564 Aztec Rd NW, Albuquerque, NM 87107"
"$475,000",2 beds,2 beds,"3,360","1331 Park Ave #811, Albuquerque, NM 87102"
"$149,500",1 bed,1 bed,"2,797","605 General Somervell St SE, Albuquerque, NM 87123"
"$340,000",3 beds,3 beds,0.31,"3811 Bonnie Ann Ct NE, Albuquerque, NM 87111"
"$350,000",3 beds,3 beds,"1,519","5015 Sala De Tomas Dr NW, Albuquerque, NM 87120"
"$315,000",3 beds,3 beds,"4,800","3112 Crimson Rose Ln SW, Albuquerque, NM 87121"
"$545,000",3 beds,3 beds,"2,050","8856 Mancos St NW, Albuquerque, NM 87114"
"$585,000",3 beds,3 beds,"1,503","819 Horned Owl Dr NE, Albuquerque, NM 87122"
"$385,000",4 beds,4 beds,"7,579","10247 Rempas Dr NW, Albuquerque, NM 87114"
"$345,000",3 beds,3 beds,"2,246","2508 Woodhill Dr NW, Albuquerque, NM 87120"
"$290,000",3 beds,3 beds,"9,583","309 Cagua Dr NE, Albuquerque, NM 87108"
"$732,000",3 beds,3 beds,"2,143","13319 Arch Ct NE, Albuquerque, NM 87112"
"$850,000",4 beds,4 beds,"3,920","7943 Victoria Dr NW, Albuquerque, NM 87120"
"$650,000",5 beds,5 beds,"1,264","8309 San Tesoro St NE, Albuquerque, NM 87113"
"$475,000",4 beds,4 beds,"6,098","4115 Cibola Village Dr NE, Albuquerque, NM 87111"
"$280,000",2 beds,2 beds,"2,490","2700 Kentucky St NE, Albuquerque, NM 87110"
"$950,000",7 beds,7 beds,"6,969","1504 Los Arboles Ave NW, Albuquerque, NM 87107"
"$259,000",3 beds,3 beds,"4,000","6804 Cisco Rd NW, Albuquerque, NM 87120"
"$755,000",4 beds,4 beds,0.39,"802 Solar Rd NW, Albuquerque, NM 87107"
"$430,000",3 beds,3 beds,"2,943","8264 Ruidoso Rd NE, Albuquerque, NM 87109"
"$230,000",2 beds,2 beds,"6,098","12929 Carrie Pl SE, Albuquerque, NM 87123"
"$315,000",4 beds,4 beds,"2,339","12517 Monarch Dr NE, Albuquerque, NM 87123"
"$575,000",4 beds,4 beds,"9,147","1101 Solar Rd NW, Albuquerque, NM 87107"
"$340,000",4 beds,4 beds,"1,224","1635 Corte Del Sol NW, Albuquerque, NM 87105"
"$425,000",3 beds,3 beds,"7,405","4112 Rancho Gusto NW, Albuquerque, NM 87120"
"$270,000",2 beds,2 beds,"5,317","1324 Spence Ave SE, Albuquerque, NM 87106"
"$234,000",2 beds,2 beds,0.76,"7481 Prairie Rd NE, Albuquerque, NM 87109"
"$278,500",3 beds,3 beds,"1,050","10324 Chianti Ave SW, Albuquerque, NM 87121"
"$670,000",3 beds,3 beds,"3,484","715 16th St NW, Albuquerque, NM 87104"
"$560,000",4 beds,4 beds,"2,693","8812 Camino Del Sol NE, Albuquerque, NM 87111"
"$355,000",3 beds,3 beds,0.44,"1207 Bernalillo Pl, Albuquerque, NM 87123"
"$1,554,500",3 beds,3 beds,"1,705","239 Spring Creek Ct NE, Albuquerque, NM 87122"
"$399,900",3 beds,3 beds,"8,276","10236 Wickenburg St NW, Albuquerque, NM 87114"
"$500,000",4 beds,4 beds,"1,000","6801 Old Mesa Dr NW, Albuquerque, NM 87120"
"$350,000",4 beds,4 beds,"3,049","9301 Joe Montoya Pl NW, Albuquerque, NM 87114"
"$319,000",4 beds,4 beds,"1,583","8709 Trotter Rd SW, Albuquerque, NM 87121"
"$1,200,000",5 beds,5 beds,"9,583","6201 Keyenta Pl NW, Albuquerque, NM 87120"
"$295,000",3 beds,3 beds,"2,371","10031 Guadalupe Trl NW Unit A, Albuquerque, NM 87114"
"$290,000",3 beds,3 beds,0.32,"420 Odelia Rd NE, Albuquerque, NM 87102"
"$775,000",4 beds,4 beds,"1,836","11205 Oakland Ave NE, Albuquerque, NM 87122"
"$299,900",4 beds,4 beds,"4,356","2825 Cagua Dr NE, Albuquerque, NM 87110"
"$431,000",4 beds,4 beds,"2,265","7715 Ramona Ave NW, Albuquerque, NM 87114"
"$280,000",2 beds,2 beds,"6,969","917 Iron Ave SW, Albuquerque, NM 87102"
"$390,990",4 beds,4 beds,"1,350","10760 Hopewell Ln SW, Albuquerque, NM 87121"
"$355,990",4 beds,4 beds,"6,098","10724 Hopewell Ln SW, Albuquerque, NM 87121"
"$343,990",3 beds,3 beds,"1,360","10847 Sabino Loop SW, Albuquerque, NM 87121"
"$326,990",3 beds,3 beds,"1,306","10837 Sabino Loop SW, Albuquerque, NM 87121"
"$323,990",3 beds,3 beds,"1,289","10841 Sabino Loop SW, Albuquerque, NM 87121"
"$475,000",2 beds,2 beds,"4,792","240 Wheeler Ave SE, Albuquerque, NM 87102"
"$675,000",6 beds,6 beds,"2,693","2424 Vista Grande Dr NW, Albuquerque, NM 87120"
"$303,000",2 beds,2 beds,"5,227","4623 Crest Ave SE, Albuquerque, NM 87108"
"$390,000",3 beds,3 beds,"4,813","8112 Palo Duro Ave NE, Albuquerque, NM 87110"
"$269,700",3 beds,3 beds,0.54,"1504 High St SE, Albuquerque, NM 87102"
"$619,900",3 beds,3 beds,854,"9204 Palm Yucca Dr NE, Albuquerque, NM 87113"
"$289,900",2 beds,2 beds,"6,534","9218 Aztec Rd NE, Albuquerque, NM 87111"
