price,rooms,baths,square_feet,address
"$465,000",3 beds,3 beds,"1,744","3137 Rockaway Rd, Atlanta, GA 30341"
"$232,000",2 beds,2 beds,0.60,"1235 Eastridge Rd SW, Atlanta, GA 30311"
"$1,150,000",9 beds,9 beds,"1,898","1498 Murphy Ave SW, Atlanta, GA 30310"
"$324,900",1 bed,1 bed,0.35,"1072 Piedmont Ave NE #108, Atlanta, GA 30309"
"$269,900",3 beds,3 beds,—,"3454 Carriage Chase Rd, Atlanta, GA 30349"
"$289,900",3 beds,3 beds,"5,000","2717 Rockcliff Rd SE, Atlanta, GA 30316"
"$297,000",2 beds,2 beds,"1,002","4046 W Johnson Cir, Chamblee, GA 30341"
"$259,900",3 beds,3 beds,"1,603","285 Howell Ter SW, Atlanta, GA 30331"
"$665,000",5 beds,5 beds,"4,399","5908 Cliftondale Dr, Atlanta, GA 30349"
"$549,000",1 bed,1 bed,"1,403","3180 Mathieson Dr NE #809, Atlanta, GA 30305"
"$699,000",— beds,— beds,1.40,"3059 Nottaway Ct, Atlanta, GA 30341"
"$825,000",5 beds,5 beds,982,"4686 Brinkley Ln, Atlanta, GA 30342"
"$895,000",4 beds,4 beds,0.30,"163 Atlanta Ave, Atlanta, GA 30315"
"$5,250,000",7 beds,7 beds,"1,952","3784 N Stratford Rd, Atlanta, GA 30342"
"$729,000",3 beds,3 beds,0.24,"3141 Havenridge Ct NE, Brookhaven, GA 30319"
"$215,000",2 beds,2 beds,"6,858","5498 Glen Haven Dr, Atlanta, GA 30349"
"$599,900",3 beds,3 beds,0.41,"2199 Lenox Rd NE #21, Atlanta, GA 30324"
"$1,200,000",4 beds,4 beds,"1,291","1099 North Ave NE #8, Atlanta, GA 30307"
"$215,000",3 beds,3 beds,—,"812 Amber Pl NW, Atlanta, GA 30331"
"$280,000",2 beds,2 beds,0.40,"6980 Roswell Rd Unit B6, Atlanta, GA 30328"
"$895,000",4 beds,4 beds,"2,148","163 Atlanta Ave SE, Atlanta, GA 30315"
"$239,900",2 beds,2 beds,0.52,"524 Northridge Crossing Dr, Atlanta, GA 30350"
"$2,160,000",5 beds,5 beds,—,"1285 Wesley Pl NW, Atlanta, GA 30327"
"$820,000",5 beds,5 beds,"9,583","2199 Collins Ridge Dr NW, Atlanta, GA 30318"
"$995,000",3 beds,3 beds,"8,347","2575 Peachtree Rd NW Unit 25G-H, Atlanta, GA 30305"
"$750,000",4 beds,4 beds,0.74,"235 Stone Mill Trl, Sandy Springs, GA 30328"
"$699,000",4 beds,4 beds,"1,680","1805 Falling Sky Ct NE, Brookhaven, GA 30319"
"$490,000",2 beds,2 beds,"4,356","855 Peachtree St NE #1409, Atlanta, GA 30308"
"$2,250,000",4 beds,4 beds,"1,028","106 Sheridan Dr, Atlanta, GA 30305"
"$3,595,000",3 beds,3 beds,"6,098","2820 Andrews Dr, Atlanta, GA 30305"
"$437,501",2 beds,2 beds,"1,603","138 Kirkwood Rd NE #3, Atlanta, GA 30317"
"$330,000",2 beds,2 beds,435,"390 17th St NW #4048, Atlanta, GA 30363"
"$239,900",1 bed,1 bed,"2,719","800 Peachtree St NE #8406, Atlanta, GA 30308"
"$799,000",3 beds,3 beds,"1,306","255 Beachland Dr, Atlanta, GA 30342"
"$365,000",2 beds,2 beds,825,"272 14th St #23, Atlanta, GA 30309"
"$559,900",5 beds,5 beds,"9,104","3150 Esplanade Cir SW, Atlanta, GA 30311"
"$1,975,000",6 beds,6 beds,"1,228","2380 B Greenglade Rd NE, Atlanta, GA 30345"
"$675,000",3 beds,3 beds,—,"3021 Margaret Mitchell Dr #8, Atlanta, GA 30327"
"$420,000",3 beds,3 beds,"9,583","3150 Laventure Dr, Atlanta, GA 30341"
"$260,000",4 beds,4 beds,"1,380","3141 Delmar Ln NW, Atlanta, GA 30311"
"$319,000",8 beds,8 beds,—,"5235 Louis Xiv Ln, Atlanta, GA 30349"
"$285,000",3 beds,3 beds,0.28,"1407 Kennesaw Dr NW, Atlanta, GA 30318"
"$430,000",2 beds,2 beds,989,"15 Ivy Sq NE, Atlanta, GA 30342"
"$1,850,000",5 beds,5 beds,0.32,"3057 Woodrow Way NE, Brookhaven, GA 30319"
"$739,900",5 beds,5 beds,"1,798","3614 Castaway Ct, Atlanta, GA 30341"
"$399,000",5 beds,5 beds,"5,426","3412 Elmtree Dr SW, Atlanta, GA 30311"
"$222,000",1 bed,1 bed,0.40,"209 Triumph Dr NW #209, Atlanta, GA 30327"
"$659,900",3 beds,3 beds,"3,359","2095 Adams Dr, Atlanta, GA 30318"
"$400,000",3 beds,3 beds,0.50,"3177 Friar Tuck Way, Doraville, GA 30340"
"$840,000",6 beds,6 beds,"3,259","3776 Lynarbor Ln, Atlanta, GA 30349"
"$349,000",4 beds,4 beds,0.43,"1603 Abner Ter NW, Atlanta, GA 30318"
"$599,900",4 beds,4 beds,812,"5427 Wentworth St, Sandy Springs, GA 30342"
"$450,000",2 beds,2 beds,"2,774","3324 Peachtree Rd NE #1005, Atlanta, GA 30326"
"$1,150,000",4 beds,4 beds,"4,835","2979 Sequoyah Dr NW, Atlanta, GA 30327"
"$310,000",2 beds,2 beds,"1,539","152 Maribeau Sq NW, Atlanta, GA 30327"
"$1,599,000",5 beds,5 beds,0.40,"3322 Pinestream Rd NW, Atlanta, GA 30327"
"$700,000",3 beds,3 beds,"6,879","2537 Cove Cir NE, Brookhaven, GA 30319"
"$685,000",4 beds,4 beds,0.65,"1380 Live Oak Ln, Brookhaven, GA 30319"
"$350,000",3 beds,3 beds,"2,460","1553 NW Ezra Church Dr NW, Atlanta, GA 30314"
"$461,900",3 beds,3 beds,"8,450","1604 Aeslin Dr NW #137, Atlanta, GA 30318"
"$479,000",2 beds,2 beds,"2,722","1107 Riverbend Club Dr SE, Atlanta, GA 30339"
"$402,530",4 beds,4 beds,"2,722","3637 Beaconfield Ct SE, Atlanta, GA 30354"
"$402,530",4 beds,4 beds,"1,238","3637 Beaconfield Ct SE Unit BELHAVEN BSMT/109, Atlanta, GA 30354"
"$399,000",3 beds,3 beds,"3,961","1921 Grandview SE, Atlanta, GA 30316"
"$525,000",3 beds,3 beds,0.51,"1480 Everhart St, Atlanta, GA 30310"
"$620,000",4 beds,4 beds,"1,300","50 Ormond St SW, Atlanta, GA 30315"
"$299,000",3 beds,3 beds,"1,263","115 N River Dr Unit A, Sandy Springs, GA 30350"
"$340,000",2 beds,2 beds,"4,309","1003 Masons Creek Cir #1003, Atlanta, GA 30350"
