price,rooms,baths,square_feet,address
"$649,500",2 beds,2 beds,"1,034","2901 Glen Rae St Unit B, Austin, TX 78702"
"$459,000",3 beds,3 beds,"1,720","11311 Culzean Castle Dr, Austin, TX 78717"
"$499,000",2 beds,2 beds,784,"5710 Chesterfield Ave, Austin, TX 78752"
"$559,000",3 beds,3 beds,"7,418","255 Harris Dr, Austin, TX 78737"
"$1,000,000",6 beds,6 beds,"1,963","9507 Capitol View Dr, Austin, TX 78747"
"$980,000",5 beds,5 beds,"8,102","5201 Cornflower Dr, Austin, TX 78739"
"$825,000",3 beds,3 beds,"2,175","1301 Town Creek Dr #3, Austin, TX 78741"
"$370,000",3 beds,3 beds,2.37,"8508 Birmingham Dr, Austin, TX 78748"
"$7,395,000",5 beds,5 beds,"3,141","703 Loma Linda Dr, Austin, TX 78746"
"$459,900",3 beds,3 beds,"6,751","5400 Baythorne Dr Unit A (95), Austin, TX 78747"
"$545,000",4 beds,4 beds,"2,528","13118 Tamayo Dr, Austin, TX 78729"
"$1,625,000",4 beds,4 beds,"1,250","6007 Front Royal Dr, Austin, TX 78746"
"$1,175,000",4 beds,4 beds,"1,176","4300 Mountain Path Dr, Austin, TX 78759"
"$1,599,000",5 beds,5 beds,"6,926","14302 Fallen Timber Dr, Austin, TX 78734"
"$549,500",3 beds,3 beds,"6,055","2101 Montopolis Dr #22, Austin, TX 78741"
"$603,087",4 beds,4 beds,0.76,"7918 Little Deer Xing, Austin, TX 78736"
"$5,900,000",5 beds,5 beds,"1,851","3407 Northwood Cir, Austin, TX 78703"
"$448,000",2 beds,2 beds,"2,295","8701 Escarpment Blvd #74, Austin, TX 78749"
"$772,000",4 beds,4 beds,"6,324","12013 Portobella Dr, Austin, TX 78732"
"$405,000",3 beds,3 beds,"2,848","10816 Blacket Dr, Austin, TX 78747"
"$2,395,000",5 beds,5 beds,0.25,"1321 Wilderness Dr, Austin, TX 78746"
"$1,900,000",3 beds,3 beds,"2,362","1205 Norwalk Ln Unit D, Austin, TX 78703"
"$635,000",2 beds,2 beds,0.29,"16912 S Ridge Ln, Austin, TX 78734"
"$650,000",3 beds,3 beds,"3,659","106 W Croslin St Unit B, Austin, TX 78752"
"$800,000",4 beds,4 beds,2.43,"106 W Croslin St Unit A, Austin, TX 78752"
"$121,000",3 beds,3 beds,"1,500","2512 Sunny Hls #27, Austin, TX 78744"
"$432,000",2 beds,2 beds,"3,192","4307 Hank Ave, Austin, TX 78745"
"$445,000",4 beds,4 beds,"2,245","804 Durness Dr, Pflugerville, TX 78660"
"$715,000",3 beds,3 beds,"6,516","5505 Oakwood Cv Unit B, Austin, TX 78731"
"$850,000",4 beds,4 beds,"4,659","11730 D K Ranch Rd, Austin, TX 78759"
"$344,000",2 beds,2 beds,0.64,"1101 E Parmer Ln #219, Austin, TX 78753"
"$1,795,000",2 beds,2 beds,"1,407","200 Congress Ave Unit 12E, Austin, TX 78701"
"$650,000",4 beds,4 beds,"2,908","3200 Dancy St, Austin, TX 78722"
"$841,145",3 beds,3 beds,0.27,"3127 Schutze St, Austin, TX 78723"
"$788,380",3 beds,3 beds,"1,848","3123 Schutze St, Austin, TX 78723"
"$625,000",5 beds,5 beds,"4,791","1915 Hearthside Dr, Austin, TX 78757"
"$515,000",1 bed,1 bed,"3,106","54 Rainey St #1020, Austin, TX 78701"
"$465,000",2 beds,2 beds,0.27,"406 Normandy St, Austin, TX 78745"
"$235,000",2 beds,2 beds,"2,747","1705 Crossing Pl Unit 104 A, Austin, TX 78741"
"$1,550,000",5 beds,5 beds,"1,467","4213 Gnarl Dr, Austin, TX 78731"
"$615,000",3 beds,3 beds,"2,257","7411 Fireoak Dr, Austin, TX 78759"
"$495,000",3 beds,3 beds,"8,524","4618 Englewood Dr, Austin, TX 78745"
"$440,000",1 bed,1 bed,936,"1403 Minnie Dr, Austin, TX 78732"
"$299,900",1 bed,1 bed,"7,274","4801 Springdale Rd #1301, Austin, TX 78723"
"$310,000",2 beds,2 beds,704,"1510 W North Loop Blvd #433, Austin, TX 78756"
"$597,800",3 beds,3 beds,0.30,"3000 Michoacan Dr, Del Valle, TX 78617"
"$549,900",3 beds,3 beds,698,"8027 Scotland Yard, Austin, TX 78759"
"$1,050,000",4 beds,4 beds,"1,014","4313 Flameleaf Sumac Dr, Austin, TX 78738"
"$3,998,000",5 beds,5 beds,"1,020","3208 Rain Dance Cv, Austin, TX 78746"
"$1,150,000",3 beds,3 beds,0.56,"1318 Newning Ave Unit A, Austin, TX 78704"
"$530,000",1 bed,1 bed,"1,646","1206 Hollow Creek Dr #1, Austin, TX 78704"
"$1,475,000",5 beds,5 beds,"8,015","4202 North Hills Dr, Austin, TX 78731"
"$425,000",3 beds,3 beds,"2,853","15517 Gustine Cv, Austin, TX 78717"
"$575,000",2 beds,2 beds,0.39,"4115 Ridgeline Dr, Austin, TX 78731"
"$549,900",3 beds,3 beds,"7,588","2513 Monarch Dr, Austin, TX 78748"
"$999,000",5 beds,5 beds,0.78,"1302 Olympus Dr, Austin, TX 78733"
"$650,000",3 beds,3 beds,"2,299","6609 Krollton Dr, Austin, TX 78745"
"$1,325,000",4 beds,4 beds,"1,056","9263 Scenic Bluff Dr, Austin, TX 78733"
"$779,000",2 beds,2 beds,"7,701","8110 Ranch Road 2222 #68, Austin, TX 78730"
"$545,000",3 beds,3 beds,"4,400","10724 Kilkee Cv, Austin, TX 78717"
"$610,000",3 beds,3 beds,0.26,"1417 Kramer Ln #25, Austin, TX 78758"
"$339,000",3 beds,3 beds,"1,793","Undisclosed address, Austin, TX 78753"
"$1,050,000",3 beds,3 beds,"7,823","406 Cherry Hill Dr, Austin, TX 78704"
"$799,000",2 beds,2 beds,"1,358","Undisclosed address, Austin, TX 78704"
"$475,000",4 beds,4 beds,"5,201","1208 Warrington Dr, Austin, TX 78753"
"$795,000",2 beds,2 beds,"1,975","1701 Alcove Ct, Austin, TX 78757"
"$2,395,000",4 beds,4 beds,"6,141","200 Westhaven Dr, West Lake Hills, TX 78746"
"$589,000",3 beds,3 beds,"3,127","11908 Swan Dr, Austin, TX 78750"
"$599,000",3 beds,3 beds,0.33,"5251 Meadow Creek Dr, Austin, TX 78745"
"$450,000",2 beds,2 beds,"1,824","1711 Crown Dr, Austin, TX 78745"
"$679,000",2 beds,2 beds,"6,316","1606 E M Franklin Ave #2, Austin, TX 78721"
"$579,000",3 beds,3 beds,"3,675","5900 Shanghai Pierce Rd, Austin, TX 78749"
"$1,095,000",2 beds,2 beds,0.33,"2010 S 2nd St, Austin, TX 78704"
"$849,900",4 beds,4 beds,"1,823","14412 Cochise Trl, Austin, TX 78734"
