price,rooms,baths,square_feet,address
"$190,000",4 beds,4 beds,"1,280","6 N Bernice Ave, Baltimore, MD 21229"
"$245,000",3 beds,3 beds,"1,699","2932 E Fayette St, Baltimore, MD 21224"
"$284,900",2 beds,2 beds,"1,284","2028 Eastern Ave, Baltimore, MD 21231"
"$79,000",4 beds,4 beds,435,"2726 E Monument St, Baltimore, MD 21205"
"$117,000",3 beds,3 beds,"1,280","328 N Calhoun St, Baltimore, MD 21223"
"$90,000",3 beds,3 beds,"1,306","916 Gorsuch Ave, Baltimore, MD 21218"
"$405,000",2 beds,2 beds,—,"1031 S Bouldin St, Baltimore, MD 21224"
"$305,000",3 beds,3 beds,871,"3220 E Baltimore St, Baltimore, MD 21224"
"$459,900",2 beds,2 beds,"1,380","250 President St #710, Baltimore, MD 21202"
"$175,000",3 beds,3 beds,"4,175","5313 Cordelia Ave, Baltimore, MD 21215"
"$150,000",3 beds,3 beds,"1,770","3014 Clifton Park Ter, Baltimore, MD 21213"
"$359,900",4 beds,4 beds,923,"2821 Baneberry Ct, Baltimore, MD 21209"
"$140,000",3 beds,3 beds,"1,409","2934 Clifton Park Ter, Baltimore, MD 21213"
"$130,000",4 beds,4 beds,"1,488","2908 Clifton Park Ter, Baltimore, MD 21213"
"$160,000",3 beds,3 beds,"1,288","2822 Clifton Park Ter, Baltimore, MD 21213"
"$160,000",3 beds,3 beds,"1,306","2808 Clifton Park Ter, Baltimore, MD 21213"
"$10,000",0 beds,0 beds,"1,344","2836 Presbury St, Baltimore, MD 21216"
"$125,000",2 beds,2 beds,"1,461","1607 Ramsay St, Baltimore, MD 21223"
"$175,000",2 beds,2 beds,"1,605","21 W Barney St, Baltimore, MD 21230"
"$125,000",2 beds,2 beds,"1,344","22 N Ellamont St, Baltimore, MD 21229"
"$299,900",3 beds,3 beds,"1,372","5411 Willowmere Way, Baltimore, MD 21212"
"$70,000",3 beds,3 beds,"1,344","1822 N Broadway, Baltimore, MD 21213"
"$260,000",2 beds,2 beds,"1,616","1934 Bank St, Baltimore, MD 21231"
"$455,000",3 beds,3 beds,"1,680","1246 William St, Baltimore, MD 21230"
"$175,000",3 beds,3 beds,"1,307","904 N Broadway, Baltimore, MD 21205"
"$40,000",2 beds,2 beds,"1,344","1817 Ramsay St, Baltimore, MD 21223"
"$55,000",2 beds,2 beds,—,"613 Archer St, Baltimore, MD 21230"
"$19,900",3 beds,3 beds,—,"5 Wheeler Ave, Baltimore, MD 21223"
"$422,900",3 beds,3 beds,"1,040","1646 S Charles St, Baltimore, MD 21230"
"$65,000",3 beds,3 beds,959,"1122 Myrtle Ave, Baltimore, MD 21201"
"$15,000",2 beds,2 beds,672,"1812 Ramsay St, Baltimore, MD 21223"
"$295,000",2 beds,2 beds,972,"2635 Hudson St, Baltimore, MD 21224"
"$199,000",3 beds,3 beds,972,"7845 Gough St, Baltimore, MD 21224"
"$589,900",4 beds,4 beds,"1,520","1829 S Hanover St, Baltimore, MD 21230"
"$270,000",4 beds,4 beds,180,"737 Linnard St, Baltimore, MD 21229"
"$10,000",2 beds,2 beds,"1,368","2218 Christian St, Baltimore, MD 21223"
"$289,000",3 beds,3 beds,"2,206","3203 Rosekemp Ave, Baltimore, MD 21214"
"$225,000",2 beds,2 beds,"1,148","1520 Cox St, Baltimore, MD 21211"
"$450,000",— beds,— beds,"1,060","3712 Parkside Dr, Baltimore, MD 21206"
"$25,000",4 beds,4 beds,723,"1739 Mckean Ave, Baltimore, MD 21217"
"$75,000",2 beds,2 beds,"1,410","2050 Linden Ave Unit B, Baltimore, MD 21217"
"$174,900",3 beds,3 beds,"1,305","3241 Pelham Ave, Baltimore, MD 21213"
"$103,000",3 beds,3 beds,871,"1708 E 31st St, Baltimore, MD 21218"
"$360,000",2 beds,2 beds,"1,280","3420 Keswick Rd, Baltimore, MD 21211"
"$299,900",3 beds,3 beds,"1,900","2903 Westfield Ave, Baltimore, MD 21214"
"$159,999",3 beds,3 beds,"1,455","3801 W Overlea Ave, Baltimore, MD 21206"
"$295,000",3 beds,3 beds,"2,200","1018 Boyd St, Baltimore, MD 21223"
"$299,000",1 bed,1 bed,"1,840","850 Aliceanna St #302, Baltimore, MD 21202"
"$740,000",12 beds,12 beds,"6,499","3333 Alto Rd, Baltimore, MD 21216"
"$350,000",5 beds,5 beds,"1,125","5207 Putney Way, Baltimore, MD 21212"
"$315,000",2 beds,2 beds,"7,248","1035 S Hanover St, Baltimore, MD 21230"
"$129,900",3 beds,3 beds,"1,500","1012 N Central Ave, Baltimore, MD 21202"
"$58,000",2 beds,2 beds,984,"423 Annabel Ave, Brooklyn, MD 21225"
"$299,900",3 beds,3 beds,"5,124","5210 Catalpha Rd, Baltimore, MD 21214"
"$339,999",4 beds,4 beds,"4,103","2806 Hemlock Ave, Baltimore, MD 21214"
"$459,900",4 beds,4 beds,"2,258","2324 E Fairmount Ave, Baltimore, MD 21224"
"$479,900",3 beds,3 beds,0.27,"805 S Milton Ave, Baltimore, MD 21224"
"$899,000",5 beds,5 beds,"1,568","2309 Blackberry Rd, Baltimore, MD 21209"
"$195,000",4 beds,4 beds,"1,736","6113 Macbeth Dr, Baltimore, MD 21239"
"$234,900",2 beds,2 beds,"1,024","911 S Charles St #207, Baltimore, MD 21230"
"$485,000",2 beds,2 beds,880,"3037 Dillon St, Baltimore, MD 21224"
"$479,000",4 beds,4 beds,"2,000","700 E Lake Ave, Baltimore, MD 21212"
"$329,000",2 beds,2 beds,"2,040","611 S Glover St, Baltimore, MD 21224"
"$250,000",— beds,— beds,"6,250","2513 Liberty Heights Ave, Baltimore, MD 21215"
"$315,000",4 beds,4 beds,"2,225","4906 Gilray Dr, Baltimore, MD 21214"
"$229,500",3 beds,3 beds,"6,499","3315 Lerch Dr, Baltimore, MD 21214"
"$795,000",6 beds,6 beds,"2,617","3410 Olympia Ave, Baltimore, MD 21215"
"$515,000",6 beds,6 beds,"1,560","3832 Sequoia Ave, Baltimore, MD 21215"
"$240,000",2 beds,2 beds,"4,515","3041 Fallstaff Rd Unit 602D, Baltimore, MD 21209"
"$198,765",3 beds,3 beds,"7,361","2355 Nutmeg Ter, Baltimore, MD 21209"
"$109,900",3 beds,3 beds,"1,796","4010 Penhurst Ave, Baltimore, MD 21215"
