price,rooms,baths,square_feet,address
"$1,195,000",3 beds,3 beds,"1,700","58 Dustin St #2, Brighton, MA 02135"
"$514,900",1 bed,1 bed,"3,430","101 Prince St #2, Boston, MA 02113"
"$1,200,000",4 beds,4 beds,525,"35 Brighton St, Boston, MA 02129"
"$805,000",2 beds,2 beds,"2,226","214 Market St #407, Boston, MA 02135"
"$695,000",3 beds,3 beds,"1,325","213 E Eagle St #7, Boston, MA 02128"
"$599,000",4 beds,4 beds,910,"212 Princeton St #1, Boston, MA 02128"
"$2,475,000",1 bed,1 bed,"1,110","240 Devonshire St #4304, Boston, MA 02110"
"$4,695,000",2 beds,2 beds,"1,502","240 Devonshire St #4301, Boston, MA 02110"
"$2,475,000",2 beds,2 beds,"1,330","240 Devonshire St #4814, Boston, MA 02110"
"$1,050,000",2 beds,2 beds,"2,190","20 Chapel St Unit B607, Brookline, MA 02446"
"$399,999",2 beds,2 beds,"1,258","361 Faneuil St #4, Boston, MA 02135"
"$685,000",2 beds,2 beds,992,"10 Taber St #207, Boston, MA 02119"
"$529,000",1 bed,1 bed,755,"16 Taber St #304, Boston, MA 02119"
"$533,000",1 bed,1 bed,935,"16 Taber St #504, Boston, MA 02119"
"$745,000",2 beds,2 beds,679,"16 Taber St #501, Boston, MA 02119"
"$739,000",2 beds,2 beds,679,"10 Taber St #401, Boston, MA 02119"
"$629,900",3 beds,3 beds,999,"109 Ellington St #3, Boston, MA 02121"
"$680,000",4 beds,4 beds,999,"29 Mount Pleasant St, Somerville, MA 02145"
"$779,900",3 beds,3 beds,"1,247","32 Mill St #1, Boston, MA 02122"
"$720,000",1 bed,1 bed,"1,319","191 Washington St #505, Boston, MA 02135"
"$1,350,000",7 beds,7 beds,"1,742","26-28 Newton St, Boston, MA 02135"
"$749,000",2 beds,2 beds,"1,950","1644 Dorchester Ave Unit D, Boston, MA 02122"
"$1,845,000",8 beds,8 beds,619,"240 Parker Hill Ave, Boston, MA 02120"
"$825,000",2 beds,2 beds,"3,820","39 Cottage St #1, Boston, MA 02128"
"$2,195,000",3 beds,3 beds,"5,279","580 Washington St Ph 5, Boston, MA 02111"
"$895,000",2 beds,2 beds,"1,089","20 Chapel St Unit B304, Brookline, MA 02445"
"$859,000",2 beds,2 beds,"2,851","20 Penniman Rd #206, Boston, MA 02134"
"$479,900",2 beds,2 beds,"3,725","111 Perkins #293, Boston, MA 02130"
"$1,400,000",4 beds,4 beds,"1,400","4 Cottage St, Boston, MA 02128"
"$1,650,000",2 beds,2 beds,"1,502","180 Beacon St Unit 7B, Boston, MA 02116"
"$1,200,000",5 beds,5 beds,897,"103-105 Saybrook St, Boston, MA 02135"
"$899,999",3 beds,3 beds,971,"7 Baker Ct #6, Boston, MA 02125"
"$700,000",3 beds,3 beds,"1,134","22 Draper St, Boston, MA 02122"
"$1,350,000",9 beds,9 beds,"3,360","44 Speedwell St, Boston, MA 02122"
"$799,000",2 beds,2 beds,"1,200","330 Dorchester St #2, Boston, MA 02127"
"$959,000",2 beds,2 beds,"1,293","19 Worcester St #2, Boston, MA 02118"
"$1,600,000",12 beds,12 beds,"1,920","35 Ellington St, Boston, MA 02121"
"$649,000",2 beds,2 beds,"5,168","566 Commonwealth Ave #706, Boston, MA 02215"
"$1,350,000",4 beds,4 beds,"1,555","4 Melville Ave #1, Boston, MA 02124"
"$623,000",1 bed,1 bed,"1,330","1241-1255 Adams Unit WM108, Boston, MA 02124"
"$819,000",2 beds,2 beds,"1,317","9 Hawthorne Pl Unit 16D, Boston, MA 02114"
"$1,200,000",4 beds,4 beds,"1,782","24 Telegraph St, Boston, MA 02127"
"$2,650,000",5 beds,5 beds,"1,633","19 Gray St, Boston, MA 02116"
"$639,900",3 beds,3 beds,"2,105","37 Park Vale Ave #5, Boston, MA 02134"
"$1,500,000",2 beds,2 beds,2.30,"32-34 Hancock Unit 3-B, Boston, MA 02114"
"$2,199,000",2 beds,2 beds,"1,190","1 Franklin St #3110, Boston, MA 02110"
"$12,000,000",4 beds,4 beds,"1,100","975 Memorial Dr #1008, Cambridge, MA 02138"
"$759,000",3 beds,3 beds,"1,281","225 Havre St #4, Boston, MA 02128"
"$1,250,000",2 beds,2 beds,"3,894","416 Marlborough St #101, Boston, MA 02115"
"$1,375,000",3 beds,3 beds,"1,246","63 Etna St #2, Boston, MA 02135"
"$799,000",5 beds,5 beds,"1,024","60 Taunton Ave, Boston, MA 02136"
"$624,900",2 beds,2 beds,"1,719","1038 Beacon St Unit A, Brookline, MA 02445"
