price,rooms,baths,square_feet,address
"$324,900",4 beds,4 beds,"1,625","2724 Mulberry Pond Dr, Charlotte, NC 28208"
"$615,000",3 beds,3 beds,"6,098","3816 Sussex Ave, Charlotte, NC 28210"
"$879,000",5 beds,5 beds,"1,424","4227 Craig Ave, Charlotte, NC 28211"
"$3,190,000",6 beds,6 beds,0.35,"2008 Kenmere Ln, Charlotte, NC 28270"
"$415,000",— beds,— beds,"2,770","2609 Pickway Dr, Charlotte, NC 28269"
"$344,990",3 beds,3 beds,"8,712","5038 Springarn Ct Unit 2010D, Charlotte, NC 28208"
"$369,155",4 beds,4 beds,"7,474","2317 Silver Creek Rd #0072, Charlotte, NC 28214"
"$869,075",4 beds,4 beds,0.56,"12217 Hollinhope Dr #68, Charlotte, NC 28278"
"$218,000",2 beds,2 beds,"1,848","2501 Kilborne Dr Unit F, Charlotte, NC 28205"
"$285,000",3 beds,3 beds,0.36,"2721 Lasalle St, Charlotte, NC 28216"
"$599,000",3 beds,3 beds,"1,715","3216 Kempton Pl, Charlotte, NC 28208"
"$725,000",3 beds,3 beds,"1,742","5738 Ballinard Ln, Charlotte, NC 28277"
"$160,000",1 bed,1 bed,"1,660","7111 Quail Meadow Ln, Charlotte, NC 28210"
"$460,000",4 beds,4 beds,"4,791","6400 Vernedale Rd, Charlotte, NC 28212"
"$390,000",3 beds,3 beds,"3,573","6008 Mallard Dr, Charlotte, NC 28227"
"$339,500",1 bed,1 bed,"8,712","115 E Park Ave #309, Charlotte, NC 28203"
"$2,450,000",5 beds,5 beds,"1,028","741 Ideal Way, Charlotte, NC 28203"
"$706,693",3 beds,3 beds,"1,128","4004 Easton Ridge Ln Unit 13B, Charlotte, NC 28226"
"$650,000",3 beds,3 beds,"7,405","4820 Blanchard Way, Charlotte, NC 28226"
"$499,999",4 beds,4 beds,"1,375","9025 Pleasant Ridge Rd, Charlotte, NC 28215"
"$325,000",3 beds,3 beds,0.28,"8328 Houndstooth Dr, Charlotte, NC 28227"
"$750,000",4 beds,4 beds,"2,654","7209 Prescott Pond Ln, Charlotte, NC 28270"
"$197,750",1 bed,1 bed,713,"5903 Quail Hollow Rd, Charlotte, NC 28210"
"$349,900",3 beds,3 beds,"1,777","7742 Jackson Pond Dr, Charlotte, NC 28273"
"$489,900",4 beds,4 beds,1.07,"14031 Wooden Snow Trce #89, Charlotte, NC 28278"
"$484,900",2 beds,2 beds,"1,916","5101 Elder Ave, Charlotte, NC 28205"
"$435,000",4 beds,4 beds,0.51,"8603 Ballard Hills Ct, Charlotte, NC 28215"
"$449,900",4 beds,4 beds,678,"905 Munday Ct, Charlotte, NC 28270"
"$549,000",3 beds,3 beds,"4,430","12033 Grey Partridge Dr, Charlotte, NC 28278"
"$1,300,000",5 beds,5 beds,0.24,"8021 Tosomock Ln, Huntersville, NC 28078"
