price,rooms,baths,square_feet,address
"$490,000",3 beds,3 beds,"2,827","5145 Redleaf Ln, Colorado Springs, CO 80919"
"$1,149,000",5 beds,5 beds,"3,040","1055 Broadview Pl, Colorado Springs, CO 80904"
"$535,000",5 beds,5 beds,"4,503","9928 Tomcat Way, Colorado Springs, CO 80925"
"$300,000",3 beds,3 beds,2.78,"129 Norman Dr, Colorado Springs, CO 80911"
"$600,000",4 beds,4 beds,"3,120","883 Redemption Pt, Colorado Springs, CO 80905"
"$459,000",3 beds,3 beds,"7,101","226 Luxury Ln, Colorado Springs, CO 80921"
"$742,600",4 beds,4 beds,"1,373","8592 Noreen Falls Dr, Colorado Springs, CO 80924"
"$679,000",6 beds,6 beds,"8,400","5512 Saddle Rock Trl, Colorado Springs, CO 80918"
"$699,900",4 beds,4 beds,"2,603","6153 Radiant Sky Ln, Colorado Springs, CO 80924"
"$600,000",3 beds,3 beds,"3,574","4395 Leprechaun Ln, Colorado Springs, CO 80908"
"$410,000",4 beds,4 beds,"2,670","2895 El Capitan Dr, Colorado Springs, CO 80918"
"$295,000",2 beds,2 beds,"3,793","1633 Monterey Rd #A, Colorado Springs, CO 80910"
"$500,000",3 beds,3 beds,"7,131","2651 Haystack Dr, Colorado Springs, CO 80922"
"$315,000",3 beds,3 beds,"4,243","3835 Strawberry Field Grv Unit F, Colorado Springs, CO 80906"
"$1,750,000",5 beds,5 beds,0.31,"7598 Culloden Ct, Colorado Springs, CO 80908"
"$315,000",3 beds,3 beds,"3,556","3835 Strawberry Field Grv, Colorado Springs, CO 80906"
"$1,650,000",5 beds,5 beds,"7,425","11763 Rambling Rd, Colorado Springs, CO 80908"
"$450,000",5 beds,5 beds,"1,078","3151 Westcliff Dr, Colorado Springs, CO 80906"
"$2,500,000",5 beds,5 beds,10.00,"17555 Bar X Rd, Colorado Springs, CO 80908"
"$372,000",3 beds,3 beds,"1,653","2070 Palm Dr, Colorado Springs, CO 80918"
"$600,000",4 beds,4 beds,"7,800","3820 Cottage Dr, Colorado Springs, CO 80920"
"$300,000",3 beds,3 beds,"1,341","1617 Rosemont Dr, Colorado Springs, CO 80911"
"$500,000",2 beds,2 beds,"2,652","2416 N Wahsatch Ave, Colorado Springs, CO 80907"
"$1,100,000",3 beds,3 beds,"6,820","4390 Tierra Rojo Dr, Colorado Springs, CO 80926"
"$2,400,000",5 beds,5 beds,"1,265","351 Bergamo Way, Colorado Springs, CO 80906"
"$674,900",5 beds,5 beds,871,"6735 Windom Peak Blvd, Colorado Springs, CO 80923"
"$624,900",6 beds,6 beds,"4,745","8157 Misty Moon Dr, Colorado Springs, CO 80924"
"$499,900",3 beds,3 beds,2.60,"8395 Commanche Rd, Colorado Springs, CO 80926"
