price,rooms,baths,square_feet,address
"$279,000",2 beds,2 beds,"1,380","8287 Annandale Ln, Columbus, OH 43235"
"$314,900",2 beds,2 beds,"1,510","300 Sycamore Woods Ln, Columbus, OH 43230"
"$325,000",3 beds,3 beds,"1,880","2555 Youngs Grove Rd, Columbus, OH 43231"
"$495,000",4 beds,4 beds,0.28,"5905 Litchfield Rd, Columbus, OH 43235"
"$349,000",3 beds,3 beds,"2,598","2390 Indianola Ave, Columbus, OH 43202"
"$948,000",2 beds,2 beds,0.28,"1 Miranova Pl #725, Columbus, OH 43215"
"$449,900",3 beds,3 beds,"1,687","728 Garrett Dr, Columbus, OH 43214"
"$250,000",6 beds,6 beds,"3,920","3010-3012 Rotunda Ct S, Columbus, OH 43232"
"$279,900",3 beds,3 beds,"2,440","1280 Saling Dr, Columbus, OH 43229"
"$369,000",2 beds,2 beds,"2,096","1233 Holly Ave, Columbus, OH 43212"
"$229,000",2 beds,2 beds,0.26,"4819 Middletowne St Unit 24-481, Columbus, OH 43214"
"$495,000",4 beds,4 beds,"2,294","368 Miller Ave, Columbus, OH 43205"
"$275,000",3 beds,3 beds,0.31,"595 Hedgebrooke Ave Unit C, Columbus, OH 43214"
"$385,000",3 beds,3 beds,"1,330","5211 Hickory Grv, Columbus, OH 43214"
"$356,000",3 beds,3 beds,"9,147","7469 Autumn Joy Ave, Canal Winchester, OH 43110"
"$185,000",3 beds,3 beds,974,"1092 Kelton Ave, Columbus, OH 43206"
"$295,000",3 beds,3 beds,"4,356","3867 Bernard Pl, Columbus, OH 43224"
"$470,000",4 beds,4 beds,"1,524","768 Hardtack Ct, Columbus, OH 43230"
"$350,000",3 beds,3 beds,"1,836","1064 Garey Valley Ave, Blacklick, OH 43004"
"$250,000",4 beds,4 beds,"1,742","6450 Strathaven Ct E Unit 2C, Worthington, OH 43085"
"$635,000",4 beds,4 beds,"1,688","6727 Elmers Ct, Columbus, OH 43085"
"$429,900",4 beds,4 beds,"1,420","4256 Heather Louise Ct, Grove City, OH 43123"
"$469,900",4 beds,4 beds,0.24,"3254 Grey Fox Drive Dr, Columbus, OH 43230"
"$119,499",2 beds,2 beds,"2,256","2752 Azelda St, Columbus, OH 43211"
"$299,900",4 beds,4 beds,"6,098","497 Thurman Ave, Columbus, OH 43206"
"$259,000",4 beds,4 beds,"1,466","205 S Ashburton Rd, Columbus, OH 43213"
"$218,000",3 beds,3 beds,"5,227","4135 Jonquil St, Columbus, OH 43224"
"$899,900",4 beds,4 beds,"1,610","1869 Tewksbury Rd, Columbus, OH 43221"
"$635,000",4 beds,4 beds,0.23,"880 Ludwig Dr, Columbus, OH 43230"
"$429,900",4 beds,4 beds,"2,803","2598 Pennbrook Ct, Hilliard, OH 43026"
"$415,000",5 beds,5 beds,0.27,"5040 New Haven Dr, Columbus, OH 43220"
"$525,000",4 beds,4 beds,"2,294","5725 Pocatello Dr, Westerville, OH 43081"
"$209,900",3 beds,3 beds,"3,920","3143 Dresden St, Columbus, OH 43224"
"$265,000",3 beds,3 beds,"1,900","2965 Berwick Blvd, Columbus, OH 43209"
"$765,000",3 beds,3 beds,"3,414","847 Kerr St, Columbus, OH 43215"
"$229,900",3 beds,3 beds,0.32,"4965 Meadowbrook Dr, Columbus, OH 43207"
"$400,000",3 beds,3 beds,"2,796","225 Miami Ave, Columbus, OH 43203"
"$250,000",3 beds,3 beds,0.51,"399 Wyandotte Ave, Columbus, OH 43202"
"$235,000",4 beds,4 beds,"2,498","1750 Laurel Ave, Columbus, OH 43223"
"$198,500",2 beds,2 beds,1.11,"5689 Jousting Ln Unit D, Columbus, OH 43231"
"$315,000",3 beds,3 beds,"1,358","1095 Berkeley Rd, Columbus, OH 43206"
"$99,900",2 beds,2 beds,"5,227","4143 Karl Rd #111, Columbus, OH 43224"
"$279,900",2 beds,2 beds,966,"2546 Trotterslane Dr, Columbus, OH 43235"
"$179,900",3 beds,3 beds,"1,051","3046 Baker Hill Rd, Columbus, OH 43207"
"$424,800",3 beds,3 beds,896,"4094 Pathfield Dr, Columbus, OH 43230"
"$229,000",3 beds,3 beds,"6,534","1208 Fairwood Ave, Columbus, OH 43206"
"$409,900",4 beds,4 beds,"2,034","1173 E Rich St #75, Columbus, OH 43205"
"$226,900",2 beds,2 beds,"9,583","525 E Jenkins Ave, Columbus, OH 43207"
"$199,900",2 beds,2 beds,"1,219","5056 Stoneybrook Blvd Unit 4B, Hilliard, OH 43026"
"$219,000",2 beds,2 beds,"5,662","4780 Merrifield Pl #36, Columbus, OH 43220"
"$359,900",5 beds,5 beds,"2,004","2149 Summit St, Columbus, OH 43201"
"$449,000",3 beds,3 beds,"4,356","3741 Dinsmore Castle Dr, Columbus, OH 43221"
"$394,900",3 beds,3 beds,984,"3121 Menzola Dr, Columbus, OH 43228"
