price,rooms,baths,square_feet,address
"$624,000",2 beds,2 beds,"1,280","2525 Arapahoe St Unit RD108, Denver, CO 80205"
"$1,250,000",6 beds,6 beds,"2,960","3549 Stuart St, Denver, CO 80212"
"$479,000",1 bed,1 bed,"6,250","1827 N Grant St #1104, Denver, CO 80203"
"$1,375,000",4 beds,4 beds,902,"3511 Quivas St, Denver, CO 80211"
"$1,475,000",3 beds,3 beds,"3,175","3857 Utica St, Denver, CO 80212"
"$599,900",2 beds,2 beds,"3,125","3299 Lowell Blvd #303, Denver, CO 80211"
"$1,366,000",3 beds,3 beds,"3,239","530 Jackson St, Denver, CO 80206"
"$6,850,000",3 beds,3 beds,"3,125","155 Steele St #1212, Denver, CO 80206"
"$5,000,000",5 beds,5 beds,"1,225","2355 S Fillmore St, Denver, CO 80210"
"$550,000",2 beds,2 beds,"3,234","3249 W Fairview Pl #107, Denver, CO 80211"
"$420,000",3 beds,3 beds,"3,125","4405 Argonne St, Denver, CO 80249"
"$690,000",3 beds,3 beds,"3,359","5111 Liverpool Way, Denver, CO 80249"
"$1,100,000",2 beds,2 beds,"7,199","1750 Wewatta St #834, Denver, CO 80202"
"$620,000",4 beds,4 beds,"9,375","3286 S Emporia Ct, Denver, CO 80231"
"$1,595,000",6 beds,6 beds,"1,188","815 Pontiac St, Denver, CO 80220"
"$295,000",2 beds,2 beds,"1,116","2880 S Locust St Unit N702, Denver, CO 80222"
"$1,000,000",4 beds,4 beds,"2,800","1180 S Harrison St, Denver, CO 80210"
"$684,000",2 beds,2 beds,"2,693","7369 E Ellsworth Ave, Denver, CO 80230"
"$390,000",1 bed,1 bed,"9,529","275 S Harrison St #402, Denver, CO 80209"
"$959,000",3 beds,3 beds,"1,518","1830 Julian St, Denver, CO 80204"
"$975,000",3 beds,3 beds,"2,850","3333 S Niagara Way, Denver, CO 80224"
"$1,285,000",2 beds,2 beds,0.30,"1299 N Gilpin St Unit 5W, Denver, CO 80218"
"$235,000",2 beds,2 beds,"4,090","715 S Clinton St Unit 2B, Denver, CO 80247"
"$500,000",4 beds,4 beds,"9,583","1275 S Beach Ct, Denver, CO 80219"
"$285,000",2 beds,2 beds,"1,175","9105 E Lehigh Ave #61, Denver, CO 80237"
"$2,900,000",5 beds,5 beds,"2,718","3465 Belcaro Dr, Denver, CO 80209"
"$550,000",3 beds,3 beds,"6,150","2650 S Federal Blvd #1, Denver, CO 80219"
"$399,900",2 beds,2 beds,"2,894","1020 15th St Unit 3D, Denver, CO 80202"
"$315,000",1 bed,1 bed,"2,113","105 W Maple Ave, Denver, CO 80223"
"$574,900",1 bed,1 bed,632,"2820 W 26th Ave #104, Denver, CO 80211"
"$6,250,000",4 beds,4 beds,"1,846","411 Cook St, Denver, CO 80206"
"$475,000",3 beds,3 beds,"3,198","3384 S Fairfax St, Denver, CO 80222"
"$985,000",3 beds,3 beds,"3,268","4820 W Hayward Pl, Denver, CO 80212"
"$699,000",2 beds,2 beds,0.37,"543 Detroit St, Denver, CO 80206"
"$1,275,000",3 beds,3 beds,"2,059","4551 Vrain St, Denver, CO 80212"
"$739,000",2 beds,2 beds,870,"891 14th St #2510, Denver, CO 80202"
"$1,049,000",3 beds,3 beds,"1,608","1722 Monaco Pkwy, Denver, CO 80220"
"$394,900",2 beds,2 beds,"6,060","1475 S Quebec Way Unit H41, Denver, CO 80231"
"$469,900",5 beds,5 beds,837,"4669 Crown Blvd, Denver, CO 80239"
"$199,713",2 beds,2 beds,"4,086","1521 Yosemite St, Denver, CO 80220"
"$1,200,000",6 beds,6 beds,"4,425","1025 N Clarkson St, Denver, CO 80218"
"$670,000",3 beds,3 beds,"3,232","4905 N Picadilly Ct, Aurora, CO 80019"
"$1,275,000",5 beds,5 beds,0.28,"2190 S Emerson St, Denver, CO 80210"
"$1,600,000",5 beds,5 beds,"2,909","3530 Quitman St, Denver, CO 80212"
"$535,000",3 beds,3 beds,"6,098","12935 E 46th Ave, Denver, CO 80239"
"$460,000",2 beds,2 beds,"3,523","500 30th St #1, Denver, CO 80205"
"$307,950",2 beds,2 beds,"6,250","3121 S Tamarac Dr Unit 201J, Denver, CO 80231"
"$474,000",1 bed,1 bed,"2,148","891 14th St #2604, Denver, CO 80202"
"$465,000",2 beds,2 beds,0.30,"4935 Clay St, Denver, CO 80221"
"$585,000",2 beds,2 beds,840,"7591 E Iowa Ave, Denver, CO 80231"
"$720,000",3 beds,3 beds,"1,247","2438 S Acoma St, Denver, CO 80223"
"$749,000",2 beds,2 beds,816,"4470 Meade St, Denver, CO 80211"
"$465,000",3 beds,3 beds,883,"747 & 749 Knox Ct, Denver, CO 80204"
"$685,000",2 beds,2 beds,"6,250","5123 E 23rd Ave, Denver, CO 80207"
"$795,000",3 beds,3 beds,"2,450","9231 E 5th Ave, Denver, CO 80230"
"$724,990",4 beds,4 beds,"1,416","11184 W Mexico Dr, Denver, CO 80232"
"$1,325,000",4 beds,4 beds,"4,690","3232 N Columbine St, Denver, CO 80205"
"$830,000",4 beds,4 beds,"1,886","2848 Xanthia St, Denver, CO 80238"
"$460,000",2 beds,2 beds,"7,500","1210 E Colfax Ave #404, Denver, CO 80218"
"$545,000",3 beds,3 beds,705,"2481 S Wolff St, Denver, CO 80219"
"$1,995,000",5 beds,5 beds,"5,640","155 N Downing St, Denver, CO 80218"
"$1,275,000",3 beds,3 beds,"1,524","4343 Quivas St, Denver, CO 80211"
"$274,999",3 beds,3 beds,"2,500","6800 E Tennessee Ave #412, Denver, CO 80224"
"$315,000",2 beds,2 beds,"2,903","9195 E Lehigh Ave #192, Denver, CO 80237"
"$1,050,000",3 beds,3 beds,"3,310","6700 Morrison Dr, Denver, CO 80221"
"$325,000",1 bed,1 bed,"2,856","1209 N Pearl St #2, Denver, CO 80203"
"$850,000",2 beds,2 beds,"7,768","2391 Hudson St, Denver, CO 80207"
"$479,000",5 beds,5 beds,"3,224","14742 Randolph Pl, Denver, CO 80239"
"$839,000",3 beds,3 beds,"4,680","881 S Emerson St, Denver, CO 80209"
"$1,625,000",4 beds,4 beds,"2,440","4221 Grove St, Denver, CO 80211"
"$655,000",5 beds,5 beds,"3,150","4818 Dunkirk St, Denver, CO 80249"
"$1,675,000",5 beds,5 beds,"1,077","9786 E 63rd Dr, Denver, CO 80238"
"$1,100,000",1 bed,1 bed,"1,955","155 Steele St #612, Denver, CO 80206"
"$425,000",3 beds,3 beds,"7,980","850 Linley Ct, Denver, CO 80204"
"$490,000",3 beds,3 beds,"3,715","5546 Kirk St, Denver, CO 80249"
"$285,000",2 beds,2 beds,"6,680","8770 Rainbow Ave #1, Denver, CO 80229"
"$365,000",1 bed,1 bed,"2,441","5310 W 17th Ave, Lakewood, CO 80214"
"$900,000",4 beds,4 beds,0.70,"3435 N Albion St, Denver, CO 80207"
"$485,000",3 beds,3 beds,"1,040","1212 Yosemite St, Denver, CO 80220"
"$1,450,000",5 beds,5 beds,860,"3949 Umatilla St, Denver, CO 80211"
"$390,000",2 beds,2 beds,"1,554","7474 E Arkansas Ave Unit 7-03, Denver, CO 80231"
"$300,000",2 beds,2 beds,"1,728","2486 Rainbow Dr #156, Denver, CO 80229"
"$202,900",1 bed,1 bed,936,"7615 E Quincy Ave #206, Denver, CO 80237"
"$550,000",3 beds,3 beds,763,"2650 S Federal Blvd #4, Denver, CO 80219"
"$275,000",1 bed,1 bed,"1,472","2529 Devonshire Ct #65, Denver, CO 80229"
"$1,275,000",3 beds,3 beds,774,"78 Jackson St Unit C, Denver, CO 80206"
"$449,900",2 beds,2 beds,"3,096","2374 S University Blvd #412, Denver, CO 80210"
"$900,000",2 beds,2 beds,848,"1319 Osceola St, Denver, CO 80204"
"$630,000",3 beds,3 beds,"1,890","3250 W Center Ave, Denver, CO 80219"
"$1,570,000",5 beds,5 beds,"2,485","2591 Ash St, Denver, CO 80207"
"$830,000",4 beds,4 beds,"1,024","7950 E 55th Ave, Denver, CO 80238"
"$980,000",5 beds,5 beds,"6,650","4941 W Oxford Ave, Denver, CO 80236"
"$995,000",4 beds,4 beds,"3,132","668 Dexter St, Denver, CO 80220"
"$565,000",2 beds,2 beds,"5,950","120 Poplar St Unit H, Denver, CO 80220"
"$575,000",3 beds,3 beds,"2,832","4956 S Kline St, Littleton, CO 80127"
"$425,000",2 beds,2 beds,"3,059","8200 E 8th Ave #4202, Denver, CO 80230"
"$2,649,900",5 beds,5 beds,"3,518","1117 S Madison St, Denver, CO 80210"
"$450,000",2 beds,2 beds,0.27,"175 S Emerson St, Denver, CO 80209"
"$359,900",2 beds,2 beds,"2,668","7877 E Mississippi Ave #208, Denver, CO 80247"
"$209,500",0 beds,0 beds,"6,250","701 N Pearl St #102, Denver, CO 80203"
"$515,000",1 bed,1 bed,"1,521","1700 Bassett St #310, Denver, CO 80202"
"$4,200,000",4 beds,4 beds,"1,638","335 Saint Paul St, Denver, CO 80206"
"$531,430",4 beds,4 beds,0.43,"21872 E 38th Pl, Aurora, CO 80019"
"$523,530",4 beds,4 beds,"1,041","21891 E 38th Pl, Aurora, CO 80019"
"$454,990",3 beds,3 beds,"5,133","18839 E 64th Ave, Denver, CO 80249"
"$469,900",4 beds,4 beds,"6,250","7650 Elmwood Ln, Denver, CO 80221"
"$834,990",3 beds,3 beds,"1,472","20708 E 49th Dr, Denver, CO 80249"
"$475,000",4 beds,4 beds,"4,230","4385 Netherland St, Denver, CO 80249"
