price,rooms,baths,square_feet,address
"$382,500",4 beds,4 beds,"3,094","11945 Pueblo Amable Way, El Paso, TX 79936"
"$149,950",3 beds,3 beds,0.31,"120 Pendale Rd, El Paso, TX 79907"
"$605,000",5 beds,5 beds,"1,654","4446 Shadow Willow Dr, El Paso, TX 79922"
"$235,000",— beds,— beds,"5,227","8201 Mercury St Unit A and B, El Paso, TX 79904"
"$275,000",3 beds,3 beds,"3,127","14945 Tierra Coruna Ave, El Paso, TX 79938"
"$242,500",3 beds,3 beds,0.32,"2909 Pino Blanco Pl, El Paso, TX 79938"
"$364,730",5 beds,5 beds,"2,138","757 Cedarwood Ave, El Paso, TX 79928"
"$525,000",4 beds,4 beds,"8,712","7444 Cimarron Gap Dr, El Paso, TX 79911"
"$301,320",3 beds,3 beds,"1,574","749 Cedarwood Ave, Horizon City, TX 79928"
"$175,000",3 beds,3 beds,"5,198","6024 Redstone St, El Paso, TX 79924"
"$240,000",3 beds,3 beds,"1,775","14333 Earl Chokiski, El Paso, TX 79938"
"$229,950",4 beds,4 beds,"6,131","10085 Imperial St, El Paso, TX 79924"
"$277,950",4 beds,4 beds,"2,654","13816 Loreina Luz Ave, El Paso, TX 79928"
"$315,000",4 beds,4 beds,"5,555","3134 Spring Willow, El Paso, TX 79938"
"$288,950",4 beds,4 beds,"2,352","13808 Loreina Luz Ave, El Paso, TX 79928"
"$105,000",2 beds,2 beds,"6,809","7062 Ramos Ct, El Paso, TX 79915"
"$328,000",4 beds,4 beds,"1,722","2056 Sun Chariot St, El Paso, TX 79938"
"$299,899",4 beds,4 beds,"5,555","8415 Comet St, El Paso, TX 79904"
"$210,000",3 beds,3 beds,"1,648","1915 Happer St, El Paso, TX 79903"
"$379,950",4 beds,4 beds,"7,227","1309 Desert Canyon Dr, El Paso, TX 79912"
"$250,000",3 beds,3 beds,"1,526","12585 Broad Autumn Ct, El Paso, TX 79928"
"$425,000",3 beds,3 beds,"5,170","6304 Snowheights Ct, El Paso, TX 79912"
"$281,950",3 beds,3 beds,"1,544","905 Indigo Sky St, El Paso, TX 79928"
"$362,950",4 beds,4 beds,"7,000","51061 Desert Sunflower Ave, El Paso, TX 79934"
"$395,000",4 beds,4 beds,"1,635","6047 Dona Beatriz Ln, El Paso, TX 79932"
"$275,000",4 beds,4 beds,"5,507","14260 Honey Point Dr, El Paso, TX 79938"
"$210,248",4 beds,4 beds,"1,984","10745 Onyxstone St, El Paso, TX 79924"
"$247,000",4 beds,4 beds,"5,906","2052 Thomas Lackland St, El Paso, TX 79938"
"$293,950",4 beds,4 beds,"1,788","13624 Doncaster St, El Paso, TX 79928"
"$209,900",3 beds,3 beds,"5,410","3283 Bashkir Trail Trl, El Paso, TX 79938"
"$289,950",4 beds,4 beds,738,"520 Cedarwood Dr, El Paso, TX 79928"
"$455,000",4 beds,4 beds,"2,528","12331 Buckley Grv Ct, El Paso, TX 79928"
"$285,000",3 beds,3 beds,"2,149","6425 Toivoa Pl, El Paso, TX 79932"
"$173,000",5 beds,5 beds,"5,968","9637 Penjamo Dr, El Paso, TX 79927"
"$260,000",4 beds,4 beds,"2,323","3259 Percheron, El Paso, TX 79938"
"$599,000",5 beds,5 beds,0.35,"6253 Camino Alegre Dr, El Paso, TX 79912"
"$275,000",4 beds,4 beds,"2,072","13821 Sky Harbor Ave, El Paso, TX 79928"
"$170,000",3 beds,3 beds,"6,000","3612 Broaddus Ave, El Paso, TX 79904"
"$315,500",3 beds,3 beds,"2,316","7004 Crown Ridge Dr, El Paso, TX 79912"
"$250,000",3 beds,3 beds,"8,947","3848 Loma Adriana Dr, El Paso, TX 79938"
"$260,000",4 beds,4 beds,"1,672","1037 Summer House St, El Paso, TX 79928"
"$300,000",3 beds,3 beds,"5,400","3405 Sirius Ave, El Paso, TX 79904"
"$375,400",3 beds,3 beds,"1,989","3537 Running Deer Dr, El Paso, TX 79936"
"$290,000",3 beds,3 beds,"7,500","12304 Lucy Acosta Way, El Paso, TX 79936"
"$293,950",4 beds,4 beds,"2,358","629 Paseo Modesto Dr, Horizon City, TX 79928"
"$269,950",4 beds,4 beds,"8,407","524 Cedarwood Ave, Horizon City, TX 79928"
"$285,000",4 beds,4 beds,"2,063","14660 Randall Cunningham, El Paso, TX 79938"
"$259,900",4 beds,4 beds,"5,680","12444 Tierra Cebada Dr, El Paso, TX 79938"
"$195,000",3 beds,3 beds,"1,562","11833 Imperial Gem Ave, El Paso, TX 79936"
"$355,000",5 beds,5 beds,"6,165","808 Spofforth Rd, El Paso, TX 79928"
"$715,000",5 beds,5 beds,"1,344","3009 Zion Ln, El Paso, TX 79904"
"$145,000",4 beds,4 beds,"4,987","526 Holiday St, El Paso, TX 79905"
