price,rooms,baths,square_feet,address
"$510,000",4 beds,4 beds,"2,032","2812 N Burl Ave, Fresno, CA 93727"
"$519,900",3 beds,3 beds,"5,702","6414 W Norwich Ave, Fresno, CA 93723"
"$3,700,000",3 beds,3 beds,"2,058","7606 E Shields Ave, Fresno, CA 93737"
"$479,900",3 beds,3 beds,"4,948","5025 N Van Ness Blvd, Fresno, CA 93711"
"$295,000",2 beds,2 beds,"1,756","2116 N Lomita Ave, Fresno, CA 93703"
"$489,900",6 beds,6 beds,9.96,"2261 N Chestnut Ave, Fresno, CA 93703"
"$675,000",32 beds,32 beds,"2,272","1930 E Dakota Ave, Fresno, CA 93726"
"$299,000",3 beds,3 beds,"1,102","4688 N Angus St, Fresno, CA 93726"
"$535,000",3 beds,3 beds,"9,679","6550 N Tamera Ave, Fresno, CA 93711"
"$395,000",3 beds,3 beds,"3,038","258 S Meridian Ave, Fresno, CA 93702"
"$325,000",2 beds,2 beds,"8,468","750 E Elizabeth St, Fresno, CA 93728"
"$519,000",5 beds,5 beds,"3,957","5703 W Magill, Fresno, CA 93722"
"$499,000",3 beds,3 beds,"8,000","2876 E Jon Dr, Fresno, CA 93720"
"$425,000",2 beds,2 beds,"1,326","645 E Champlain Dr #126, Fresno, CA 93720"
"$525,000",4 beds,4 beds,"8,446","6507 N Fruit Ave, Fresno, CA 93711"
"$413,500",3 beds,3 beds,"2,126","567 N Filbert Ave, Fresno, CA 93727"
"$399,900",2 beds,2 beds,0.23,"645 E Champlain Dr #132, Fresno, CA 93730"
"$389,900",3 beds,3 beds,"2,252","595 N Cattail Ct, Fresno, CA 93727"
"$595,000",4 beds,4 beds,"9,448","6075 N Remington Ave, Fresno, CA 93704"
"$879,000",4 beds,4 beds,"1,240","11303 N Via Napoli Dr, Fresno, CA 93730"
"$436,000",3 beds,3 beds,"7,588","5855 E Eugenia Ave, Fresno, CA 93727"
"$399,950",4 beds,4 beds,"2,765","3513 E Brown Ave, Fresno, CA 93703"
"$590,000",4 beds,4 beds,"6,499","2593 E Kelso Ave, Fresno, CA 93720"
"$490,000",3 beds,3 beds,"1,653","5982 E Pitt Ave, Fresno, CA 93727"
"$299,900",3 beds,3 beds,"6,298","4763 E Washington Ave, Fresno, CA 93702"
"$739,900",4 beds,4 beds,"1,307","2727 W Bluff Ave #120, Fresno, CA 93711"
"$549,999",4 beds,4 beds,"3,698","3454 Carson Ave, Clovis, CA 93611"
"$370,000",3 beds,3 beds,"2,552","4611 E Woodward Ave, Fresno, CA 93702"
"$799,000",5 beds,5 beds,0.25,"2809 E Omaha Ave, Fresno, CA 93720"
"$430,000",4 beds,4 beds,"1,535","3698 W Persimmon Ln, Fresno, CA 93711"
"$169,900",2 beds,2 beds,"3,998","3620 W Church Ave, Fresno, CA 93706"
"$339,998",3 beds,3 beds,730,"2732 E Lansing Way, Fresno, CA 93726"
"$375,000",3 beds,3 beds,"1,307","4810 E Santa Ana Ave, Fresno, CA 93726"
"$2,175,000",4 beds,4 beds,"1,512","2061 E Sawgrass Ave, Fresno, CA 93730"
"$315,000",3 beds,3 beds,"2,450","4525 E Byrd Ave, Fresno, CA 93725"
"$469,800",4 beds,4 beds,"1,902","7069 W Cheshire Ave, Fresno, CA 93723"
"$599,900",3 beds,3 beds,0.28,"7288 N Prospect Ave, Fresno, CA 93711"
"$459,900",3 beds,3 beds,"2,834","5651 E Kaviland Ave, Fresno, CA 93727"
"$514,999",4 beds,4 beds,"8,436","4998 W Decatur Ave, Fresno, CA 93722"
"$129,900",1 bed,1 bed,"1,630","1550 W Ashlan Ave #118, Fresno, CA 93705"
"$510,000",4 beds,4 beds,"2,032","2812 N Burl Ave, Fresno, CA 93727"
"$519,900",3 beds,3 beds,"5,702","6414 W Norwich Ave, Fresno, CA 93723"
"$3,700,000",3 beds,3 beds,"2,058","7606 E Shields Ave, Fresno, CA 93737"
"$479,900",3 beds,3 beds,"4,948","5025 N Van Ness Blvd, Fresno, CA 93711"
"$295,000",2 beds,2 beds,"1,756","2116 N Lomita Ave, Fresno, CA 93703"
"$489,900",6 beds,6 beds,9.96,"2261 N Chestnut Ave, Fresno, CA 93703"
"$675,000",32 beds,32 beds,"2,272","1930 E Dakota Ave, Fresno, CA 93726"
"$299,000",3 beds,3 beds,"1,102","4688 N Angus St, Fresno, CA 93726"
"$535,000",3 beds,3 beds,"9,679","6550 N Tamera Ave, Fresno, CA 93711"
"$395,000",3 beds,3 beds,"3,038","258 S Meridian Ave, Fresno, CA 93702"
"$325,000",2 beds,2 beds,"8,468","750 E Elizabeth St, Fresno, CA 93728"
"$519,000",5 beds,5 beds,"3,957","5703 W Magill, Fresno, CA 93722"
"$499,000",3 beds,3 beds,"8,000","2876 E Jon Dr, Fresno, CA 93720"
"$425,000",2 beds,2 beds,"1,326","645 E Champlain Dr #126, Fresno, CA 93720"
