price,rooms,baths,square_feet,address
"$685,000",3 beds,3 beds,"2,314","633A W 21st St, Houston, TX 77008"
"$785,000",3 beds,3 beds,"3,275","2127 Taft St, Houston, TX 77006"
"$1,050,000",4 beds,4 beds,"2,968","19822 Skycountry Ln, Houston, TX 77094"
"$390,000",4 beds,4 beds,"1,640","15442 Islandview Ln, Houston, TX 77053"
"$1,100,000",4 beds,4 beds,"5,939","2339 Addison Rd, Houston, TX 77030"
"$590,000",4 beds,4 beds,0.26,"13208 Leighton Gardens Dr, Houston, TX 77077"
"$790,000",3 beds,3 beds,"2,587","2301 Waugh Dr, Houston, TX 77006"
"$179,000",2 beds,2 beds,"4,600","13921 Hollowgreen Dr, Houston, TX 77082"
"$385,000",3 beds,3 beds,"2,744","6326 Culberson St, Houston, TX 77021"
"$559,000",3 beds,3 beds,"5,500","1805 W Webster St, Houston, TX 77019"
"$265,000",3 beds,3 beds,"2,917","15707 Spring Forest Dr, Houston, TX 77059"
"$369,000",3 beds,3 beds,"3,360","1711 Stone Meadows Ln, Houston, TX 77094"
"$1,599,000",4 beds,4 beds,"2,150","610 Harold St, Houston, TX 77006"
"$499,900",5 beds,5 beds,"4,265","5503 Baron Oaks Ct, Houston, TX 77069"
"$320,000",4 beds,4 beds,"1,284","2107 White Feather Trl, Crosby, TX 77532"
"$450,000",4 beds,4 beds,"1,372","8615 Cross Country Dr, Humble, TX 77346"
"$629,000",4 beds,4 beds,"1,901","2218 Arbor St, Houston, TX 77004"
"$519,900",5 beds,5 beds,"2,272","10106 Nathans Cv, Houston, TX 77089"
"$289,900",5 beds,5 beds,"2,232","8927 Langdon Ln, Houston, TX 77036"
"$263,000",3 beds,3 beds,"1,682","11421 Champions Green Dr, Houston, TX 77066"
"$99,000",2 beds,2 beds,"1,570","2818 S Bartell Dr #39, Houston, TX 77054"
"$279,000",2 beds,2 beds,"7,800","5094 Glenmont Dr, Houston, TX 77081"
"$1,350,000",0 beds,0 beds,"2,290","3331 Sampson St, Houston, TX 77004"
"$380,000",5 beds,5 beds,"9,100","16934 Creek Mountain Dr, Houston, TX 77084"
"$298,000",3 beds,3 beds,"4,427","56 Penway St, Houston, TX 77022"
"$279,900",3 beds,3 beds,"9,000","18310 Atasca Woods Trce, Humble, TX 77346"
"$385,000",3 beds,3 beds,"3,571","9128 Harbor Hills Dr, Houston, TX 77054"
"$300,000",4 beds,4 beds,0.26,"12431 Renwick Dr, Houston, TX 77035"
"$399,990",3 beds,3 beds,"2,118","4850 Pinemont Dr, Houston, TX 77091"
"$369,990",2 beds,2 beds,0.32,"1210 Highland Square Ln, Houston, TX 77091"
"$319,990",3 beds,3 beds,"3,707","313 Charlock St, Houston, TX 77022"
