price,rooms,baths,square_feet,address
"$285,000",3 beds,3 beds,"1,412","6004 Mills Rd, Indianapolis, IN 46221"
"$247,000",3 beds,3 beds,1.18,"4319 Carrollton Ave, Indianapolis, IN 46205"
"$260,000",3 beds,3 beds,"2,250","8120 Castilla Dr, Indianapolis, IN 46236"
"$205,000",2 beds,2 beds,"5,793","6090 Southbay Dr, Indianapolis, IN 46250"
"$195,000",3 beds,3 beds,"1,495","6424 Perry Pines Ct, Indianapolis, IN 46237"
"$195,000",3 beds,3 beds,0.23,"713 N Chester Ave, Indianapolis, IN 46201"
"$350,000",4 beds,4 beds,"1,452","1050 N Cambridge Ct, Greenfield, IN 46140"
"$110,000",2 beds,2 beds,"1,252","1026 Eugene St, Indianapolis, IN 46208"
"$89,900",4 beds,4 beds,"6,447","5516 Linda Ln, Indianapolis, IN 46241"
"$145,000",3 beds,3 beds,"1,593","5315 E 34th St, Indianapolis, IN 46218"
"$259,000",4 beds,4 beds,"5,401","6838 Fair Ridge Dr, Indianapolis, IN 46221"
"$519,000",3 beds,3 beds,"2,548","4715 N Park Ave, Indianapolis, IN 46205"
"$134,900",2 beds,2 beds,0.95,"4932 Rockville Rd, Indianapolis, IN 46224"
"$255,000",3 beds,3 beds,"2,151","5522 Apple Branch Way, Indianapolis, IN 46237"
"$160,000",3 beds,3 beds,"3,746","5952 Beau Jardin Dr, Indianapolis, IN 46237"
"$337,000",3 beds,3 beds,"1,728","2210 E 58th St, Indianapolis, IN 46220"
"$250,000",1 bed,1 bed,"8,494","25 E 40th St Apt 3C, Indianapolis, IN 46205"
"$149,900",3 beds,3 beds,"1,064","3901 & 3907 N Kercheval Dr, Indianapolis, IN 46226"
"$200,000",2 beds,2 beds,"6,490","1529-1531 E Kelly St, Indianapolis, IN 46203"
"$209,000",3 beds,3 beds,"1,808","10833 Cedar Pine Dr, Indianapolis, IN 46235"
"$189,900",2 beds,2 beds,0.25,"8418 Glenwillow Ln #104, Indianapolis, IN 46278"
"$144,900",2 beds,2 beds,"2,744","2147 English Ave, Indianapolis, IN 46201"
"$232,900",3 beds,3 beds,"7,579","936 N Hawthorne Ln, Indianapolis, IN 46219"
"$299,900",4 beds,4 beds,"1,068","5313 Arabian Run, Indianapolis, IN 46228"
"$950,000",4 beds,4 beds,0.33,"9141 Diamond Pointe Dr, Indianapolis, IN 46236"
"$570,000",3 beds,3 beds,"1,516","1949 Carrollton Ave, Indianapolis, IN 46202"
"$377,500",4 beds,4 beds,"8,989","12609 Tealwood Dr, Indianapolis, IN 46236"
"$129,900",2 beds,2 beds,"1,396","7409 Countrybrook Dr #0, Indianapolis, IN 46260"
"$249,000",3 beds,3 beds,"2,320","7733 Bright Leaf Cir, Indianapolis, IN 46239"
"$105,000",2 beds,2 beds,"7,100","3250 Brouse Ave, Indianapolis, IN 46218"
"$230,000",3 beds,3 beds,951,"8010 Clayburn Ct, Indianapolis, IN 46268"
"$109,000",2 beds,2 beds,"1,120","1119 N Centennial St, Indianapolis, IN 46222"
"$209,900",2 beds,2 beds,"8,625","9504 Fordham St, Indianapolis, IN 46268"
"$257,500",3 beds,3 beds,"2,748","1721 Brassica Way, Indianapolis, IN 46217"
"$279,900",3 beds,3 beds,"5,009","3416 Catalpa Ave, Indianapolis, IN 46228"
"$290,000",4 beds,4 beds,"1,180","7811 Wolfgang Pl, Indianapolis, IN 46239"
