price,rooms,baths,square_feet,address
"$609,000",3 beds,3 beds,"1,544","1395 Avondale Ave, Jacksonville, FL 32205"
"$440,000",5 beds,5 beds,"7,840","11636 Chariot Ln, Jacksonville, FL 32223"
"$319,900",3 beds,3 beds,"2,002","4110 Suncoast Crossing Ln, Jacksonville, FL 32210"
"$315,000",3 beds,3 beds,0.32,"3312 Cancun Dr E, Jacksonville, FL 32225"
"$169,999",3 beds,3 beds,"1,547","3524 Centerhill Dr, Jacksonville, FL 32254"
"$339,000",4 beds,4 beds,"5,662","3012 Ila Ln, Jacksonville, FL 32277"
"$339,900",3 beds,3 beds,"1,505","3306 Cancun Dr E, Jacksonville, FL 32225"
"$215,000",4 beds,4 beds,"6,969","921 Cornwallis Dr, Jacksonville, FL 32208"
"$150,000",3 beds,3 beds,900,"1105 W 12th St, Jacksonville, FL 32209"
"$207,000",3 beds,3 beds,"8,712","9609 Campus Ave, Jacksonville, FL 32208"
"$325,000",4 beds,4 beds,"1,802","10746 Kuralei Dr, Jacksonville, FL 32246"
"$150,000",3 beds,3 beds,0.23,"380 Raleigh Rd #12, Jacksonville, FL 32225"
"$580,000",5 beds,5 beds,"1,775","513 New Brunswick Ter, Jacksonville, FL 32221"
"$250,000",3 beds,3 beds,"7,405","5332 Colonial Ave, Jacksonville, FL 32210"
"$345,000",3 beds,3 beds,"1,369","8183 Boonesborough Trl, Jacksonville, FL 32244"
"$369,500",3 beds,3 beds,"7,840","1247 Rensselaer Ave, Jacksonville, FL 32205"
"$319,900",4 beds,4 beds,"1,504","6155 Fillyside Trl, Jacksonville, FL 32244"
"$170,000",3 beds,3 beds,"5,814","4371 Crossbow Rd, Jacksonville, FL 32208"
"$357,000",2 beds,2 beds,"1,062","11869 Surfbird Cir #9F, Jacksonville, FL 32256"
"$340,000",3 beds,3 beds,0.30,"6681 White Blossom Cir #24E, Jacksonville, FL 32258"
"$330,000",4 beds,4 beds,"1,590","8034 Foxdale Dr, Jacksonville, FL 32210"
"$265,000",3 beds,3 beds,"7,405","8524 Tower Falls Dr Unit Townhouse, Jacksonville, FL 32244"
"$257,500",2 beds,2 beds,"1,800","9745 Touchton Rd #1430, Jacksonville, FL 32246"
"$249,500",2 beds,2 beds,"1,306","7855 La Sierra Ct #7855, Jacksonville, FL 32256"
"$302,000",3 beds,3 beds,"3,638","3645 Pizarro Rd, Jacksonville, FL 32217"
"$495,000",4 beds,4 beds,0.26,"3328 W Hidden Lake Dr, Jacksonville, FL 32216"
"$239,999",3 beds,3 beds,"1,352","1862 Colby Ave, Jacksonville, FL 32218"
"$300,000",3 beds,3 beds,"8,276","7629 Legacy Trl, Jacksonville, FL 32256"
"$415,000",4 beds,4 beds,"1,788","2949 Turning Leaf Ln, Jacksonville, FL 32221"
"$1,299,900",2 beds,2 beds,"7,840","400 E Bay St #6, Jacksonville, FL 32202"
"$525,000",4 beds,4 beds,"1,575","29 W 10th St, Jacksonville, FL 32206"
"$334,900",4 beds,4 beds,"6,969","4178 Matador Dr, Jacksonville, FL 32210"
"$299,000",3 beds,3 beds,"1,637","10610 Hampton Rd, Jacksonville, FL 32257"
"$1,095,000",3 beds,3 beds,"9,147","14073 Pine Island Dr, Jacksonville, FL 32224"
"$155,000",3 beds,3 beds,942,"7514 Proxima Rd, Jacksonville, FL 32210"
"$310,000",4 beds,4 beds,"1,438","3845 Anderson Woods Dr, Jacksonville, FL 32218"
"$229,900",3 beds,3 beds,"1,857","8340 Tubman Ct, Jacksonville, FL 32219"
"$143,000",2 beds,2 beds,"2,222","5613 Long St, Jacksonville, FL 32208"
"$330,000",3 beds,3 beds,"6,098","3331 Abbeyfield Dr E, Jacksonville, FL 32277"
"$307,798",3 beds,3 beds,"1,599","7003 Mirage St, Jacksonville, FL 32244"
"$375,000",3 beds,3 beds,"1,536","12226 Spiney Ridge Dr S, Jacksonville, FL 32225"
"$317,566",3 beds,3 beds,"9,147","7007 Mirage St, Jacksonville, FL 32244"
"$438,000",4 beds,4 beds,"2,010","9440 Lita Rd W, Jacksonville, FL 32257"
"$285,000",2 beds,2 beds,"2,226","4752 French St, Jacksonville, FL 32205"
"$305,248",3 beds,3 beds,0.27,"7006 Mirage St, Jacksonville, FL 32244"
"$314,826",3 beds,3 beds,"1,224","7002 Mirage St, Jacksonville, FL 32244"
"$379,900",3 beds,3 beds,"8,712","12567 Tree Beard Ct, Jacksonville, FL 32225"
"$309,651",3 beds,3 beds,"1,970","6998 Mirage St, Jacksonville, FL 32244"
"$300,066",3 beds,3 beds,"2,010","6044 Immortal Ct, Jacksonville, FL 32205"
"$295,298",3 beds,3 beds,"1,292","6042 Immortal Ct, Jacksonville, FL 32205"
"$297,198",3 beds,3 beds,"6,969","6039 Immortal Ct, Jacksonville, FL 32205"
"$250,000",4 beds,4 beds,"1,970","338 W 61st St, Jacksonville, FL 32208"
"$120,000",4 beds,4 beds,"2,010","1046 W 17th St, Jacksonville, FL 32209"
"$289,798",3 beds,3 beds,"1,970","6041 Immortal Ct, Jacksonville, FL 32205"
"$298,384",3 beds,3 beds,"5,227","6047 Immortal Ct, Jacksonville, FL 32205"
"$475,000",3 beds,3 beds,"2,010","113 E 7th St, Jacksonville, FL 32206"
"$330,000",3 beds,3 beds,"1,627","4573 Crosstie Rd N, Jacksonville, FL 32257"
"$885,000",5 beds,5 beds,"4,791","10350 Deerwood Club Rd, Jacksonville, FL 32256"
"$600,000",5 beds,5 beds,"1,335","11703 Magnolia Falls Dr, Jacksonville, FL 32258"
"$410,000",3 beds,3 beds,0.23,"9079 Westwick Ln, Jacksonville, FL 32211"
"$249,000",2 beds,2 beds,"1,970","2024 Gibson Rd, Jacksonville, FL 32207"
"$389,000",2 beds,2 beds,"2,010","1452 Ingleside Ave, Jacksonville, FL 32205"
"$249,999",2 beds,2 beds,"1,820","1151 Wycoff Ave, Jacksonville, FL 32205"
"$425,000",4 beds,4 beds,"3,049","6551 Colby Hills Dr, Jacksonville, FL 32222"
"$260,000",3 beds,3 beds,"1,902","8166 Buttercup St, Jacksonville, FL 32210"
"$215,000",1 bed,1 bed,"7,840","13700 Richmond Park Dr #807, Jacksonville, FL 32224"
"$389,000",4 beds,4 beds,"3,132","12767 Serenade Cir N, Jacksonville, FL 32225"
"$477,000",3 beds,3 beds,0.56,"11189 Windlesham Ct, Jacksonville, FL 32246"
"$255,000",3 beds,3 beds,"3,936","739 Egret Bluff Ln, Jacksonville, FL 32211"
"$366,000",3 beds,3 beds,"9,583","11495 Tori Ln, Jacksonville, FL 32218"
"$2,100,000",5 beds,5 beds,"1,548","3254 Julington Creek Rd, Jacksonville, FL 32223"
"$165,000",3 beds,3 beds,"6,098","6365 Catoma, Jacksonville, FL 32244"
"$239,900",3 beds,3 beds,"1,192","7905 Napo Dr, Jacksonville, FL 32217"
"$139,900",2 beds,2 beds,"7,840","6616 La Mirada Dr E #6, Jacksonville, FL 32217"
"$299,900",3 beds,3 beds,"1,052","1212 Monterey St, Jacksonville, FL 32207"
"$95,000",3 beds,3 beds,"6,098","846 Brandywine St, Jacksonville, FL 32208"
"$239,000",3 beds,3 beds,944,"1410 Ionia St, Jacksonville, FL 32206"
"$399,900",3 beds,3 beds,"4,791","109 Autumn Springs Dr, Jacksonville, FL 32225"
"$640,000",2 beds,2 beds,"2,539","9507 Carbondale Dr E, Jacksonville, FL 32208"
"$1,300,000",5 beds,5 beds,0.27,"1124 Oriental Gardens Rd, Jacksonville, FL 32207"
"$138,000",3 beds,3 beds,"1,524","546 W 49th St, Jacksonville, FL 32208"
"$295,000",3 beds,3 beds,"7,840","5342 Sharon Ter, Jacksonville, FL 32207"
"$350,000",0 beds,0 beds,"1,108","144 W 41 St, Jacksonville, FL 32206"
"$575,500",3 beds,3 beds,"9,583","10285 Hamlet Glen Dr, Jacksonville, FL 32221"
"$155,000",3 beds,3 beds,"2,304","3700 Kirkpatrick Cir Unit 8-7, Jacksonville, FL 32210"
"$310,000",3 beds,3 beds,0.25,"12403 Sandle Ct, Jacksonville, FL 32219"
"$2,595,000",5 beds,5 beds,"2,957","616 Timber Bridge Ln, Atlantic Beach, FL 32233"
"$315,000",3 beds,3 beds,0.32,"7105 High Bluff Rd, Jacksonville, FL 32244"
"$282,000",3 beds,3 beds,"1,157","7991 Mactavish Way N, Jacksonville, FL 32244"
"$230,000",2 beds,2 beds,"1,711","10150 Belle Rive Blvd #2605, Jacksonville, FL 32256"
"$550,000",4 beds,4 beds,0.26,"8767 Reedy Branch Dr, Jacksonville, FL 32256"
"$300,000",3 beds,3 beds,"4,288","1858 Key Biscayne Dr N, Jacksonville, FL 32218"
"$259,000",3 beds,3 beds,0.27,"3941 Abby Ln, Jacksonville, FL 32207"
"$287,000",3 beds,3 beds,"1,665","2527 W Caney Oaks Dr, Jacksonville, FL 32218"
"$344,900",4 beds,4 beds,0.40,"1343 Kennesaw Ln, Jacksonville, FL 32218"
"$489,900",4 beds,4 beds,"1,288","428 Ashcroft Landing Dr, Jacksonville, FL 32225"
"$179,900",2 beds,2 beds,"8,998","518 W 25th St, Jacksonville, FL 32206"
"$450,000",3 beds,3 beds,"1,105","4357 Demedici Ave, Jacksonville, FL 32210"
"$205,000",3 beds,3 beds,"2,547","6026 Bagley Rd, Jacksonville, FL 32209"
"$399,900",4 beds,4 beds,"8,276","11023 Dusenburg Ct, Jacksonville, FL 32246"
"$285,000",5 beds,5 beds,"1,840","429 W 18 St, Jacksonville, FL 32206"
"$185,000",2 beds,2 beds,"9,583","5811 Atlantic Blvd #181, Jacksonville, FL 32207"
"$464,900",3 beds,3 beds,"1,163","7214 Poinciana Ave, Jacksonville, FL 32217"
"$419,000",4 beds,4 beds,"7,840","5924 Covered Creek Ln, Jacksonville, FL 32277"
"$232,000",3 beds,3 beds,"1,786","9241 Bearden Rd, Jacksonville, FL 32220"
"$330,000",4 beds,4 beds,"5,662","7835 Bellemeade Blvd S, Jacksonville, FL 32211"
"$185,000",2 beds,2 beds,"1,848","10519 Suomi St, Jacksonville, FL 32218"
"$675,000",4 beds,4 beds,"8,712","11642 Golden Lake Ln, Jacksonville, FL 32256"
"$235,000",3 beds,3 beds,"2,176","8812 Townsquare Ct, Jacksonville, FL 32216"
"$285,000",2 beds,2 beds,"7,405","1307 River Hills Cir E #10, Jacksonville, FL 32211"
"$274,999",3 beds,3 beds,944,"1247 Pangola Dr, Jacksonville, FL 32205"
"$215,000",3 beds,3 beds,"3,920","6930 Cherbourg Ave S, Jacksonville, FL 32205"
"$717,260",3 beds,3 beds,"1,400","5296 Piney Woods Way, Jacksonville, FL 32224"
"$260,000",3 beds,3 beds,0.26,"11247 Vera Dr, Jacksonville, FL 32218"
"$274,999",3 beds,3 beds,"2,101","1245 Pangola Dr, Jacksonville, FL 32205"
"$419,900",4 beds,4 beds,0.27,"12210 Springmoor Four Ct, Jacksonville, FL 32225"
"$355,000",4 beds,4 beds,"1,738","1229 Sarahs Landing Dr, Jacksonville, FL 32221"
"$259,000",3 beds,3 beds,"1,924","11278 Derringer Cir N, Jacksonville, FL 32225"
"$460,000",3 beds,3 beds,"5,000","6511 Silver Glen Dr, Jacksonville, FL 32258"
"$425,000",3 beds,3 beds,"1,042","487 Portobello Dr, Jacksonville, FL 32221"
"$349,000",4 beds,4 beds,"2,263","2814 Cold Creek Blvd, Jacksonville, FL 32221"
"$359,000",4 beds,4 beds,0.24,"968 Deer Spring Dr, Jacksonville, FL 32221"
"$249,000",2 beds,2 beds,"2,082","1846 Mallory St #10, Jacksonville, FL 32205"
