price,rooms,baths,square_feet,address
"$579,500",4 beds,4 beds,"3,074","2268 SW Morris Dr, Lee's Summit, MO 64082"
"$440,000",3 beds,3 beds,"9,561","3521 Tracy Ave, Kansas City, MO 64108"
"$440,000",3 beds,3 beds,"1,632","3525 Tracy St, Kansas City, MO 64109"
"$524,900",3 beds,3 beds,"6,827","13890 NW 75th St, Parkville, MO 64152"
"$999,000",5 beds,5 beds,"1,632","6148 Ward Pkwy, Kansas City, MO 64113"
"$415,000",4 beds,4 beds,"6,852","1606 NE 124th Ter, Kansas City, MO 64165"
"$110,000",1 bed,1 bed,"1,880","431 W 104th St Unit A, Kansas City, MO 64113"
"$180,000",3 beds,3 beds,"7,980","5027 NE 44th Ter, Kansas City, MO 64117"
"$1,500,000",5 beds,5 beds,"3,943","10410 N Hedges Ave, Kansas City, MO 64157"
"$899,900",3 beds,3 beds,0.29,"13204 Overbrook Rd, Leawood, KS 66209"
"$225,000",2 beds,2 beds,"2,206","4028 N Hardesty Ave, Kansas City, MO 64117"
"$160,000",2 beds,2 beds,"8,712","4105 Tracy Ave, Kansas City, MO 64110"
"$410,000",4 beds,4 beds,828,"3027 Charlotte St, Kansas City, MO 64109"
"$579,000",2 beds,2 beds,"1,376","229 Ward Pkwy Unit 704 A, Kansas City, MO 64112"
"$195,000",3 beds,3 beds,"8,712","7912 E 96th St, Kansas City, MO 64134"
"$179,950",3 beds,3 beds,"5,174","6208 Tracy Ave, Kansas City, MO 64110"
"$459,900",2 beds,2 beds,1.09,"600 E Admiral Blvd #1208, Kansas City, MO 64106"
"$2,590,000",48 beds,48 beds,"3,538","7000-7022 Cleveland Ave, Kansas City, MO 64132"
"$305,000",3 beds,3 beds,0.24,"7728 NW 124th St, Kansas City, MO 64163"
"$155,000",3 beds,3 beds,"1,268","10710 Bennington Ave, Kansas City, MO 64134"
"$369,900",4 beds,4 beds,"1,742","3205 NE 71st St, Gladstone, MO 64119"
"$224,000",3 beds,3 beds,"1,116","13001 E 50th Ter S, Independence, MO 64055"
"$245,000",4 beds,4 beds,"6,586","5446 N Hardesty Ave, Kansas City, MO 64119"
"$180,000",4 beds,4 beds,"2,264","3901 E 58th St, Kansas City, MO 64130"
"$430,000",4 beds,4 beds,"6,080","9218 N Charlotte Ct, Kansas City, MO 64155"
"$40,000",2 beds,2 beds,"1,610","2321 Lawndale Ave, Kansas City, MO 64127"
"$799,900",4 beds,4 beds,"1,805","13405 NW Brink Meyer Rd, Parkville, MO 64152"
"$349,999",4 beds,4 beds,"9,752","818 NE 116th Ter, Kansas City, MO 64155"
"$429,900",3 beds,3 beds,"1,258","1508 NW 54th St, Kansas City, MO 64118"
"$210,000",3 beds,3 beds,"4,864","5219 NW 82nd Ter, Kansas City, MO 64151"
"$213,999",2 beds,2 beds,"1,643","731 E 121st Ter, Kansas City, MO 64146"
"$411,000",7 beds,7 beds,—,"2223 E 8th St, Kansas City, MO 64124"
"$325,000",3 beds,3 beds,1.28,"8916 NE 114th Ter, Kansas City, MO 64157"
"$639,000",5 beds,5 beds,"1,434","7940 NE 80th Ter, Kansas City, MO 64158"
"$199,000",4 beds,4 beds,"3,655","11320 Greenwood Rd, Kansas City, MO 64134"
"$250,000",3 beds,3 beds,936,"10401 NW 57th Ter, Parkville, MO 64152"
"$825,000",4 beds,4 beds,"8,490","9844 Overbrook Rd, Leawood, KS 66206"
"$240,000",4 beds,4 beds,"2,715","5646 Paseo Blvd, Kansas City, MO 64110"
"$193,000",3 beds,3 beds,"9,147","11906 Fremont Ave, Grandview, MO 64030"
"$425,000",12 beds,12 beds,"2,496","11408 Oak St, Kansas City, MO 64114"
"$579,500",4 beds,4 beds,"3,074","2268 SW Morris Dr, Lee's Summit, MO 64082"
