price,rooms,baths,square_feet,address
"$469,900",4 beds,4 beds,"1,800","8808 Ceuta St, Las Vegas, NV 89143"
"$599,000",4 beds,4 beds,"5,663","960 Pearl Peak St, Las Vegas, NV 89110"
"$560,000",4 beds,4 beds,"2,525","8052 Tayler Joy Ct, Las Vegas, NV 89113"
"$560,000",3 beds,3 beds,0.27,"9969 Caton Ct, Las Vegas, NV 89141"
"$675,000",4 beds,4 beds,"3,105","3210 Sterlingshire Dr, Las Vegas, NV 89146"
"$415,000",3 beds,3 beds,"6,098","813 Peachy Canyon Cir #103, Las Vegas, NV 89144"
"$450,000",6 beds,6 beds,"1,960","4105 Snead Dr, Las Vegas, NV 89107"
"$329,900",0 beds,0 beds,"3,920","145 E Harmon Ave #518, Las Vegas, NV 89109"
"$530,000",3 beds,3 beds,"2,279","200 W Sahara Ave #808, Las Vegas, NV 89102"
"$525,000",3 beds,3 beds,0.28,"6848 Brookriver Ct, Las Vegas, NV 89149"
"$285,000",2 beds,2 beds,"1,707","300 Pine Haven St #207, Las Vegas, NV 89144"
"$267,000",2 beds,2 beds,"2,621","2709 Otter Creek Ct #202, Las Vegas, NV 89117"
"$1,750,000",5 beds,5 beds,"9,583","237 Cactus Sunrise St, Las Vegas, NV 89138"
"$440,000",2 beds,2 beds,520,"2775 W Pebble Rd #311, Las Vegas, NV 89123"
"$674,999",5 beds,5 beds,"1,828","7774 Abalone Bay St, Las Vegas, NV 89139"
"$470,000",5 beds,5 beds,"1,957","3900 El Cederal Ave, Las Vegas, NV 89102"
"$369,000",0 beds,0 beds,"7,405","630 N 4th St, Las Vegas, NV 89101"
"$418,000",3 beds,3 beds,980,"8797 Salvestrin Point Ave, Las Vegas, NV 89148"
"$339,995",3 beds,3 beds,"1,136","2028 College Pl, Las Vegas, NV 89156"
"$460,000",3 beds,3 beds,"4,643","8943 Horizon Hyatt Ave, Las Vegas, NV 89178"
"$597,900",3 beds,3 beds,"7,841","607 Bonita Ave, Las Vegas, NV 89104"
"$483,483",3 beds,3 beds,"1,823","10233 S Ullom Dr, Las Vegas, NV 89141"
"$748,042",5 beds,5 beds,"3,111","5060 Appalachia Creek Ave, Las Vegas, NV 89141"
"$207,000",2 beds,2 beds,"5,663","350 E Desert Inn Rd Unit C202, Las Vegas, NV 89109"
"$365,000",2 beds,2 beds,"1,775","905 Shadow Mountain Pl, Las Vegas, NV 89108"
"$787,995",4 beds,4 beds,"8,276","10221 Bismarck Palms Ave, Las Vegas, NV 89166"
"$735,995",4 beds,4 beds,"1,792","9013 Laurel Creek St, Las Vegas, NV 89166"
"$799,995",5 beds,5 beds,"5,663","10214 Sequoia Glen Ave, Las Vegas, NV 89166"
"$699,995",3 beds,3 beds,"1,944","9006 Coastal Oaks St, Las Vegas, NV 89166"
"$719,995",3 beds,3 beds,"3,049","10226 Meandering Dell Ave, Las Vegas, NV 89166"
"$699,995",3 beds,3 beds,"1,200","8977 Coastal Oaks St, Las Vegas, NV 89166"
"$712,995",3 beds,3 beds,0.28,"8946 Cedar Cove St, Las Vegas, NV 89166"
"$515,000",4 beds,4 beds,"1,845","4430 Campus Cir, Las Vegas, NV 89121"
"$215,000",2 beds,2 beds,"2,614","356 E Desert Inn Rd #216, Las Vegas, NV 89109"
"$219,000",2 beds,2 beds,"1,961","805 Rock Springs Dr #202, Las Vegas, NV 89128"
"$209,999",1 bed,1 bed,"9,148","2455 W Serene Ave #809, Las Vegas, NV 89123"
"$875,000",4 beds,4 beds,"1,500","10309 Sierra Skye Ave, Las Vegas, NV 89166"
"$408,000",4 beds,4 beds,"3,049","9064 Salvatore St, Las Vegas, NV 89148"
"$259,999",1 bed,1 bed,"3,097","5006 Holt Ave, Las Vegas, NV 89115"
"$349,900",3 beds,3 beds,"4,356","2029 Heritage Oaks St, Las Vegas, NV 89119"
"$469,900",4 beds,4 beds,"1,800","8808 Ceuta St, Las Vegas, NV 89143"
"$599,000",4 beds,4 beds,"5,663","960 Pearl Peak St, Las Vegas, NV 89110"
"$560,000",4 beds,4 beds,"2,525","8052 Tayler Joy Ct, Las Vegas, NV 89113"
"$560,000",3 beds,3 beds,0.27,"9969 Caton Ct, Las Vegas, NV 89141"
"$370,000",2 beds,2 beds,"1,183","2672 Rungsted St, Las Vegas, NV 89142"
"$584,900",3 beds,3 beds,"4,356","9968 Yetti Stroll Ave, Las Vegas, NV 89166"
"$749,999",4 beds,4 beds,"1,810","1669 Ottawa . Dr, Las Vegas, NV 89169"
"$385,999",2 beds,2 beds,"5,227","5923 Sunlight Garden Way, Las Vegas, NV 89118"
"$275,000",2 beds,2 beds,"3,465","7151 S Durango Dr #210, Las Vegas, NV 89113"
"$405,000",3 beds,3 beds,0.26,"1084 Wild Fern Ct, Las Vegas, NV 89183"
"$999,000",5 beds,5 beds,"1,877","9838 Peaceful Bend Ct, Las Vegas, NV 89141"
"$559,777",4 beds,4 beds,"1,307","9917 Canyon Peak Dr, Las Vegas, NV 89147"
"$700,000",4 beds,4 beds,929,"1373 Hodges Ave, Las Vegas, NV 89123"
"$769,000",2 beds,2 beds,"1,429","Undisclosed address, Las Vegas, NV 89134"
"$379,900",4 beds,4 beds,"4,356","5309 Westleigh Ave, Las Vegas, NV 89146"
"$355,990",3 beds,3 beds,"4,664","4593 Honey Hills Ave Lot 45, Las Vegas, NV 89141"
"$599,000",3 beds,3 beds,"5,663","3717 Wilbur Mcgee Ct, Las Vegas, NV 89129"
"$230,000",3 beds,3 beds,"2,454","3151 Soaring Gulls Dr #2096, Las Vegas, NV 89128"
"$865,000",5 beds,5 beds,"5,227","10136 Fire Skye Ave, Las Vegas, NV 89166"
"$415,000",3 beds,3 beds,"2,857","Undisclosed address, Las Vegas, NV 89118"
"$425,000",3 beds,3 beds,"9,583","2440 Silver Shadow Dr, Las Vegas, NV 89108"
"$457,826",3 beds,3 beds,"1,843","1950 Majalis Pl Lot 70, Las Vegas, NV 89106"
"$455,000",3 beds,3 beds,"8,712","4467 White Gate Ln, Las Vegas, NV 89147"
"$410,000",3 beds,3 beds,"1,710","7918 Canto Ave, Las Vegas, NV 89147"
"$497,450",5 beds,5 beds,"6,534","1953 Majalis Pl Lot 35, Las Vegas, NV 89106"
"$1,250,000",5 beds,5 beds,"1,344","3857 Montone Ave, Las Vegas, NV 89141"
"$701,000",5 beds,5 beds,"1,160","1015 Aspen Breeze Ave, Las Vegas, NV 89123"
"$204,900",3 beds,3 beds,"2,276","3318 N Decatur Blvd #1088, Las Vegas, NV 89130"
"$639,990",3 beds,3 beds,"8,712","150 Las Vegas Blvd #2512, Las Vegas, NV 89101"
"$398,000",3 beds,3 beds,"1,109","2052 Quarry Ridge St #104, Las Vegas, NV 89117"
"$478,888",3 beds,3 beds,"3,483","10478 Beallsville St, Las Vegas, NV 89141"
"$309,900",3 beds,3 beds,"5,663","8053 Celestial Ave #201, Las Vegas, NV 89128"
"$149,990",1 bed,1 bed,"1,468","470 Elm Dr #103, Las Vegas, NV 89169"
"$539,950",4 beds,4 beds,"2,178","8442 Granite Springs Ct, Las Vegas, NV 89139"
"$540,000",2 beds,2 beds,"1,601","10033 Woodhouse Dr, Las Vegas, NV 89134"
"$649,999",4 beds,4 beds,"3,485","2455 Cordoba Bluff Ct, Las Vegas, NV 89135"
"$444,900",3 beds,3 beds,"2,036","1571 Plaza Centre Dr #101, Las Vegas, NV 89135"
"$565,000",3 beds,3 beds,"3,485","8705 Stokestone St, Las Vegas, NV 89166"
"$486,900",3 beds,3 beds,"1,656","3967 Silver Saber Ct, Las Vegas, NV 89129"
"$395,000",3 beds,3 beds,"4,356","11682 Terenzio Ct, Las Vegas, NV 89183"
"$385,000",3 beds,3 beds,"1,424","2870 Bridgepointe Dr, Las Vegas, NV 89121"
"$389,000",2 beds,2 beds,"6,098","2632 Seahorse Dr, Las Vegas, NV 89128"
