price,rooms,baths,square_feet,address
"$2,149,000",3 beds,3 beds,"1,990","2202 Kelton Ave, Los Angeles, CA 90064"
"$5,500,000",100 beds,100 beds,"6,753","654 E 24th St, Los Angeles, CA 90011"
"$1,150,000",4 beds,4 beds,"8,400","19832 Turtle Springs Way, Porter Ranch, CA 91326"
"$1,200,000",6 beds,6 beds,0.24,"6318 S Harvard Blvd, Los Angeles, CA 90047"
"$899,000",3 beds,3 beds,"2,446","6257 Lindley Ave, Tarzana, CA 91335"
"$10,995,000",5 beds,5 beds,"5,813","3802 Hollyline Ave, Sherman Oaks, CA 91423"
"$1,599,999",3 beds,3 beds,"3,854","855 N Beverly Glen Blvd, Los Angeles, CA 90077"
"$1,895,000",4 beds,4 beds,"5,443","4676 Laurelgrove Ave, Studio City, CA 91604"
"$789,000",3 beds,3 beds,"2,220","19120 Bessemer St, Tarzana, CA 91335"
"$1,675,000",4 beds,4 beds,"6,465","4334 Franklin Ave, Los Angeles, CA 90027"
"$1,250,000",2 beds,2 beds,"10,280","200 N Swall Dr #460, Beverly Hills, CA 90211"
"$2,695,000",4 beds,4 beds,1.79,"843 S Cochran Ave, Los Angeles, CA 90036"
"$600,000",0 beds,0 beds,"1,441","889 Francisco St #2505, Los Angeles, CA 90017"
"$575,000",2 beds,2 beds,"8,910","10521 Larwin Ave #6, Chatsworth, CA 91311"
"$3,499,000",16 beds,16 beds,"2,755","2525 Hauser Blvd, Los Angeles, CA 90016"
"$675,000",2 beds,2 beds,0.26,"5240 Premiere Hills Cir #211, Woodland Hills, CA 91364"
"$1,479,000",3 beds,3 beds,"1,458","1335 N Normandie Ave, Los Angeles, CA 90027"
"$719,000",2 beds,2 beds,"7,232","5305 Ben Ave #5, Valley Village, CA 91607"
"$595,000",3 beds,3 beds,"2,536","6840 Balboa Blvd #504, Lake Balboa, CA 91406"
"$1,799,800",6 beds,6 beds,"6,756","428 N Harvard Blvd, Los Angeles, CA 90004"
"$3,675,000",5 beds,5 beds,"1,469","606 N Citrus Ave, Los Angeles, CA 90036"
"$3,900,000",5 beds,5 beds,"2,402","16886 Charmel Ln, Pacific Palisades, CA 90272"
"$1,399,000",3 beds,3 beds,"8,324","5742 Le Sage Ave, Woodland Hills, CA 91367"
"$1,725,000",2 beds,2 beds,480,"411 N Oakhurst Dr #106, Beverly Hills, CA 90210"
"$1,149,000",3 beds,3 beds,"1,042","2200 Polyscope Pl, Los Angeles, CA 90026"
"$1,799,000",3 beds,3 beds,1.36,"9125 W 24th St, Los Angeles, CA 90034"
"$1,399,000",3 beds,3 beds,"7,674","13050 Mindanao Way #7, Marina Del Rey, CA 90292"
"$1,150,000",3 beds,3 beds,"7,020","1750 Orchard Ave, Los Angeles, CA 90006"
"$9,195,000",6 beds,6 beds,"1,387","1119 Monument St, Pacific Palisades, CA 90272"
"$1,799,000",2 beds,2 beds,"2,130","656 N West Knoll Dr #303, West Hollywood, CA 90069"
"$595,000",2 beds,2 beds,"5,738","4353 Colfax Ave #33, Studio City, CA 91604"
"$699,000",4 beds,4 beds,"1,129","1071 Dundas St, Los Angeles, CA 90063"
"$3,000,000",8 beds,8 beds,"6,506","432 N Norton Ave, Los Angeles, CA 90004"
"$1,295,000",4 beds,4 beds,"1,279","12628 Albers, Valley Village, CA 91607"
"$2,295,000",2 beds,2 beds,0.85,"300 N Swall Dr #308, Beverly Hills, CA 90211"
"$3,150,000",4 beds,4 beds,"3,303","4216 Terraza Dr, Los Angeles, CA 90008"
"$1,349,000",3 beds,3 beds,"5,972","5816 Lemp Ave, North Hollywood, CA 91601"
"$538,000",2 beds,2 beds,"4,082","2321 W 10th St #201, Los Angeles, CA 90006"
"$999,999",2 beds,2 beds,"6,407","11278 Ivy Pl, Los Angeles, CA 90064"
"$849,000",4 beds,4 beds,"4,097","2939 10th Ave, Los Angeles, CA 90018"
"$829,950",3 beds,3 beds,"1,790","9300 Huston Rd, Chatsworth, CA 91311"
"$3,895,000",5 beds,5 beds,"8,067","4519 Saint Clair Ave, Studio City, CA 91604"
"$999,000",2 beds,2 beds,"3,940","950 N Kings Rd #343, West Hollywood, CA 90069"
"$569,900",1 bed,1 bed,"5,000","1630 E 43rd St, Los Angeles, CA 90011"
"$5,450,000",4 beds,4 beds,"1,154","11945 Lockridge Rd, Studio City, CA 91604"
"$1,200,000",3 beds,3 beds,616,"10335 Valley Glow Dr, Sunland, CA 91040"
"$1,200,000",4 beds,4 beds,"2,261","6903 Ethel Ave, North Hollywood, CA 91605"
"$587,000",5 beds,5 beds,"5,231","8728 Beach St, Los Angeles, CA 90002"
"$485,000",1 bed,1 bed,0.52,"746 S Los Angeles St #704, Los Angeles, CA 90014"
"$1,375,000",2 beds,2 beds,"1,604","4460 Wilshire Blvd #308, Los Angeles, CA 90010"
"$1,799,000",3 beds,3 beds,0.51,"6526 W 84th St, Los Angeles, CA 90045"
"$799,900",3 beds,3 beds,"1,953","16739 Archwood St, Van Nuys, CA 91406"
"$1,799,999",3 beds,3 beds,"6,899","23021 Bretton Pl, Woodland Hills, CA 91364"
"$1,390,000",7 beds,7 beds,"1,213","733 Hoefner Ave, Los Angeles, CA 90022"
"$949,000",4 beds,4 beds,"3,510","12111 Via Santa Barbara, Sylmar, CA 91342"
"$699,000",4 beds,4 beds,"1,011","1510 W 53rd St, Los Angeles, CA 90062"
"$1,500,000",8 beds,8 beds,"2,001","2314 Crenshaw Blvd #4, Los Angeles, CA 90016"
"$3,450,000",5 beds,5 beds,"1,942","13120 Morrison St, Sherman Oaks, CA 91423"
"$1,980,000",3 beds,3 beds,"6,080","4321 Glenalbyn Dr, Los Angeles, CA 90065"
"$565,000",1 bed,1 bed,"1,500","4520 Natick Ave #310, Sherman Oaks, CA 91403"
"$1,500,000",7 beds,7 beds,"6,767","9600 Amboy Ave, Los Angeles, CA 91331"
"$4,596,486",6 beds,6 beds,"2,200","15120 Sutton St, Sherman Oaks, CA 91403"
"$989,000",2 beds,2 beds,"9,307","1630 Greenfield Ave #104, Los Angeles, CA 90025"
"$835,000",3 beds,3 beds,"3,134","20728 Keswick St, Winnetka, CA 91306"
"$4,635,150",5 beds,5 beds,"6,770","7029 Trolleyway, Playa Del Rey, CA 90293"
"$2,199,000",10 beds,10 beds,"2,276","259 N Burlington Ave, Los Angeles, CA 90026"
"$750,000",3 beds,3 beds,28.69,"8800 Willis Ave #12, Panorama City, CA 91402"
"$1,099,000",3 beds,3 beds,"1,696","1246 Armacost Ave #306, Los Angeles, CA 90025"
"$1,699,000",4 beds,4 beds,"5,673","3133 Midvale Ave, Los Angeles, CA 90034"
"$15,500,000",38 beds,38 beds,"5,184","3518 Chesapeake Ave, Los Angeles, CA 90016"
"$3,795,000",22 beds,22 beds,"7,959","12807 Barbara Ann St, Valley Glen, CA 91605"
"$1,495,000",3 beds,3 beds,"3,604","5155 W Redondo Ct, Los Angeles, CA 90019"
"$1,849,000",4 beds,4 beds,"6,750","6500 Drexel Ave, Los Angeles, CA 90048"
"$8,495,000",4 beds,4 beds,"2,820","224 Glenroy Pl, Los Angeles, CA 90049"
"$1,795,000",3 beds,3 beds,"7,705","8155 Willow Glen Rd, Los Angeles, CA 90046"
"$3,690,000",18 beds,18 beds,910,"639 N Alexandria Ave, Los Angeles, CA 90004"
"$1,200,000",8 beds,8 beds,"2,850","667 W 11th St #669671, San Pedro, CA 90731"
"$670,000",2 beds,2 beds,"8,134","327 E 76th St, Los Angeles, CA 90003"
"$600,000",0 beds,0 beds,"5,414","889 Francisco St #2507, Los Angeles, CA 90017"
"$3,199,000",15 beds,15 beds,0.41,"2937 West Blvd, Los Angeles, CA 90016"
"$1,550,000",4 beds,4 beds,"2,818","833 N Vendome St, Los Angeles, CA 90026"
"$2,495,000",4 beds,4 beds,"5,434","1716 Nichols Canyon Rd, Los Angeles, CA 90046"
"$599,000",2 beds,2 beds,"2,355","4015 Fairmount St, Los Angeles, CA 90063"
"$515,000",2 beds,2 beds,"6,200","7422 Hazeltine Ave #12, Van Nuys, CA 91405"
