price,rooms,baths,square_feet,address
"$284,500",3 beds,3 beds,"1,397","1118 Mulberry St, Louisville, KY 40217"
"$440,000",5 beds,5 beds,"4,399","1125 Johnson Ridge Rd Rd, Louisville, KY 40245"
"$340,000",2 beds,2 beds,"3,018","1006 English Ave, Louisville, KY 40217"
"$375,000",3 beds,3 beds,"6,098","809 Fairdale Rd, Fairdale, KY 40118"
"$450,000",5 beds,5 beds,"2,075","9709 W Manslick Rd, Fairdale, KY 40118"
"$199,900",4 beds,4 beds,"5,662","164 Gillette Ave, Louisville, KY 40214"
"$275,000",3 beds,3 beds,"2,568","8513 Blossom Ln, Louisville, KY 40242"
"$195,000",3 beds,3 beds,4.02,"Undisclosed address, Louisville, KY 40215"
"$275,000",4 beds,4 beds,"2,250","4910 Greenwood Rd, Louisville, KY 40258"
"$319,900",2 beds,2 beds,0.32,"230 Mulberry St #230, Jeffersonville, IN 47130"
"$235,000",2 beds,2 beds,"1,691","10404 Southern Meadows Dr #204, Louisville, KY 40241"
"$125,000",2 beds,2 beds,"6,098","1016 Winkler Ave, Louisville, KY 40208"
"$620,000",3 beds,3 beds,"1,323","7242 Heatherly Sq, Louisville, KY 40242"
"$789,000",3 beds,3 beds,"8,276","1922 Johnson Rd, Louisville, KY 40245"
"$139,900",2 beds,2 beds,"1,153","1223 Seelbach Ave, Louisville, KY 40215"
"$499,000",5 beds,5 beds,"6,969","14310 Micawber Way, Louisville, KY 40245"
"$124,900",2 beds,2 beds,"1,200","523 Brentwood Ave, Louisville, KY 40215"
"$149,900",2 beds,2 beds,0.29,"1204 Donard Park Ave, Louisville, KY 40218"
"$279,900",3 beds,3 beds,"1,416","8916 Mountain Brook Ct, Louisville, KY 40272"
"$215,000",3 beds,3 beds,"1,083","5309 Lost Trl, Louisville, KY 40214"
"$249,500",2 beds,2 beds,924,"1214 Payne St, Louisville, KY 40204"
"$165,000",2 beds,2 beds,"3,920","201 Ramsgate Gardens Ct #102, Louisville, KY 40207"
"$249,900",3 beds,3 beds,"3,715","6814 Sky Blue Ave, Louisville, KY 40258"
"$125,000",3 beds,3 beds,0.25,"4023 Valley View Dr, Louisville, KY 40216"
"$151,900",2 beds,2 beds,"3,664","10800 Blue Lick Rd, Louisville, KY 40229"
"$355,000",3 beds,3 beds,5.40,"156 Wiltshire Ave, Louisville, KY 40207"
"$265,000",3 beds,3 beds,775,"6004 Bay Pine Dr, Louisville, KY 40219"
"$395,000",3 beds,3 beds,"7,405","9412 River Trail Dr, Louisville, KY 40229"
"$250,000",2 beds,2 beds,"3,783","5800 Coach Gate Wynde Unit 323C, Louisville, KY 40207"
"$229,900",2 beds,2 beds,0.40,"5305 Rolling Rock Ct #103, Louisville, KY 40241"
"$599,000",— beds,— beds,850,"108 E Kentucky St, Louisville, KY 40203"
"$120,000",4 beds,4 beds,"3,900","306 N 35th St, Louisville, KY 40212"
"$775,000",5 beds,5 beds,"1,049","600 Persimmon Ridge Dr, Louisville, KY 40245"
"$330,000",3 beds,3 beds,"2,436","9407 Springmont Pl, Louisville, KY 40241"
"$650,000",4 beds,4 beds,0.54,"9701 Moorfield Cir, Louisville, KY 40241"
"$430,000",3 beds,3 beds,"2,606","11205 Success Ln, Louisville, KY 40229"
"$413,000",3 beds,3 beds,0.43,"3909 Therina Way, Louisville, KY 40241"
"$125,000",2 beds,2 beds,"1,023","1807 Nelson Ave, Louisville, KY 40216"
"$197,000",3 beds,3 beds,"3,049","8105 Carnes Dr, Louisville, KY 40219"
"$224,900",3 beds,3 beds,"1,160","1925 Milburt Dr, Louisville, KY 40223"
"$212,000",3 beds,3 beds,"1,526","7904 Naples Rd, Louisville, KY 40219"
"$975,000",5 beds,5 beds,"7,405","706 Daneshall Dr, Louisville, KY 40206"
"$220,000",3 beds,3 beds,"4,063","9107 Cinderella Ln, Louisville, KY 40229"
"$315,000",3 beds,3 beds,0.29,"915 S English Station Rd, Louisville, KY 40245"
"$74,900",3 beds,3 beds,"1,000","2618 W Main St, Louisville, KY 40212"
"$99,000",4 beds,4 beds,"7,840","3329 Bank St, Louisville, KY 40212"
"$250,000",2 beds,2 beds,"1,870","8600 Mill Spring Pl, Louisville, KY 40228"
"$75,000",2 beds,2 beds,"1,273","1333 Phyllis Ave, Louisville, KY 40215"
"$345,000",4 beds,4 beds,"5,227","4208 Seagrape Rd, Louisville, KY 40299"
"$400,000",3 beds,3 beds,"3,148","11701 Veranda Way, Louisville, KY 40299"
"$235,000",3 beds,3 beds,"9,583","4319 Gaudet Rd, Louisville, KY 40299"
"$185,000",1 bed,1 bed,"1,352","1305 Hull St, Louisville, KY 40204"
"$285,000",2 beds,2 beds,708,"937 Mary St, Louisville, KY 40204"
"$219,900",2 beds,2 beds,"4,416","9931 Chenoweth Vista Way, Louisville, KY 40299"
"$385,000",3 beds,3 beds,"2,285","3911 Fairfield Meadows Dr, Louisville, KY 40245"
"$429,000",5 beds,5 beds,"7,793","9214 Trentham Ln, Louisville, KY 40242"
"$95,000",2 beds,2 beds,"2,599","916 Beecher St, Louisville, KY 40215"
"$264,900",3 beds,3 beds,0.28,"6102 Dalia Ct, Louisville, KY 40272"
"$229,900",5 beds,5 beds,"1,126","3010 Bank St, Louisville, KY 40212"
"$465,000",3 beds,3 beds,"7,406","15953 Cumberland Lake Cir, Louisville, KY 40245"
"$269,900",3 beds,3 beds,"1,168","1609 Devon Ct, Louisville, KY 40242"
"$60,000",2 beds,2 beds,"4,625","2910 W Main St, Louisville, KY 40212"
"$180,000",2 beds,2 beds,"1,166","429 E Ormsby Ave, Louisville, KY 40203"
"$335,000",3 beds,3 beds,"3,484","2426 Cross Hill Rd, Louisville, KY 40206"
"$399,000",3 beds,3 beds,"1,123","1137 Mulberry St, Louisville, KY 40217"
"$259,900",4 beds,4 beds,"2,000","3215 Bridwell Dr, Louisville, KY 40216"
"$252,500",3 beds,3 beds,0.23,"6815 Orange Blossom Rd, Louisville, KY 40219"
"$250,000",4 beds,4 beds,"2,497","1834 Algonquin Pkwy, Louisville, KY 40210"
"$260,000",4 beds,4 beds,"9,566","4626 Can Run Rd, Louisville, KY 40216"
"$205,000",3 beds,3 beds,856,"9722 Cedar Lake Dr, Louisville, KY 40291"
"$315,000",3 beds,3 beds,"3,920","5422 Skeffington Way, Louisville, KY 40241"
"$285,000",3 beds,3 beds,"1,416","10213 Park Lake Dr, Louisville, KY 40229"
"$299,900",5 beds,5 beds,0.39,"139 E Francis Ave, Louisville, KY 40214"
"$340,000",3 beds,3 beds,"2,352","197 Coral Ave, Louisville, KY 40206"
"$825,000",3 beds,3 beds,"1,730","13114 Trump Ave, Louisville, KY 40299"
"$2,999,997",6 beds,6 beds,0.33,"6729 Elmcroft Cir, Louisville, KY 40241"
"$219,900",3 beds,3 beds,"1,600","2510 Legene Dr, Louisville, KY 40216"
"$399,900",4 beds,4 beds,"9,147","4702 Fairway Pointe Ct, Louisville, KY 40241"
"$569,900",4 beds,4 beds,864,"2905 Travis French Trl, Fisherville, KY 40023"
"$259,000",4 beds,4 beds,"4,356","134 Cambridge Dr, Louisville, KY 40214"
"$375,000",5 beds,5 beds,"2,795","7121 Black Walnut Cir, Louisville, KY 40229"
"$319,000",3 beds,3 beds,"8,825","3454 Illinois Ave, Louisville, KY 40213"
"$575,000",4 beds,4 beds,"1,884","1106 Willow Park Cir, Louisville, KY 40299"
"$340,000",3 beds,3 beds,"6,534","2202 Winston Ave, Louisville, KY 40205"
"$899,000",4 beds,4 beds,"4,207","2603 Locust Hill Pl, Louisville, KY 40245"
"$650,000",4 beds,4 beds,0.25,"10924 Old Harrods Woods Cir, Louisville, KY 40223"
"$249,900",4 beds,4 beds,"1,573","3315 Terrier Ln, Louisville, KY 40218"
"$282,900",2 beds,2 beds,"8,276","6410 Marina Dr, Prospect, KY 40059"
"$232,500",4 beds,4 beds,"5,025","348 W Southside Ct, Louisville, KY 40214"
"$424,900",4 beds,4 beds,0.34,"58 Warren Rd, Louisville, KY 40206"
"$215,000",3 beds,3 beds,"2,641","8601 Williams Rd, Louisville, KY 40299"
"$279,000",3 beds,3 beds,0.29,"825 Reading Rd, Louisville, KY 40217"
"$475,000",3 beds,3 beds,"1,828","120 Charmwood Ct, Louisville, KY 40245"
"$399,900",3 beds,3 beds,"6,969","963 Schiller Ave, Louisville, KY 40204"
"$359,900",3 beds,3 beds,"1,647","529 E Brandeis Ave, Louisville, KY 40217"
"$425,000",3 beds,3 beds,"1,612","410 Breckenridge Ln, Louisville, KY 40207"
"$375,000",5 beds,5 beds,0.37,"9502 Aylesbury Dr, Louisville, KY 40242"
"$688,000",3 beds,3 beds,"1,907","11310 Passionflower Ct, Prospect, KY 40059"
"$285,000",3 beds,3 beds,0.50,"2906 Cromarty Way, Louisville, KY 40218"
"$690,000",3 beds,3 beds,"1,107","11307 River Beauty Loop, Prospect, KY 40059"
"$350,000",3 beds,3 beds,0.80,"3814 Old School House Rd, Louisville, KY 40229"
"$410,000",4 beds,4 beds,"1,308","7500 Grannel Rd, Louisville, KY 40214"
"$229,000",3 beds,3 beds,"3,920","1524 Mckay Ave, Louisville, KY 40213"
"$549,900",5 beds,5 beds,"2,624","10515 Black Iron Rd, Louisville, KY 40291"
"$649,000",3 beds,3 beds,0.36,"600 N Arbor Dr, Louisville, KY 40223"
"$285,000",3 beds,3 beds,"1,869","1314 Texas Ave, Louisville, KY 40217"
"$245,000",2 beds,2 beds,"5,431","13625 Pinnacle Gardens Cir, Louisville, KY 40245"
"$425,000",3 beds,3 beds,"1,649","3305 Pinehurst Ln, Louisville, KY 40241"
"$239,900",2 beds,2 beds,"4,791","3829 Poplar Level Rd, Louisville, KY 40213"
"$144,900",2 beds,2 beds,"2,326","3030 Breckenridge Ln #328, Louisville, KY 40220"
"$424,900",4 beds,4 beds,"7,248","3415 Westhill Cir, Louisville, KY 40214"
"$615,000",5 beds,5 beds,"2,864","905 Malone Pl, Louisville, KY 40245"
"$520,000",4 beds,4 beds,"8,276","157 N Jane St, Louisville, KY 40206"
"$279,900",3 beds,3 beds,"1,952","10811 Brookside Dr, Louisville, KY 40299"
