price,rooms,baths,square_feet,address
"$240,400",3 beds,3 beds,—,"2194 Lake Springs Ln, Memphis, TN 38016"
"$273,500",4 beds,4 beds,"7,840","746 Solitaire Cv, Memphis, TN 38109"
"$250,000",4 beds,4 beds,—,"1768 Georgian Dr, Memphis, TN 38128"
"$349,000",4 beds,4 beds,0.24,"2790 Epping Crest Dr, Memphis, TN 38128"
"$299,900",3 beds,3 beds,—,"2827 Epping Crest Cv, Memphis, TN 38128"
"$359,000",4 beds,4 beds,—,"2815 Epping Crest Dr, Memphis, TN 38128"
"$260,000",4 beds,4 beds,—,"5173 Orangewood Rd, Memphis, TN 38134"
"$299,000",3 beds,3 beds,—,"3903 Grahamwood Cv, Memphis, TN 38122"
"$179,000",2 beds,2 beds,—,"1421 S Perkins Rd, Memphis, TN 38117"
"$219,900",3 beds,3 beds,0.25,"1973 Olive Bark Dr, Memphis, TN 38134"
"$839,000",4 beds,4 beds,—,"8907 Players Cir, Memphis, TN 38125"
"$369,900",4 beds,4 beds,"8,276","7311 Hunter Tree Dr, Memphis, TN 38125"
"$205,000",3 beds,3 beds,—,"4423 Llysian Dr, Unincorporated, TN 38128"
"$219,900",3 beds,3 beds,"9,583","7098 Markim Dr, Memphis, TN 38133"
"$255,000",3 beds,3 beds,—,"904 Dalemore Ln, Cordova, TN 38018"
"$145,000",3 beds,3 beds,"6,098","1075 N Holmes St, Memphis, TN 38122"
"$89,900",3 beds,3 beds,—,"3643 Dumas St, Memphis, TN 38127"
"$230,000",4 beds,4 beds,0.59,"1618 Kirkwood Rd, Memphis, TN 38116"
"$299,999",3 beds,3 beds,—,"2823 Epping Crest Cv, Memphis, TN 38128"
"$199,900",3 beds,3 beds,—,"7330 Peppermill Ln, Memphis, TN 38125"
"$20,000",3 beds,3 beds,—,"4243 Kimball Ave, Memphis, TN 38111"
"$85,000",4 beds,4 beds,"6,969","1710 Goodhaven Dr, Memphis, TN 38116"
"$425,000",4 beds,4 beds,—,"56 N Forest Hill-irene Rd, Memphis, TN 38018"
"$139,900",3 beds,3 beds,"4,356","79 E Shelby Dr, Memphis, TN 38109"
