price,rooms,baths,square_feet,address
"$789,000",4 beds,4 beds,"2,590","4261 E Encanto St, Mesa, AZ 85205"
"$1,250,000",3 beds,3 beds,0.34,"4330 S Neutron --, Mesa, AZ 85212"
"$435,000",4 beds,4 beds,"3,392","531 S Lesueur --, Mesa, AZ 85204"
"$699,000",5 beds,5 beds,"9,838","4339 S Synapse Dr, Mesa, AZ 85212"
"$299,000",2 beds,2 beds,"1,754","5232 E Dodge St, Mesa, AZ 85205"
"$89,900",2 beds,2 beds,"9,000","2701 E Allred Ave #160, Mesa, AZ 85204"
"$289,500",3 beds,3 beds,"3,465","225 N Standage St #117, Mesa, AZ 85201"
"$450,000",3 beds,3 beds,"7,429","5938 E Nance St, Mesa, AZ 85215"
"$360,000",4 beds,4 beds,"1,325","708 S 93rd Pl, Mesa, AZ 85208"
"$115,000",3 beds,3 beds,"7,520","2121 N Center St #51, Mesa, AZ 85201"
"$525,000",4 beds,4 beds,896,"9559 E Irwin Ave, Mesa, AZ 85209"
"$839,000",5 beds,5 beds,"1,608","7555 E Pearl Cir, Mesa, AZ 85207"
"$380,000",4 beds,4 beds,"1,747","565 N 95th Cir, Mesa, AZ 85207"
"$729,000",4 beds,4 beds,"1,405","10707 E Ensenada St, Mesa, AZ 85207"
"$270,000",2 beds,2 beds,"3,702","600 S Dobson Rd #146, Mesa, AZ 85202"
"$450,000",5 beds,5 beds,"1,200","1253 N Raven --, Mesa, AZ 85207"
"$549,000",4 beds,4 beds,"8,359","1020 W Indigo St, Mesa, AZ 85201"
"$229,000",1 bed,1 bed,"1,456","7750 E Broadway Rd #280, Mesa, AZ 85208"
"$650,000",4 beds,4 beds,"2,350","10927 E Cholla Rd, Mesa, AZ 85207"
"$25,000",2 beds,2 beds,0.24,"2460 E Main St Unit B7, Mesa, AZ 85213"
"$685,000",4 beds,4 beds,"2,732","4454 S Octagon --, Mesa, AZ 85212"
"$385,000",2 beds,2 beds,0.33,"10960 E Monte Ave #258, Mesa, AZ 85209"
"$59,000",2 beds,2 beds,"1,456","10220 E Apache Trail -- #215, Apache Junction, AZ 85120"
"$52,000",2 beds,2 beds,"9,243","9302 E Broadway Rd #54, Mesa, AZ 85208"
"$549,999",4 beds,4 beds,"2,513","11314 E Stearn Ave, Mesa, AZ 85212"
