price,rooms,baths,square_feet,address
"$275,000",2 beds,2 beds,"1,068","270 E Highland Ave #1037, Milwaukee, WI 53202"
"$289,900",4 beds,4 beds,"2,279","3305 S 11th St, Milwaukee, WI 53215"
"$99,900",5 beds,5 beds,"4,791","2175 S Layton Blvd, Milwaukee, WI 53215"
"$85,000",5 beds,5 beds,"4,231","1914 W Wright St, Milwaukee, WI 53206"
"$84,000",6 beds,6 beds,"9,583","3834 N Port Washington Ave Unit A, Milwaukee, WI 53212"
"$460,000",2 beds,2 beds,"2,024","1522 N Prospect Avenue North Ave #201, Milwaukee, WI 53202"
"$169,999",3 beds,3 beds,0.83,"4530 N 42nd St, Milwaukee, WI 53209"
"$129,900",3 beds,3 beds,"1,913","5028 N 41st St, Milwaukee, WI 53209"
"$6,199,999",— beds,— beds,"7,840","2018 N Oakland Ave #2030, Milwaukee, WI 53202"
"$244,000",— beds,— beds,"1,571","5956 N 40th St #5960, Milwaukee, WI 53209"
"$69,900",4 beds,4 beds,"1,163","1440 N 29th St, Milwaukee, WI 53208"
"$449,900",2 beds,2 beds,"4,791","3057 E Newport Ct #3057, Milwaukee, WI 53211"
"$217,000",3 beds,3 beds,912,"3014 N 61st St, Milwaukee, WI 53210"
"$250,000",3 beds,3 beds,"9,147","4026 N 89th St, Milwaukee, WI 53222"
"$65,000",3 beds,3 beds,"35,390","9001 N Swan Rd Unit E, Milwaukee, WI 53224"
"$350,000",5 beds,5 beds,0.56,"2517 N Humbolt Blvd #2519, Milwaukee, WI 53212"
"$214,900",3 beds,3 beds,"3,648","2516 W Parnell Ave, Milwaukee, WI 53221"
"$289,900",4 beds,4 beds,"7,405","3007 W Vliet St, Milwaukee, WI 53208"
"$73,900",3 beds,3 beds,"1,156","3407 N 17th St, Milwaukee, WI 53206"
"$150,000",3 beds,3 beds,"3,484","2330 N 47th St, Milwaukee, WI 53210"
"$212,000",6 beds,6 beds,"1,911","1929 N 38th St #1931, Milwaukee, WI 53208"
"$237,900",3 beds,3 beds,914,"5168 N 68th St, Milwaukee, WI 53218"
"$54,900",2 beds,2 beds,"4,791","3206 N 7th St, Milwaukee, WI 53212"
"$249,900",2 beds,2 beds,"1,480","123 N 78th St, Milwaukee, WI 53213"
"$239,900",2 beds,2 beds,"7,840","2939 S 38th St, Milwaukee, WI 53215"
"$204,900",3 beds,3 beds,43,"615 N Hawley Rd, Milwaukee, WI 53213"
"$260,000",3 beds,3 beds,"2,153","3701 S 16th St, Milwaukee, WI 53221"
"$250,000",6 beds,6 beds,"6,098","6319 N 100th St #6321, Milwaukee, WI 53225"
"$280,000",6 beds,6 beds,"1,510","4127 N 84th St #4129, Milwaukee, WI 53222"
"$289,900",3 beds,3 beds,"1,845","3572 S 93rd St, Milwaukee, WI 53228"
"$175,000",3 beds,3 beds,"3,920","4416 N 62nd St, Milwaukee, WI 53218"
"$149,900",4 beds,4 beds,700,"2474 W Keefe Ave, Milwaukee, WI 53206"
"$146,900",2 beds,2 beds,"3,484","2930 W Roosevelt Dr, Milwaukee, WI 53216"
"$399,900",3 beds,3 beds,"1,347","7910 N Granville Rd, Milwaukee, WI 53224"
"$149,900",3 beds,3 beds,"4,791","5708 N 37th St, Milwaukee, WI 53209"
"$265,000",3 beds,3 beds,"2,232","3807 N 82nd St, Milwaukee, WI 53222"
"$168,000",5 beds,5 beds,"3,484","2474 S 12th St, Milwaukee, WI 53215"
"$174,900",3 beds,3 beds,"1,500","7021 W Clovernook St, Milwaukee, WI 53223"
"$139,900",2 beds,2 beds,"5,227","6400 W Howard Ave #104, Milwaukee, WI 53220"
"$64,900",4 beds,4 beds,670,"3296 N 13th St #3298, Milwaukee, WI 53206"
"$129,900",2 beds,2 beds,"1,210","7261 W Wabash Ave, Milwaukee, WI 53223"
"$379,900",3 beds,3 beds,"1,938","10335 W Woodward Ave, Wauwatosa, WI 53222"
"$189,900",3 beds,3 beds,"9,147","2300 W Roosevelt Dr, Milwaukee, WI 53209"
"$274,900",3 beds,3 beds,"1,741","8853 W Brentwood Ave, Milwaukee, WI 53224"
"$264,999",3 beds,3 beds,"4,791","4147 S 55th St, Milwaukee, WI 53220"
"$274,900",3 beds,3 beds,"1,870","4702 N 118th St, Wauwatosa, WI 53225"
